META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-12 22:23:10 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Guiseley; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-13 02:22:26 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; 1/2; 8/15; ; 11/20; ; ; ; ; ; 11/20; ; ; 4/7; ; ; 5/9; ; ; ; ; ; 4/7; ; ; ; 
Draw; 10/3; 11/4; ; 13/5; 31/10; ; 10/3; ; ; ; ; ; 10/3; ; ; 31/10; ; ; 33/10; ; ; ; ; ; 3; ; ; ; 
Guiseley; 4; 4; ; 9/2; 9/2; ; 22/5; ; ; ; ; ; 17/4; ; ; 9/2; ; ; 77/19; ; ; ; ; ; 9/2; ; ; ; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-13 10:22:29 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; 1/2; 8/15; ; 11/20; 1/2; 6/11; ; ; 11/20; 11/20; ; ; 4/7; ; ; 5/9; ; ; 6/11; ; 8/15; 4/7; ; ; ; 
Draw; 10/3; 11/4; ; 13/5; 31/10; ; 10/3; 16/5; 31/10; ; ; 11/4; 10/3; ; ; 31/10; ; ; 16/5; ; ; 31/10; ; 3; 3; ; ; ; 
Guiseley; 4; 4; ; 9/2; 9/2; ; 22/5; 9/2; 39/10; ; ; 4; 17/4; ; ; 9/2; ; ; 77/19; ; ; 39/10; ; 17/4; 9/2; ; ; ; 
META; english/non-league/national-league/guiseley-v-tranmere; 2017-08-13 14:23:32 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Tranmere; 11/20; 8/13; 4/7; 1/2; 8/15; ; 3/5; 1/2; 6/11; 4/7; 4/7; 11/20; 3/5; ; ; 4/7; ; ; 5/9; 3/5; ; 6/11; ; 4/7; 4/7; ; ; ; 
Draw; 10/3; 11/4; 14/5; 13/5; 3; ; 3; 16/5; 31/10; 11/4; 11/4; 11/4; 3; ; ; 3; ; ; 16/5; 10/3; ; 31/10; ; 3; 3; ; ; ; 
Guiseley; 17/4; 4; 9/2; 9/2; 9/2; ; 9/2; 9/2; 39/10; 17/4; 17/4; 4; 17/4; ; ; 9/2; ; ; 21/5; 49/10; ; 39/10; ; 17/4; 9/2; ; ; ; 
