META; english/non-league/national-league/wrexham-v-barrow; 2017-12-27 18:24:46 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-27 22:25:18 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; ; 9/10; ; 9/10; 13/15; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; 12/5; ; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-28 02:25:59 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; ; 9/10; ; 9/10; 13/15; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; 12/5; ; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/wrexham-v-barrow; 2017-12-28 10:24:49 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Wrexham; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; ; 9/10; 13/15; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Barrow; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; 37/13; 3; ; 3; 56/19; ; ; ; 
