META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-24 14:24:31 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Gateshead; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-24 18:24:28 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Gateshead; 11/8; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; 
Wrexham; 15/8; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-24 22:24:31 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Gateshead; 11/8; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; ; ; ; ; 
Wrexham; 15/8; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 12/5; ; ; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-25 02:24:33 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Gateshead; 11/8; ; ; ; ; ; 11/8; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; ; ; ; ; ; 
Wrexham; 15/8; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; 15/8; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 12/5; ; ; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-25 10:24:34 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Gateshead; 11/8; ; ; ; ; ; 13/10; ; ; ; 13/10; 5/4; ; ; ; 13/10; 16/11; ; 16/11; ; ; 7/5; ; 27/20; ; ; ; ; 
Wrexham; 15/8; ; ; ; ; ; 9/5; ; ; ; 15/8; 17/10; ; ; ; 7/4; 16/11; ; 16/11; ; ; 15/8; ; 15/8; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; ; ; 23/10; 12/5; ; ; ; 23/10; 12/5; ; 12/5; ; ; 12/5; ; 47/20; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-25 14:24:38 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Gateshead; 11/8; ; ; ; ; ; 11/8; ; ; ; 7/5; 5/4; ; ; ; 13/10; 16/11; 13/10; 16/11; ; ; 7/5; 11/8; 27/20; 13/10; ; ; ; 
Wrexham; 15/8; ; ; ; ; ; 9/5; ; ; ; 9/5; 17/10; ; ; ; 7/4; 16/11; 9/5; 16/11; ; ; 15/8; 19/10; 15/8; 9/5; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; ; ; 23/10; 12/5; ; ; ; 23/10; 12/5; 23/10; 12/5; ; ; 12/5; 12/5; 47/20; 23/10; ; ; ; 
META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-25 18:24:32 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
Gateshead; 11/8; ; ; ; ; ; 11/8; ; ; ; 7/5; 5/4; ; ; ; 13/10; 16/11; 13/10; 16/11; ; ; 7/5; 11/8; 27/20; 13/10; ; ; ; 
Wrexham; 15/8; ; ; ; ; ; 9/5; ; ; ; 9/5; 17/10; ; ; ; 7/4; 16/11; 9/5; 16/11; ; ; 15/8; 19/10; 15/8; 24/13; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; ; ; 23/10; 12/5; ; ; ; 23/10; 12/5; 23/10; 12/5; ; ; 12/5; 12/5; 47/20; 40/17; ; ; ; 
META; english/non-league/national-league/gateshead-v-wrexham; 2017-12-25 22:24:37 GMT+2; 2017-12-30 15:00; Nothing; Xlenovo
