META; english/non-league/national-league/leyton-orient-v-dagenham-redbridge; 2017-12-23 14:25:04 GMT+2; 2017-12-26 13:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; 13/10; ; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; 27/20; ; ; 10/9; ; 
Leyton Orient; 15/8; ; ; 9/5; ; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; 15/8; ; ; 11/8; ; 
Draw; 12/5; ; ; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; 47/20; ; ; 21/10; ; 
META; english/non-league/national-league/leyton-orient-v-dagenham-redbridge; 2017-12-23 18:24:15 GMT+2; 2017-12-26 13:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; 13/10; 143/ 100; ; 11/8; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; 7/5; ; 27/20; ; ; 1; ; 
Leyton Orient; 15/8; ; ; 9/5; 101/ 50; ; 9/5; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; 15/8; ; 15/8; ; ; 6/4; ; 
Draw; 12/5; ; ; 23/10; 127/ 50; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 12/5; ; 47/20; ; ; 21/10; ; 
META; english/non-league/national-league/leyton-orient-v-dagenham-redbridge; 2017-12-23 22:23:31 GMT+2; 2017-12-26 13:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; 7/5; ; 13/10; 143/ 100; 5/4; 11/8; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; 7/5; 11/8; 27/20; ; ; 1; 10/9; 
Leyton Orient; 15/8; 9/5; ; 2; 101/ 50; 9/5; 15/8; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; 15/8; 19/10; 15/8; ; ; 11/8; 13/8; 
Draw; 12/5; 23/10; ; 12/5; 127/ 50; 23/10; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; 12/5; 12/5; 47/20; ; ; 21/10; 2; 
META; english/non-league/national-league/leyton-orient-v-dagenham-redbridge; 2017-12-24 02:23:46 GMT+2; 2017-12-26 13:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; 7/5; ; 13/10; 143/ 100; 5/4; 11/8; ; ; ; ; ; ; ; ; 13/10; ; 13/10; ; ; ; 7/5; 11/8; 27/20; 23/17; ; 1; 23/20; 
Leyton Orient; 15/8; 9/5; ; 2; 101/ 50; 9/5; 15/8; ; ; ; ; ; ; ; ; 9/5; ; 24/13; ; ; ; 15/8; 19/10; 15/8; 19/10; ; 17/10; 13/8; 
Draw; 12/5; 23/10; ; 12/5; 127/ 50; 23/10; 23/10; ; ; ; ; ; ; ; ; 9/4; ; 40/17; ; ; ; 12/5; 12/5; 47/20; 12/5; ; 21/10; 2; 
META; english/non-league/national-league/leyton-orient-v-dagenham-redbridge; 2017-12-24 10:23:36 GMT+2; 2017-12-26 13:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; 7/5; ; 13/10; 73/50; 5/4; 11/8; ; 23/18; ; 13/10; 13/10; ; 27/20; 11/8; 13/10; 13/10; 13/10; 13/10; 13/10; 23/18; 7/5; 11/8; 27/20; 23/17; ; 1; 6/5; 
Leyton Orient; 15/8; 9/5; ; 2; 99/50; 9/5; 15/8; ; 24/13; ; 15/8; 9/5; ; 9/5; 9/5; 9/5; 7/4; 24/13; 7/4; 32/19; 24/13; 15/8; 19/10; 15/8; 24/13; ; 7/5; 17/10; 
Draw; 12/5; 23/10; ; 12/5; 63/25; 23/10; 23/10; ; 40/17; ; 23/10; 21/10; ; 11/5; 12/5; 9/4; 11/5; 12/5; 11/5; 27/11; 40/17; 12/5; 12/5; 47/20; 12/5; ; 9/4; 2; 
META; english/non-league/national-league/leyton-orient-v-dagenham-redbridge; 2017-12-24 14:23:44 GMT+2; 2017-12-26 13:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; 13/10; ; 13/10; 6/4; 13/10; 13/10; ; 23/18; ; 13/10; 13/10; ; 11/8; 11/8; 13/10; 13/10; 7/5; 13/10; 13/10; 23/18; 7/5; 11/8; 27/20; 7/5; ; 1; 13/10; 
