META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-24 02:24:30 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Solihull Moors; 9/2; 4; ; 5; 9/2; 4; 19/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 9/2; 4; ; 74/17; 57/10; ; 22/5; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-25 22:24:37 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 4/7; ; 1/2; 1/2; 1/2; 8/15; 4/9; 1/2; ; 1/2; 8/15; ; ; ; 1/2; 1/2; 1/2; 1/2; 8/15; ; ; 8/15; 8/15; 1/2; ; ; ; 
Draw; 10/3; 16/5; ; 14/5; 16/5; 3; 10/3; 3; 31/10; ; 14/5; 29/10; ; ; ; 3; 31/10; 31/10; 13/4; 69/20; ; ; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 4; ; 5; 9/2; 4; 19/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 9/2; 4; 22/5; 49/11; 57/10; ; ; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-26 02:24:31 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 4/7; ; 1/2; 1/2; 1/2; 8/15; 4/9; 1/2; ; 1/2; 8/15; ; ; ; 1/2; 1/2; 1/2; 1/2; 8/15; ; ; 8/15; 8/15; 1/2; ; ; ; 
Draw; 10/3; 16/5; ; 14/5; 16/5; 3; 10/3; 3; 31/10; ; 14/5; 29/10; ; ; ; 3; 31/10; 31/10; 13/4; 69/20; ; ; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 4; ; 5; 9/2; 4; 19/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 9/2; 4; 22/5; 49/11; 57/10; ; ; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-26 10:24:35 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 4/7; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; ; 1/2; 8/15; ; 1/2; 8/15; 1/2; 1/2; ; ; ; 
Draw; 10/3; 16/5; ; 14/5; 16/5; 3; 10/3; 3; 31/10; ; 14/5; 3; ; ; ; 3; 31/10; ; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 4; ; 5; 5; 4; 5; 9/2; 22/5; ; 9/2; 5; ; ; ; 9/2; 4; ; 9/2; 57/10; ; 22/5; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-26 14:25:08 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Dover; 8/15; 8/15; ; 1/2; 1/2; 1/2; 1/2; 4/9; 1/2; ; 1/2; 1/2; ; ; ; 1/2; 1/2; 1/2; 1/2; 8/15; ; 1/2; 8/15; 1/2; 1/2; ; ; ; 
Draw; 10/3; 3; ; 14/5; 16/5; 3; 10/3; 3; 31/10; ; 11/4; 29/10; ; ; ; 3; 31/10; 31/10; 16/5; 69/20; ; 31/10; 10/3; 16/5; 10/3; ; ; ; 
Solihull Moors; 9/2; 5; ; 5; 5; 4; 21/4; 9/2; 22/5; ; 9/2; 5; ; ; ; 5; 4; 22/5; 9/2; 57/10; ; 22/5; 19/4; 9/2; 19/4; ; ; ; 
META; english/non-league/national-league/dover-v-solihull-moors; 2017-09-26 18:24:50 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
