META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-11 02:21:22 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-11 10:21:31 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-11 14:22:37 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-11 18:22:25 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Solihull Moors; ; 17/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-11 22:22:10 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; 7/5; 7/5; ; ; ; 7/5; 7/5; ; ; ; 29/20; ; ; ; ; 11/8; ; ; ; ; ; 29/20; 7/5; ; ; 8/11; ; 
Solihull Moors; 9/5; 17/10; ; ; ; 17/10; 17/10; ; ; ; 17/10; ; ; ; ; 8/5; ; ; ; ; ; 9/5; 9/5; ; ; 5/6; ; 
Draw; 12/5; 12/5; ; ; ; 11/5; 23/10; ; ; ; 23/10; ; ; ; ; 23/10; ; ; ; ; ; 12/5; 12/5; ; ; 10/9; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-12 02:22:05 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; 7/5; 7/5; ; ; ; 7/5; 7/5; ; ; ; 29/20; 11/8; ; ; ; 11/8; ; ; ; ; ; 29/20; 7/5; ; ; 8/11; ; 
Solihull Moors; 9/5; 17/10; ; ; ; 17/10; 7/4; ; ; ; 7/4; 9/5; ; ; ; 7/4; ; ; ; ; ; 9/5; 9/5; ; ; 5/6; ; 
Draw; 12/5; 12/5; ; ; ; 11/5; 23/10; ; ; ; 9/4; 2; ; ; ; 11/5; ; ; ; ; ; 12/5; 12/5; ; ; 10/9; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-12 10:22:22 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; 7/5; 7/5; ; ; ; 7/5; 7/5; ; ; ; 29/20; 11/8; ; ; ; 11/8; ; 7/5; ; ; ; 29/20; 7/5; ; ; 6/5; ; 
Solihull Moors; 9/5; 17/10; ; ; ; 17/10; 7/4; ; ; ; 9/5; 9/5; ; ; ; 7/4; ; 7/4; ; ; ; 9/5; 9/5; ; ; 7/5; ; 
Draw; 12/5; 12/5; ; ; ; 11/5; 23/10; ; ; ; 11/5; 2; ; ; ; 11/5; ; 9/4; ; ; ; 12/5; 12/5; ; ; 19/10; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-12 14:22:39 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; 7/5; 7/5; ; ; ; 7/5; 11/8; ; ; ; 7/5; 11/8; ; ; 7/5; 11/8; 23/17; 7/5; ; ; 7/5; 7/5; 7/5; 23/17; ; 1; ; 
Solihull Moors; 9/5; 2; ; ; ; 9/5; 7/4; ; ; ; 9/5; 9/5; ; ; 9/5; 7/4; 17/10; 7/4; ; ; 9/5; 15/8; 9/5; 7/4; ; 6/4; ; 
Draw; 12/5; 9/4; ; ; ; 11/5; 9/4; ; ; ; 9/4; 2; ; ; 23/10; 21/10; 23/10; 9/4; ; ; 12/5; 12/5; 12/5; 23/10; ; 7/4; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-12 18:22:41 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; 7/5; 7/5; ; ; ; 7/5; 11/8; ; ; ; 7/5; 13/10; ; ; 7/5; 13/10; 23/17; 7/5; ; ; 7/5; 7/5; 7/5; 23/17; ; 1; ; 
Solihull Moors; 9/5; 2; ; ; ; 9/5; 9/5; ; ; ; 9/5; 9/5; ; ; 9/5; 9/5; 17/10; 7/4; ; ; 9/5; 15/8; 9/5; 7/4; ; 7/4; ; 
Draw; 12/5; 9/4; ; ; ; 11/5; 9/4; ; ; ; 9/4; 21/10; ; ; 23/10; 11/5; 23/10; 9/4; ; ; 12/5; 12/5; 12/5; 23/10; ; 11/5; ; 
META; english/non-league/national-league/solihull-moors-v-dover; 2018-02-12 22:22:45 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
Dover; 7/5; 7/5; ; ; ; 7/5; 11/8; ; ; ; 7/5; 13/10; ; ; 7/5; 13/10; 23/17; 7/5; ; ; 7/5; 7/5; 7/5; 23/17; ; 20/21; ; 
Solihull Moors; 9/5; 2; ; ; ; 9/5; 9/5; ; ; ; 9/5; 9/5; ; ; 9/5; 9/5; 17/10; 7/4; ; ; 9/5; 15/8; 9/5; 7/4; ; 7/4; ; 
