META; english/non-league/national-league/dagenham-redbridge-v-macclesfield; 2017-10-21 22:25:13 GMT+3; 2017-10-24 19:45; Nothing; Xlenovo
Dagenham & Redbridge; 10/11; ; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; 17/20; 17/20; ; ; 1/2; ; 
Draw; 13/5; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 13/5; 13/5; ; ; 6/5; ; 
Macclesfield; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; 31/10; 29/10; ; ; 5/4; ; 
META; english/non-league/national-league/dagenham-redbridge-v-macclesfield; 2017-10-22 02:24:05 GMT+3; 2017-10-24 19:45; Nothing; Xlenovo
Dagenham & Redbridge; 10/11; 4/5; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; 5/6; ; ; ; ; ; ; 17/20; 17/20; ; ; 1/5; ; 
Draw; 13/5; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; 13/5; 13/5; ; ; 21/10; ; 
Macclesfield; 11/4; 16/5; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; 31/10; 29/10; ; ; 5/4; ; 
META; english/non-league/national-league/dagenham-redbridge-v-macclesfield; 2017-10-22 10:24:39 GMT+3; 2017-10-24 19:45; Nothing; Xlenovo
Dagenham & Redbridge; 10/11; 4/5; ; ; ; ; 9/10; 4/5; 9/10; ; 10/11; 5/6; ; ; ; 17/20; ; 10/11; ; ; 9/10; 9/10; 20/23; 9/10; 10/11; ; 4/7; ; 
Draw; 13/5; 5/2; ; ; ; ; 5/2; 12/5; 5/2; ; 5/2; 12/5; ; ; ; 5/2; ; 28/11; ; ; 5/2; 13/5; 13/5; 13/5; 13/5; ; 21/10; ; 
Macclesfield; 11/4; 16/5; ; ; ; ; 14/5; 11/4; 13/5; ; 14/5; 11/4; ; ; ; 14/5; ; 27/10; ; ; 13/5; 14/5; 3; 57/20; 11/4; ; 9/5; ; 
META; english/non-league/national-league/dagenham-redbridge-v-macclesfield; 2017-10-22 14:25:04 GMT+3; 2017-10-24 19:45; Nothing; Xlenovo
Dagenham & Redbridge; 10/11; 4/5; ; ; 7/8; 17/20; 9/10; 4/5; 9/10; ; 10/11; 5/6; ; ; 19/20; 17/20; 11/13; 10/11; 101/100; 19/20; 9/10; 9/10; 19/20; 9/10; 10/11; ; 5/6; ; 
Draw; 13/5; 5/2; ; ; 12/5; 12/5; 5/2; 12/5; 5/2; ; 12/5; 12/5; ; ; 13/5; 5/2; 12/5; 28/11; 11/4; 27/11; 5/2; 13/5; 13/5; 13/5; 13/5; ; 21/10; ; 
Macclesfield; 11/4; 16/5; ; ; 13/5; 11/4; 11/4; 11/4; 13/5; ; 14/5; 11/4; ; ; 13/5; 11/4; 13/5; 11/4; 141/50; 40/17; 13/5; 14/5; 11/4; 57/20; 11/4; ; 3/10; ; 
META; english/non-league/national-league/dagenham-redbridge-v-macclesfield; 2017-10-22 18:23:58 GMT+3; 2017-10-24 19:45; Nothing; Xlenovo
Dagenham & Redbridge; 10/11; 19/20; 19/20; ; 7/8; 20/23; 10/11; 4/5; 9/10; 19/20; 10/11; 20/23; ; ; 19/20; 10/11; 11/13; 10/11; 101/100; 19/20; 9/10; 10/11; 20/21; 10/11; 19/20; ; 8/11; ; 
Draw; 13/5; 12/5; 23/10; ; 12/5; 23/10; 12/5; 12/5; 5/2; 23/10; 12/5; 23/10; ; ; 12/5; 12/5; 12/5; 27/11; 64/25; 12/5; 5/2; 12/5; 5/2; 5/2; 5/2; ; 21/10; ; 
Macclesfield; 11/4; 11/4; 27/10; ; 13/5; 29/10; 11/4; 11/4; 13/5; 27/10; 14/5; 13/5; ; ; 14/5; 13/5; 13/5; 11/4; 61/20; 12/5; 13/5; 14/5; 14/5; 14/5; 14/5; ; 1/50; ; 
