META; english/non-league/national-league/bromley-v-ebbsfleet-united; 2017-12-27 18:24:49 GMT+2; 2018-01-01 19:45; Nothing; Xlenovo
Bromley; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; ; ; 
Ebbsfleet United; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/4; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; 
META; english/non-league/national-league/bromley-v-ebbsfleet-united; 2017-12-27 22:25:21 GMT+2; 2018-01-01 19:45; Nothing; Xlenovo
Bromley; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; 6/4; ; 6/4; 16/11; ; ; ; 
Ebbsfleet United; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 7/4; ; 7/4; 17/10; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 23/10; ; 9/4; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-ebbsfleet-united; 2017-12-28 02:26:01 GMT+2; 2018-01-01 19:45; Nothing; Xlenovo
Bromley; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; 6/4; ; 6/4; 16/11; ; ; ; 
Ebbsfleet United; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; 7/4; ; 7/4; 17/10; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; ; ; 23/10; ; 9/4; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-ebbsfleet-united; 2017-12-28 10:24:51 GMT+2; 2018-01-01 19:45; Nothing; Xlenovo
Bromley; 6/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 16/11; ; ; 31/21; 6/4; ; 6/4; 16/11; ; ; ; 
Ebbsfleet United; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 17/10; ; ; 17/10; 7/4; ; 7/4; 17/10; ; ; ; 
