Draw; 14/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 147/50; 27/10; 13/5; ; 14/5; 11/4; 27/10; ; 12/5; 12/5; 
Guiseley; 3; 16/5; 16/5; 16/5; 14/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 14/5; ; 31/10; 16/5; 3; 14/5; 16/5; 7/2; 27/10; 31/10; ; 10/3; 16/5; 13/4; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-20 14:24:22 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; ; 31/40; 8/11; 3/4; ; 10/13; 3/4; 4/5; 3/4; ; 3/4; 4/5; 8/11; 3/4; 10/13; 83/100; 13/18; 10/13; ; 3/4; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 14/5; 11/4; 13/5; ; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 73/25; 27/10; 13/5; ; 14/5; 11/4; 27/10; ; 12/5; 12/5; 
Guiseley; 3; 16/5; 16/5; ; 14/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 14/5; ; 16/5; 16/5; 3; 14/5; 16/5; 69/20; 3; 31/10; ; 10/3; 16/5; 13/4; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-20 18:24:39 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 4/5; 31/40; 8/11; 4/5; ; 10/13; 3/4; 4/5; 3/4; ; 3/4; 4/5; 8/11; 3/4; 10/13; 41/50; 13/18; 10/13; ; 3/4; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 14/5; 11/4; 13/5; 13/5; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 147/50; 27/10; 13/5; ; 14/5; 11/4; 27/10; ; 12/5; 12/5; 
Guiseley; 3; 16/5; 16/5; 3; 14/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 14/5; ; 16/5; 16/5; 3; 14/5; 16/5; 7/2; 3; 31/10; ; 10/3; 16/5; 16/5; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-20 22:24:36 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 4/5; 31/40; 8/11; 4/5; ; 10/13; 3/4; 4/5; 3/4; ; 3/4; 4/5; 8/11; 3/4; 10/13; 83/100; 11/14; 10/13; ; 3/4; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 14/5; 11/4; 13/5; 13/5; 13/5; 13/5; 11/4; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 73/25; 14/5; 13/5; ; 14/5; 11/4; 27/10; ; 5/2; 5/2; 
Guiseley; 3; 16/5; 16/5; 3; 14/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 14/5; ; 31/10; 16/5; 3; 14/5; 16/5; 69/20; 3; 31/10; ; 10/3; 16/5; 16/5; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-21 02:24:20 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 4/5; 31/40; 8/11; 4/5; ; 10/13; 3/4; 4/5; 3/4; ; 3/4; 4/5; 8/11; 3/4; 10/13; 83/100; 11/14; 10/13; ; 3/4; 10/13; 10/13; ; 8/11; 8/11; 
Draw; 14/5; 11/4; 13/5; 13/5; 13/5; 13/5; 11/4; ; 13/5; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 73/25; 14/5; 13/5; ; 14/5; 11/4; 27/10; ; 13/5; 13/5; 
Guiseley; 3; 16/5; 16/5; 3; 14/5; 16/5; 16/5; ; 31/10; 16/5; 16/5; 14/5; ; 31/10; 16/5; 3; 14/5; 16/5; 69/20; 3; 31/10; ; 10/3; 16/5; 16/5; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-21 10:24:31 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
AFC Fylde; 4/5; 3/4; 3/4; 4/5; 31/40; 8/11; 4/5; ; 7/9; 3/4; 4/5; 3/4; ; 3/4; 4/5; 8/11; 3/4; 10/13; 5/6; 11/14; 7/9; ; 3/4; 10/13; 10/13; ; 8/11; 4/5; 
Draw; 14/5; 11/4; 13/5; 13/5; 13/5; 13/5; 11/4; ; 45/17; 13/5; 13/5; 5/2; ; 13/5; 13/5; 13/5; 13/5; 27/10; 73/25; 14/5; 45/17; ; 14/5; 11/4; 27/10; ; 27/10; 11/4; 
Guiseley; 3; 16/5; 16/5; 3; 14/5; 16/5; 16/5; ; 56/19; 16/5; 16/5; 14/5; ; 31/10; 16/5; 3; 14/5; 16/5; 69/20; 3; 56/19; ; 10/3; 16/5; 16/5; ; 3; 3; 
META; english/non-league/national-league/afc-fylde-v-guiseley; 2017-11-21 14:24:36 GMT+2; 2017-11-21 19:45; Nothing; Xlenovo
