META; english/non-league/national-league/halifax-v-afc-fylde; 2017-08-28 22:26:51 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
AFC Fylde; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/25; ; 
Halifax; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
META; english/non-league/national-league/halifax-v-afc-fylde; 2017-08-29 02:26:07 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Halifax; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
AFC Fylde; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/halifax-v-afc-fylde; 2017-08-29 10:25:55 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Halifax; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/5; ; 
AFC Fylde; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/non-league/national-league/halifax-v-afc-fylde; 2017-08-29 14:26:23 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Halifax; 5/4; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; 13/10; ; ; ; ; 5/4; ; 4/5; ; 
AFC Fylde; 2; ; 39/20; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; 11/5; ; ; ; ; 2; ; 23/20; ; 
Draw; 5/2; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; 13/5; ; ; ; ; 12/5; ; 21/20; ; 
META; english/non-league/national-league/halifax-v-afc-fylde; 2017-08-29 18:26:58 GMT+3; 2017-09-02 15:00; Nothing; Xlenovo
Halifax; 5/4; 13/10; 13/10; 5/4; 6/5; 61/50; 13/10; 6/5; 23/18; 5/4; 5/4; 6/5; 13/10; ; 13/10; 5/4; 6/5; 5/4; 5/4; 141/100; 11/9; 23/18; ; ; 5/4; ; 6/5; 5/4; 
AFC Fylde; 2; 9/5; 15/8; 15/8; 2; 7/4; 19/10; 2; 7/4; 28/15; 15/8; 7/4; 39/20; ; 2; 15/8; 7/4; 7/4; 24/13; 52/25; 19/11; 7/4; ; ; 2; ; 9/5; 9/5; 
Draw; 5/2; 12/5; 47/20; 12/5; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 49/20; ; 23/10; 12/5; 12/5; 5/2; 12/5; 5/2; 28/11; 5/2; ; ; 12/5; ; 23/10; 9/4; 
