META; english/non-league/national-league/ebbsfleet-united-v-sutton; 2018-04-21 18:22:25 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Draw; 1; 23/20
Ebbsfleet United; 2; 15/8
Sutton; 11/4; 5/2
