META; english/non-league/national-league/tranmere-v-sutton; 2017-08-09 14:22:32 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 8/13; 2/3; ; ; ; ; 13/20; ; ; ; ; ; 3/5; ; ; 4/6; ; ; ; 31/50; ; ; ; ; 8/13; ; ; ; 
Draw; 11/4; 5/2; ; ; ; ; 11/4; ; ; ; ; ; 11/4; ; ; 27/10; ; ; ; 143/50; ; ; ; ; 11/4; ; ; ; 
Sutton; 9/2; 7/2; ; ; ; ; 22/5; ; ; ; ; ; 19/4; ; ; 4; ; ; ; 57/10; ; ; ; ; 9/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-sutton; 2017-08-09 18:22:08 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 8/13; 2/3; 6/10; ; 4/7; 4/7; 8/13; 8/15; ; ; ; ; 4/7; ; ; 8/13; 4/7; ; 10/17; 13/20; ; ; ; 4/7; 8/13; ; ; ; 
Draw; 11/4; 5/2; 14/5; ; 11/4; 13/5; 11/4; 11/4; ; ; ; ; 11/4; ; ; 11/4; 13/5; ; 11/4; 72/25; ; ; ; 11/4; 11/4; ; ; ; 
Sutton; 9/2; 7/2; 17/4; ; 9/2; 15/4; 19/4; 9/2; ; ; ; ; 5; ; ; 9/2; 4; ; 9/2; 26/5; ; ; ; 19/4; 9/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-sutton; 2017-08-09 22:22:10 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 8/13; 8/13; 6/10; ; 4/7; 4/7; 4/7; 8/15; ; ; ; 11/20; 4/7; ; ; 4/7; 4/7; ; 10/17; 13/20; ; ; ; 4/7; 8/13; ; ; ; 
Draw; 11/4; 3; 14/5; ; 11/4; 13/5; 3; 11/4; ; ; ; 11/4; 11/4; ; ; 29/10; 13/5; ; 11/4; 72/25; ; ; ; 11/4; 11/4; ; ; ; 
Sutton; 9/2; 17/4; 17/4; ; 9/2; 15/4; 19/4; 9/2; ; ; ; 4; 5; ; ; 9/2; 4; ; 50/11; 26/5; ; ; ; 19/4; 9/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-sutton; 2017-08-10 02:22:08 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 8/13; 8/13; 6/10; ; 4/7; 4/7; 4/7; 8/15; ; ; ; 11/20; 4/7; ; ; 4/7; 4/7; ; 11/18; 13/20; ; ; ; 4/7; 8/13; ; ; ; 
Draw; 11/4; 3; 14/5; ; 11/4; 13/5; 3; 11/4; ; ; ; 11/4; 11/4; ; ; 29/10; 13/5; ; 11/4; 72/25; ; ; ; 11/4; 11/4; ; ; ; 
Sutton; 9/2; 17/4; 17/4; ; 9/2; 15/4; 19/4; 9/2; ; ; ; 4; 5; ; ; 9/2; 4; ; 9/2; 26/5; ; ; ; 19/4; 9/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-sutton; 2017-08-10 10:22:05 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 8/13; 8/13; 4/7; ; 4/7; 4/7; 4/7; 8/15; 4/7; ; ; 11/20; 4/7; ; ; 4/7; 4/7; ; 10/17; 13/20; ; 4/7; ; 4/7; 8/13; ; ; ; 
Draw; 11/4; 3; 29/10; ; 11/4; 13/5; 3; 11/4; 13/5; ; ; 11/4; 11/4; ; ; 29/10; 13/5; ; 27/10; 72/25; ; 13/5; ; 11/4; 11/4; ; ; ; 
Sutton; 9/2; 17/4; 17/4; ; 9/2; 15/4; 19/4; 9/2; 22/5; ; ; 4; 5; ; ; 9/2; 4; ; 50/11; 26/5; ; 22/5; ; 19/4; 9/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-sutton; 2017-08-10 14:22:15 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 8/13; 8/13; 4/7; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; ; ; 11/20; 4/7; ; 3/5; 4/7; 4/7; ; 11/18; 13/20; ; 4/7; ; 4/7; 8/13; ; ; ; 
Draw; 11/4; 3; 29/10; 11/4; 11/4; 13/5; 3; 11/4; 13/5; ; ; 11/4; 11/4; ; 14/5; 29/10; 13/5; ; 27/10; 72/25; ; 13/5; ; 11/4; 11/4; ; ; ; 
Sutton; 9/2; 17/4; 17/4; 9/2; 9/2; 15/4; 19/4; 9/2; 22/5; ; ; 4; 5; ; 9/2; 9/2; 4; ; 50/11; 26/5; ; 22/5; ; 19/4; 9/2; ; ; ; 
META; english/non-league/national-league/tranmere-v-sutton; 2017-08-10 18:22:39 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 4/7; 4/7; 4/7; 11/20; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 4/7; ; 4/7; 4/7; 4/7; ; 5/9; 61/100; 4/7; 4/7; ; 4/7; 4/7; ; ; 8/15; 
Draw; 14/5; 3; 11/4; 11/4; 11/4; 11/4; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 59/20; ; 14/5; 29/10; 13/5; ; 29/10; 63/20; 3; 13/5; ; 3; 3; ; ; 11/4; 
Sutton; 5; 19/4; 9/2; 9/2; 9/2; 19/5; 19/4; 9/2; 22/5; 9/2; 9/2; 9/2; 19/4; ; 19/4; 9/2; 4; ; 19/4; 51/10; 9/2; 22/5; ; 9/2; 9/2; ; ; 23/5; 
META; english/non-league/national-league/tranmere-v-sutton; 2017-08-10 22:23:32 GMT+3; 2017-08-12 15:00; Nothing; Xlenovo
Tranmere; 4/7; 4/7; 4/7; 4/7; 4/7; 11/20; 4/7; 8/15; 4/7; 4/7; 4/7; 11/20; 4/7; ; 4/7; 4/7; 4/7; ; 5/9; 3/5; 4/7; 4/7; ; 4/7; 4/7; ; 8/15; 8/15; 
Draw; 14/5; 3; 11/4; 11/4; 11/4; 11/4; 3; 11/4; 13/5; 11/4; 11/4; 5/2; 59/20; ; 14/5; 29/10; 13/5; ; 29/10; 16/5; 56/19; 13/5; ; 3; 3; ; 27/10; 27/10; 
Sutton; 5; 19/4; 9/2; 9/2; 9/2; 19/5; 19/4; 9/2; 22/5; 9/2; 9/2; 9/2; 19/4; ; 19/4; 9/2; 4; ; 19/4; 26/5; 9/2; 22/5; ; 9/2; 9/2; ; 9/2; 7/2; 
