META; english/non-league/national-league/sutton-v-boreham-wood; 2018-01-01 18:22:55 GMT+2; 2018-01-01 15:00; In Play; Xlenovo
Sutton; ; 1/5; 1/4; 2/9; ; ; 6/4; ; 1/6; 1/4; 2/9; 1/5; ; 1/4; 1/4; 2/11; 2/11; ; 1/6; 1/5; 3/19; ; ; 2/9; 3/13; ; ; ; 
Draw; ; 4; 15/4; 15/4; ; ; 11/10; ; 22/5; 18/5; 4; 4; ; 18/5; 7/2; 4; 15/4; ; 15/4; 62/17; 23/5; ; ; 4; 37/10; ; ; ; 
Boreham Wood; ; 20; 16; 14; ; ; 10/3; ; 19; 18; 22; 20; ; 14; 12; 20; 37/2; ; 20; 18; 20; ; ; 22; 59/4; ; ; ; 
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-04 02:21:37 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1
Draw; 23/10
Boreham Wood; 11/4
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-04 10:21:38 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 1; 19/20; 1; 
Draw; 23/10; 23/10; 9/4; 11/5; 23/10
Boreham Wood; 11/4; 11/4; 11/4; 13/5; 29/10
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-04 14:21:59 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 20/21; 21/20; 19/20; 1; 5/6; ; 
Draw; 23/10; 23/10; 12/5; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 13/5
Boreham Wood; 11/4; 11/4; 31/10; 11/4; 11/4; 5/2; 14/5; 13/5; 29/10; 13/5
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-04 18:22:08 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 11/10; 1; 21/20; 1; 27/25; 19/20; 1; 21/20; 1; 20/21; 21/20; 21/20; 1; 21/20; 1; 21/20; 1; 21/20; 21/20; 21/20; 
Draw; 12/5; 23/10; 11/5; 23/10; 127/0; 21/10; 12/5; 9/4; 11/5; 23/10; 23/10; 11/5; 12/5; 11/5; 40/17; 23/10; 5/2; 9/4; 12/5; 40/17; 12/5
Boreham Wood; 12/5; 11/4; 5/2; 11/4; 141/0; 13/5; 11/4; 45/17; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 27/11; 23/10; 40/17; 45/17; 13/5; 5/2; 27/10
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-04 22:21:58 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 11/10; 1; 21/20; 1; 109/00; 19/20; 1; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 21/20; 1; 21/20; 1; 21/20; 21/20; 10/11; 21/20; 
Draw; 12/5; 23/10; 11/5; 23/10; 127/0; 21/10; 12/5; 9/4; 11/5; 23/10; 23/10; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 40/17; 19/10; 12/5
Boreham Wood; 12/5; 11/4; 5/2; 11/4; 139/0; 13/5; 11/4; 45/17; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 27/11; 23/10; 40/17; 45/17; 13/5; 5/2; 2; 13/5
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-05 02:21:46 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 27/25; 19/20; 1; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 1; 21/20; 1; 21/20; 1; 10/11; 21/20; ; ; 
Draw; 5/2; 23/10; 11/5; 23/10; 51/20; 21/10; 12/5; 9/4; 11/5; 23/10; 23/10; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 12/5; 19/10; 5/2
Boreham Wood; 13/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 45/17; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 28/11; 23/10; 40/17; 45/17; 13/5; 13/5; 2; 27/10
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-05 10:21:52 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 27/25; 19/20; 1; 21/20; 1; 21/20; 21/20; 19/20; 1; 21/20; 1; 21/20; 21/20; 10/11; 21/20; ; ; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 51/20; 21/10; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 12/5; 19/10; 5/2
Boreham Wood; 13/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 45/17; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 5/2; 23/10; 40/17; 45/17; 13/5; 28/11; 2; 27/10
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-05 14:22:48 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 27/25; 19/20; 1; 21/20; 1; 21/20; 21/20; 19/20; 1; 21/20; 1; 21/20; 1; 10/11; 21/20; ; ; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 51/20; 21/10; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 12/5; 19/10; 5/2
Boreham Wood; 13/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 45/17; 5/2; 13/5; 12/5; 5/2; 13/5; 5/2; 28/11; 23/10; 40/17; 45/17; 13/5; 13/5; 2; 27/10
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-05 18:21:58 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 27/25; 19/20; 1; 21/20; 1; 21/20; 21/20; 19/20; 1; 21/20; 1; 21/20; 1; 10/11; 21/20; ; ; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 51/20; 21/10; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 12/5; 19/10; 5/2
Boreham Wood; 13/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 45/17; 5/2; 12/5; 5/2; 13/5; 5/2; 28/11; 23/10; 40/17; 45/17; 13/5; 13/5; 2; 27/10; 
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-05 22:19:14 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 27/25; 1; 1; 21/20; 1; 21/20; 21/20; 19/20; 1; 21/20; 1; 21/20; 1; 10/11; 21/20; ; ; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 51/20; 11/5; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 12/5; 19/10; 5/2
Boreham Wood; 13/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 45/17; 5/2; 12/5; 5/2; 13/5; 5/2; 28/11; 23/10; 40/17; 45/17; 13/5; 13/5; 2; 27/10; 
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-06 02:19:36 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 27/25; 1; 1; 21/20; 1; 21/20; 21/20; 19/20; 1; 21/20; 1; 21/20; 1; 10/11; 21/20; ; ; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 51/20; 11/5; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 12/5; 19/10; 5/2
Boreham Wood; 13/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 45/17; 5/2; 12/5; 5/2; 13/5; 5/2; 28/11; 23/10; 40/17; 45/17; 13/5; 13/5; 2; 27/10; 
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-06 10:19:46 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 1; 27/25; 1; 1; 1; 21/20; 19/20; 1; 21/20; 1; 1; 10/11; 21/20; ; ; ; ; ; ; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 51/20; 11/5; 12/5; 9/4; 11/5; 23/10; 11/5; 11/5; 12/5; 9/4; 40/17; 23/10; 5/2; 9/4; 12/5; 12/5; 2; 5/2
Boreham Wood; 13/5; 11/4; 5/2; 11/4; 14/5; 13/5; 11/4; 45/17; 5/2; 12/5; 5/2; 13/5; 5/2; 28/11; 23/10; 40/17; 45/17; 27/10; 13/5; 12/5; 27/10; 
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-06 14:19:55 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Sutton; 1; 21/20; 1; 107/00; 1; 1; 21/20; 1; 20/21; 21/20; 21/20; 19/20; 1; 17/16; 1; 21/20; 21/20; 1; 21/20; 21/20; 11/10; ; ; 
Draw; 5/2; 12/5; 11/5; 23/10; 57/25; 11/5; 9/4; 9/4; 11/5; 9/4; 21/10; 11/5; 21/10; 11/5; 11/5; 23/10; 23/10; 9/4; 12/5; 11/5; 11/5; 11/5; 9/4; 19/10
Boreham Wood; 13/5; 11/4; 13/5; 11/4; 16/5; 13/5; 11/4; 45/17; 13/5; 13/5; 13/5; 5/2; 3; 13/5; 11/4; 23/10; 5/2; 45/17; 13/5; 11/4; 3; 14/5; 14/5; 13/5
META; english/non-league/national-league/sutton-v-boreham-wood; 2018-05-06 18:18:40 GMT+3; 2018-05-06 15:00; Nothing; Xlenovo
Boreham Wood; 1/14; 1/12; 8/15; 1/20; 29/50; 1/12; 1/10; 1/2; 8/15; 6/11; 1/16; 1/16; 1/16; 6/11; 1/2; 8/15
Draw; 17/2; 13/2; 12/5; 17/2; 67/25; 15/2; 8; 11/5; 12/5; 11/5; 29/4; 81/10; 17/2; 28/13; 12/5; 5/2
Sutton; 33; 28; 13/2; 25; 30; 28; 13/2; 11/2; 13/2; 22; 20; 28; 15/2; 8; ; 
