META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-27 18:24:24 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/20; ; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-27 22:24:48 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; ; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-28 02:25:37 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; ; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-28 10:24:26 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; ; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-28 14:24:41 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; 15/13; ; ; 15/13; ; ; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; ; ; ; 39/19; ; ; 39/19; ; ; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; 12/5; ; ; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-28 18:24:36 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; 15/13; ; ; 15/13; ; ; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; ; ; ; 39/19; ; ; 39/19; ; ; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; 12/5; ; ; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-28 22:24:34 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; 15/13; ; ; 15/13; ; 6/5; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; ; ; ; 39/19; ; ; 39/19; ; 85/40; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; 12/5; ; 5/2; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-29 02:24:27 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; ; ; 15/13; ; ; ; ; ; ; ; ; 15/13; ; ; 15/13; ; 6/5; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; ; ; 39/19; ; ; ; ; ; ; ; ; 39/19; ; ; 39/19; ; 85/40; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; 12/5; ; 5/2; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-29 10:24:28 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; ; 6/5; ; 15/13; ; 23/20; 23/20; ; 6/5; ; ; 15/13; 15/13; 15/13; ; 15/13; ; 6/5; 23/20; 15/13; ; ; ; 
AFC Fylde; 21/10; ; ; ; ; ; 2; ; 39/19; ; 21/10; 2; ; 41/20; ; ; 24/13; 39/19; 24/13; ; 39/19; ; 11/5; 21/10; 39/19; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; 12/5; ; 12/5; 11/5; ; 23/10; ; ; 12/5; 27/11; 12/5; ; 12/5; ; 12/5; 5/2; 27/11; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-29 18:24:37 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; 11/10; 6/5; ; 15/13; ; 23/20; 11/10; ; 6/5; ; ; 15/13; 15/13; 15/13; ; 15/13; ; 6/5; 23/20; 15/13; ; 20/21; ; 
AFC Fylde; 21/10; ; ; ; ; 21/10; 21/10; ; 39/19; ; 21/10; 2; ; 41/20; ; ; 24/13; 39/19; 24/13; ; 39/19; ; 11/5; 21/10; 21/10; ; 19/10; ; 
Draw; 5/2; ; ; ; ; 23/10; 12/5; ; 12/5; ; 12/5; 12/5; ; 23/10; ; ; 12/5; 27/11; 12/5; ; 12/5; ; 12/5; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-29 22:24:37 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; 11/10; 6/5; ; 15/13; ; 23/20; 11/10; ; 6/5; ; ; 15/13; 15/13; 15/13; ; 15/13; ; 6/5; 23/20; 15/13; ; 20/21; ; 
AFC Fylde; 21/10; ; ; ; ; 21/10; 21/10; ; 39/19; ; 21/10; 2; ; 41/20; ; ; 24/13; 39/19; 24/13; ; 39/19; ; 85/40; 21/10; 21/10; ; 19/10; ; 
Draw; 5/2; ; ; ; ; 23/10; 12/5; ; 12/5; ; 12/5; 12/5; ; 23/10; ; ; 12/5; 27/11; 12/5; ; 12/5; ; 5/2; 5/2; 5/2; ; 23/10; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-30 02:24:30 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; 11/10; 6/5; ; 15/13; ; 23/20; 11/10; ; 6/5; ; ; 15/13; 15/13; 15/13; ; 15/13; ; 6/5; 23/20; 15/13; ; 20/21; ; 
AFC Fylde; 21/10; ; ; ; ; 21/10; 21/10; ; 39/19; ; 21/10; 2; ; 41/20; ; ; 24/13; 39/19; 24/13; ; 39/19; ; 85/40; 21/10; 21/10; ; 19/10; ; 
Draw; 5/2; ; ; ; ; 23/10; 12/5; ; 12/5; ; 12/5; 12/5; ; 23/10; ; ; 12/5; 27/11; 12/5; ; 12/5; ; 5/2; 5/2; 5/2; ; 2; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-30 10:24:28 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; ; ; 11/10; 6/5; ; 15/13; ; 23/20; 11/10; ; 6/5; ; ; 15/13; 15/13; 15/13; ; 15/13; ; 6/5; 23/20; 15/13; ; 20/21; ; 
AFC Fylde; 21/10; ; ; ; ; 21/10; 21/10; ; 39/19; ; 21/10; 2; ; 41/20; ; ; 24/13; 39/19; 24/13; ; 39/19; ; 85/40; 21/10; 21/10; ; 19/10; ; 
Draw; 5/2; ; ; ; ; 23/10; 12/5; ; 12/5; ; 12/5; 12/5; ; 23/10; ; ; 12/5; 27/11; 12/5; ; 12/5; ; 5/2; 5/2; 5/2; ; 23/10; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-30 14:25:10 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 6/5; ; ; 23/20; ; 11/10; 6/5; ; 15/13; ; 11/10; 11/10; ; 6/5; ; ; 15/13; 15/13; 15/13; ; 15/13; ; 23/20; 23/20; 15/13; ; 20/21; ; 
AFC Fylde; 21/10; ; ; 2; ; 21/10; 21/10; ; 39/19; ; 21/10; 2; ; 41/20; ; ; 24/13; 21/10; 24/13; ; 39/19; ; 11/5; 21/10; 21/10; ; 15/8; ; 
Draw; 5/2; ; ; 12/5; ; 23/10; 5/2; ; 12/5; ; 12/5; 12/5; ; 23/10; ; ; 12/5; 28/11; 12/5; ; 12/5; ; 5/2; 13/5; 28/11; ; 23/10; ; 
META; english/non-league/national-league/afc-fylde-v-tranmere; 2017-12-30 18:24:26 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; 13/10; 23/20; 27/20; 23/20; 6/5; ; 15/13; 13/10; 6/5; 5/4; ; 5/4; 5/4; 6/5; 15/13; 5/4; 15/13; 17/14; 15/13; ; 5/4; 5/4; 5/4; ; 1; ; 
AFC Fylde; 2; ; 19/10; 2; 109/ 50; 19/10; 2; ; 39/19; 19/10; 2; 19/10; ; 19/10; 2; 19/10; 24/13; 37/19; 24/13; 7/4; 39/19; ; 2; 39/20; 37/19; ; 19/10; ; 
