META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-22 14:23:31 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
Sutton Utd; 1
Draw; 12/5
Aldershot; 11/4
META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-22 18:23:01 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
Sutton Utd; 1; 20/21; 20/21; 7/4; 
Draw; 12/5; 23/10; 12/5; 7/4; 
Aldershot; 11/4; 13/5; 13/5; 14/5; 7/4
META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-22 22:22:23 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
Sutton Utd; 1; 20/21; 10/11; 10/11; 10/11; 7/4; 
Draw; 12/5; 23/10; 12/5; 11/5; 23/10; 7/4; 
Aldershot; 11/4; 13/5; 11/4; 13/5; 13/5; 14/5; 7/4
META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-23 02:22:42 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
Sutton Utd; 1; 20/21; 10/11; 10/11; 10/11; 20/21; 4/7; 7/4
Draw; 12/5; 23/10; 12/5; 11/5; 23/10; 5/4; 7/4; 
Aldershot; 11/4; 13/5; 11/4; 13/5; 13/5; 29/10; 13/10; 7/4
META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-23 10:22:41 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
Sutton Utd; 1; 20/23; 20/21; 1; 20/21; 10/11; 19/20; 19/20; 1; 20/21; 19/20; 8/13; 7/4
Draw; 12/5; 23/10; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 9/4; 23/10; 7/5; 7/4; 
Aldershot; 11/4; 11/4; 11/4; 13/5; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 13/5; 7/4; 7/4
META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-23 14:23:06 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
Sutton Utd; 1; 20/23; 20/21; 1; 20/21; 10/11; 19/20; 19/20; 1; 20/21; 19/20; 8/11; 8/13
Draw; 12/5; 23/10; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 9/4; 9/4; 17/10; 8/5; 
Aldershot; 11/4; 11/4; 13/5; 13/5; 14/5; 13/5; 13/5; 13/5; 13/5; 29/10; 45/17; 2; 11/8
META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-23 18:23:08 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
Sutton Utd; 1; 20/23; 20/21; 1; 20/21; 20/21; 19/20; 19/20; 1; 20/21; 19/20; 5/6; 5/6
Draw; 12/5; 23/10; 23/10; 9/4; 23/10; 11/5; 9/4; 9/4; 9/4; 9/4; 2; 7/4; 
Aldershot; 11/4; 11/4; 13/5; 13/5; 11/4; 5/2; 13/5; 13/5; 13/5; 29/10; 45/17; 8/5; 13/10
META; english/non-league/national-league/sutton-utd-v-aldershot; 2018-04-23 22:23:03 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
