META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-15 02:24:40 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-15 10:24:23 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-15 14:24:34 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-15 18:23:43 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-15 22:24:23 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; ; ; ; ; ; 23/20; ; ; ; ; 6/5; ; ; ; ; ; ; 5/4; ; ; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; ; ; ; ; ; 19/10; ; ; ; ; 19/10; ; ; ; ; ; ; 21/10; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; ; ; ; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-16 02:24:08 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; ; ; 11/10; ; ; 23/20; ; ; ; ; 6/5; ; ; ; ; ; ; 5/4; ; ; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; ; ; 2; ; ; 19/10; ; ; ; ; 19/10; ; ; ; ; ; ; 21/10; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; ; ; 11/5; ; ; 23/10; ; ; ; ; 12/5; ; ; ; ; ; ; 5/2; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-16 10:24:03 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; 23/20; 5/4; 11/10; 13/11; ; 23/20; ; ; ; ; 6/5; 15/13; 15/13; ; ; 13/11; ; 6/5; ; 15/13; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; 39/20; 2; 15/8; 39/19; ; 19/10; ; ; ; ; 2; 37/19; 2; ; ; 39/19; ; 21/10; ; 39/19; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/10; ; ; ; ; 23/10; 23/10; 40/17; ; ; 23/10; ; 5/2; ; 40/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-16 14:24:45 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; 23/20; 5/4; 11/10; 13/11; ; 23/20; ; ; ; ; 6/5; 15/13; 15/13; ; ; 13/11; ; 6/5; ; 15/13; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; 39/20; 2; 15/8; 39/19; ; 19/10; ; ; ; ; 2; 37/19; 2; ; ; 39/19; ; 21/10; ; 2; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/10; ; ; ; ; 23/10; 23/10; 40/17; ; ; 23/10; ; 5/2; ; 40/17; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-16 18:24:08 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; 23/20; 5/4; 11/10; 13/11; ; 23/20; ; ; ; ; 6/5; 15/13; 15/13; ; ; 13/11; ; 5/4; 6/5; 15/13; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; 39/20; 2; 15/8; 39/19; ; 19/10; ; ; ; ; 2; 37/19; 39/19; ; ; 39/19; ; 21/10; 2; 39/19; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 23/10; ; ; ; ; 23/10; 23/10; 40/17; ; ; 23/10; ; 12/5; 5/2; 12/5; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-16 22:24:08 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; 23/20; 5/4; 11/10; 13/11; ; 23/20; ; ; ; ; 6/5; 15/13; 15/13; ; ; 13/11; ; 6/5; 6/5; 15/13; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; 39/20; 2; 15/8; 39/19; ; 15/8; ; ; ; ; 19/10; 37/19; 39/19; ; ; 39/19; ; 21/10; 2; 39/19; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 12/5; ; ; ; ; 12/5; 23/10; 40/17; ; ; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-17 02:23:54 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; 23/20; 5/4; 11/10; 13/11; ; 23/20; ; ; ; ; 6/5; 15/13; 15/13; ; ; 13/11; ; 6/5; 6/5; 15/13; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; 39/20; 2; 15/8; 39/19; ; 15/8; ; ; ; ; 19/10; 37/19; 39/19; ; ; 39/19; ; 21/10; 2; 39/19; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 12/5; ; ; ; ; 12/5; 23/10; 40/17; ; ; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-17 10:24:14 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 6/5; 13/10; ; ; 6/5; 23/20; 5/4; 11/10; 13/11; ; 23/20; ; ; ; ; 6/5; 15/13; 15/13; ; ; 13/11; ; 6/5; 6/5; 15/13; ; ; ; 
Maidstone; 21/10; 19/10; ; ; 2; 39/20; 2; 15/8; 39/19; ; 15/8; ; ; ; ; 19/10; 37/19; 39/19; ; ; 39/19; ; 21/10; 2; 39/19; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 12/5; ; ; ; ; 12/5; 23/10; 40/17; ; ; 23/10; ; 5/2; 5/2; 12/5; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-17 14:24:46 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 5/4; 13/10; 13/10; ; 5/4; 23/20; 5/4; 11/10; 13/11; 13/10; 6/5; ; ; ; ; 5/4; 15/13; 6/5; ; ; 13/11; ; 13/10; 13/10; 6/5; ; ; ; 
Maidstone; 2; 19/10; 9/5; ; 2; 39/20; 2; 15/8; 39/19; 9/5; 15/8; ; ; ; ; 19/10; 37/19; 37/19; ; ; 39/19; ; 21/10; 39/20; 2; ; ; ; 
Draw; 5/2; 23/10; 23/10; ; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 23/10; ; ; ; ; 23/10; 23/10; 40/17; ; ; 23/10; ; 23/10; 12/5; 12/5; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-17 18:25:58 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 13/10; 13/10; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 13/11; 13/10; 13/10; ; ; ; 11/8; 13/10; 11/10; 13/10; 143/100; 14/11; 13/11; ; 11/8; 27/20; 13/10; ; ; 13/10; 
Maidstone; 15/8; 19/10; 7/4; 17/10; 15/8; 39/20; 9/5; 9/5; 39/19; 7/4; 17/10; ; ; ; 9/5; 9/5; 37/19; 9/5; 48/25; 27/17; 39/19; ; 9/5; 9/5; 24/13; ; ; 7/4; 
Draw; 5/2; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 12/5; ; ; ; 12/5; 12/5; 12/5; 12/5; 67/25; 45/17; 23/10; ; 13/5; 5/2; 12/5; ; ; 9/4; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-17 22:25:19 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 13/10; 13/10; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 23/18; 13/10; 13/10; ; ; ; 11/8; 13/10; 11/10; 13/10; 143/100; 14/11; 23/18; ; 11/8; 27/20; 13/10; ; ; 13/10; 
Maidstone; 15/8; 19/10; 7/4; 17/10; 15/8; 39/20; 9/5; 9/5; 9/5; 7/4; 17/10; ; ; ; 9/5; 7/4; 37/19; 9/5; 48/25; 27/17; 9/5; ; 9/5; 9/5; 9/5; ; ; 7/4; 
Draw; 5/2; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; ; ; ; 12/5; 12/5; 12/5; 12/5; 67/25; 45/17; 12/5; ; 13/5; 5/2; 12/5; ; ; 9/4; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-18 02:22:47 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 13/10; 13/10; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 23/18; 13/10; 13/10; ; ; 6/5; 11/8; 13/10; 11/10; 13/10; 143/100; 14/11; 23/18; ; 11/8; 27/20; 13/10; ; 21/20; 13/10; 
Maidstone; 15/8; 19/10; 7/4; 17/10; 15/8; 39/20; 9/5; 9/5; 9/5; 7/4; 17/10; ; ; 9/5; 9/5; 7/4; 37/19; 9/5; 48/25; 27/17; 9/5; ; 9/5; 9/5; 9/5; ; 13/8; 7/4; 
Draw; 5/2; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 67/25; 45/17; 12/5; ; 13/5; 5/2; 12/5; ; 9/4; 9/4; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-18 11:42:30 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 13/10; 13/10; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 23/18; 13/10; 13/10; ; ; 6/5; 11/8; 13/10; 11/10; 13/10; 27/20; 14/11; 23/18; ; 11/8; 27/20; 13/10; ; 11/10; 13/10; 
Maidstone; 15/8; 19/10; 7/4; 17/10; 9/5; 39/20; 9/5; 9/5; 9/5; 7/4; 17/10; ; ; 9/5; 9/5; 9/5; 37/19; 9/5; 2; 27/17; 9/5; ; 9/5; 9/5; 9/5; ; 13/8; 7/4; 
Draw; 5/2; 23/10; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 137/50; 45/17; 12/5; ; 13/5; 5/2; 12/5; ; 23/10; 9/4; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-18 14:23:00 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 13/10; 13/10; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 23/18; 13/10; 13/10; ; ; 6/5; 11/8; 13/10; 11/10; 13/10; 67/50; 14/11; 23/18; ; 11/8; 27/20; 13/10; ; 11/10; 13/10; 
Maidstone; 15/8; 19/10; 7/4; 17/10; 15/8; 39/20; 9/5; 9/5; 9/5; 7/4; 17/10; ; ; 9/5; 9/5; 9/5; 37/19; 9/5; 101/50; 27/17; 9/5; ; 9/5; 9/5; 9/5; ; 13/8; 7/4; 
Draw; 5/2; 23/10; 12/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; ; ; 12/5; 12/5; 12/5; 12/5; 12/5; 137/50; 45/17; 12/5; ; 13/5; 5/2; 12/5; ; 21/10; 9/4; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-18 18:23:16 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 13/10; 11/8; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 23/18; 13/10; 13/10; ; ; 6/5; 11/8; 13/10; 11/10; 13/10; 67/50; 14/11; 23/18; ; 11/8; 27/20; 13/10; ; 11/10; 13/10; 
Maidstone; 15/8; 9/5; 7/4; 17/10; 9/5; 39/20; 9/5; 9/5; 9/5; 7/4; 17/10; ; ; 9/5; 9/5; 7/4; 37/19; 9/5; 101/50; 27/17; 9/5; ; 9/5; 9/5; 24/13; ; 13/8; 7/4; 
Draw; 5/2; 13/5; 12/5; 5/2; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 12/5; ; ; 12/5; 12/5; 12/5; 12/5; 27/11; 137/50; 45/17; 12/5; ; 13/5; 5/2; 27/11; ; 23/10; 9/4; 
META; english/non-league/national-league/afc-fylde-v-maidstone; 2017-10-18 22:23:34 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
AFC Fylde; 13/10; 11/8; 13/10; 13/10; 13/10; 11/10; 13/10; 6/5; 23/18; 13/10; 13/10; ; ; ; 11/8; 13/10; 11/10; 13/10; 67/50; 39/29; 23/18; ; 11/8; 27/20; 13/10; ; ; 13/10; 
