META; english/non-league/national-league/guiseley-v-macclesfield; 2017-09-30 22:21:53 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Macclesfield; 11/8; ; ; ; 7/5; ; 11/8; ; ; ; ; ; ; ; ; 11/8; ; ; 23/17; ; ; ; ; 11/8; 27/20; ; 8/11; ; 
Guiseley; 15/8; ; ; ; 9/5; ; 19/10; ; ; ; ; ; ; ; ; 9/5; ; ; 24/13; ; ; ; ; 9/5; 37/20; ; 21/20; ; 
Draw; 12/5; ; ; ; 9/4; ; 12/5; ; ; ; ; ; ; ; ; 9/4; ; ; 40/17; ; ; ; ; 23/10; 12/5; ; 21/10; ; 
META; english/non-league/national-league/guiseley-v-macclesfield; 2017-10-01 02:22:44 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Macclesfield; 11/8; 5/4; ; ; 7/5; ; 11/8; 13/10; ; ; ; ; ; ; ; 13/10; ; ; 23/17; ; ; ; ; 11/8; 27/20; ; 6/5; ; 
Guiseley; 15/8; 19/10; ; ; 9/5; ; 19/10; 17/10; ; ; ; ; ; ; ; 9/5; ; ; 24/13; ; ; ; ; 15/8; 37/20; ; 13/8; ; 
Draw; 12/5; 12/5; ; ; 23/10; ; 12/5; 11/5; ; ; ; ; ; ; ; 23/10; ; ; 40/17; ; ; ; ; 23/10; 12/5; ; 23/10; ; 
META; english/non-league/national-league/guiseley-v-macclesfield; 2017-10-01 10:22:41 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Macclesfield; 11/8; 5/4; ; ; 7/5; ; 11/8; 13/10; ; ; 13/10; ; ; ; ; 13/10; ; ; 23/17; ; ; ; 7/5; 11/8; 27/20; ; 1/100; ; 
Guiseley; 15/8; 19/10; ; ; 15/8; ; 19/10; 9/5; ; ; 9/5; ; ; ; ; 15/8; ; ; 24/13; ; ; ; 15/8; 15/8; 37/20; ; 13/8; ; 
Draw; 12/5; 12/5; ; ; 9/4; ; 12/5; 11/5; ; ; 21/10; ; ; ; ; 9/4; ; ; 40/17; ; ; ; 12/5; 23/10; 12/5; ; 5/2; ; 
META; english/non-league/national-league/guiseley-v-macclesfield; 2017-10-01 14:22:51 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Macclesfield; 6/5; 5/4; ; 1; 5/4; 13/10; 13/10; 13/10; 4/3; ; 6/5; ; ; 6/5; ; 6/5; 13/10; ; 5/4; 7/5; ; 4/3; 5/4; 5/4; 5/4; ; 21/20; ; 
Guiseley; 11/5; 19/10; ; 2; 2; 7/4; 2; 9/5; 24/13; ; 19/10; ; ; 2; ; 2; 7/4; ; 39/19; 109/50; ; 24/13; 85/40; 2; 21/10; ; 9/5; ; 
Draw; 12/5; 12/5; ; 12/5; 23/10; 11/5; 12/5; 11/5; 9/4; ; 11/5; ; ; 11/5; ; 23/10; 9/4; ; 23/10; 12/5; ; 9/4; 23/10; 23/10; 47/20; ; 5/2; ; 
META; english/non-league/national-league/guiseley-v-macclesfield; 2017-10-01 18:22:15 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
