META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-18 18:22:50 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; ; ; ; ; ; 4/11; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; 
Guiseley; 13/2; ; ; ; ; ; 13/2; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; 8; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-18 22:22:29 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; ; ; ; ; ; 4/11; ; ; ; 4/11; ; ; ; ; ; ; ; ; ; ; 4/11; ; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; 7/2; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; ; ; 
Guiseley; 13/2; ; ; ; ; ; 13/2; ; ; ; 7; ; ; ; ; ; ; ; ; ; ; 8; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-19 02:22:27 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; ; ; ; ; ; 4/11; ; ; ; 4/11; ; ; ; ; 4/11; ; ; ; ; ; 4/11; ; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; 7/2; ; ; ; ; 10/3; ; ; ; ; ; 7/2; ; ; ; ; ; 
Guiseley; 13/2; ; ; ; ; ; 13/2; ; ; ; 7; ; ; ; ; 13/2; ; ; ; ; ; 8; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-19 10:22:25 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; ; ; ; ; ; 4/11; ; ; ; 4/11; 4/11; ; ; ; 4/11; ; 4/11; ; ; ; 4/11; ; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; 7/2; 16/5; ; ; ; 10/3; ; 17/5; ; ; ; 7/2; ; ; ; ; ; 
Guiseley; 13/2; ; ; ; ; ; 13/2; ; ; ; 7; 13/2; ; ; ; 13/2; ; 27/4; ; ; ; 8; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-19 14:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; ; ; ; ; ; 4/11; ; ; ; 4/11; 4/11; ; ; ; 4/11; ; 4/11; ; ; 2/5; 4/11; 4/11; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; 7/2; 16/5; ; ; ; 10/3; ; 17/5; ; ; 7/2; 7/2; 7/2; ; ; ; ; 
Guiseley; 13/2; ; ; ; ; ; 13/2; ; ; ; 7; 6; ; ; ; 13/2; ; 27/4; ; ; 13/2; 8; 15/2; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-19 18:23:01 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; ; ; ; ; ; 4/11; ; ; ; 4/11; 4/11; ; 4/11; ; 4/11; ; 4/11; ; ; 2/5; 4/11; 4/11; ; ; ; ; 
Draw; 7/2; ; ; ; ; ; 7/2; ; ; ; 7/2; 10/3; ; 7/2; ; 10/3; ; 17/5; ; ; 7/2; 7/2; 7/2; ; ; ; ; 
Guiseley; 13/2; ; ; ; ; ; 13/2; ; ; ; 7; 6; ; 13/2; ; 13/2; ; 27/4; ; ; 13/2; 8; 15/2; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-19 22:23:02 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; 2/5; ; ; ; ; 4/11; ; ; ; 4/11; 4/11; ; 4/11; ; 4/11; ; 4/11; ; ; 2/5; 4/11; 4/11; ; ; ; ; 
Draw; 7/2; 7/2; ; ; ; ; 7/2; ; ; ; 7/2; 10/3; ; 17/5; ; 10/3; ; 17/5; ; ; 7/2; 7/2; 7/2; ; ; ; ; 
Guiseley; 13/2; 7; ; ; ; ; 7; ; ; ; 7; 6; ; 13/2; ; 13/2; ; 27/4; ; ; 13/2; 8; 15/2; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-20 02:22:44 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; 2/5; ; ; ; ; 4/11; ; ; ; 4/11; 4/11; ; 4/11; ; 4/11; ; 4/11; ; ; 2/5; 4/11; 4/11; ; ; 1/4; ; 
Draw; 7/2; 7/2; ; ; ; ; 7/2; ; ; ; 7/2; 16/5; ; 17/5; ; 10/3; ; 17/5; ; ; 7/2; 7/2; 7/2; ; ; 13/5; ; 
Guiseley; 13/2; 7; ; ; ; ; 7; ; ; ; 7; 13/2; ; 13/2; ; 13/2; ; 27/4; ; ; 13/2; 8; 15/2; ; ; 24/5; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-20 10:22:55 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; 2/5; ; 4/11; ; ; 4/11; ; ; ; 4/11; 4/11; ; 4/11; ; 4/11; 1/3; 4/11; ; ; 2/5; 4/11; 4/11; 10/29; ; 1/50; ; 
Draw; 7/2; 7/2; ; 7/2; ; ; 7/2; ; ; ; 7/2; 16/5; ; 7/2; ; 10/3; 7/2; 17/5; ; ; 7/2; 7/2; 7/2; 39/11; ; 13/5; ; 
Guiseley; 13/2; 7; ; 6; ; ; 13/2; ; ; ; 7; 13/2; ; 13/2; ; 13/2; 27/4; 27/4; ; ; 13/2; 8; 15/2; 27/4; ; 8/11; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-20 14:23:13 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 2/5; 2/5; ; 4/11; ; 1/3; 4/11; ; 3/8; ; 4/11; 4/11; ; 4/11; ; 4/11; 10/29; 4/11; ; 3/8; 2/5; 4/11; 4/11; 10/29; ; 1/50; ; 
Draw; 7/2; 7/2; ; 7/2; ; 7/2; 7/2; ; 33/10; ; 7/2; 16/5; ; 7/2; ; 10/3; 7/2; 17/5; ; 33/10; 7/2; 7/2; 7/2; 7/2; ; 13/5; ; 
Guiseley; 13/2; 7; ; 6; ; 7; 7; ; 13/2; ; 7; 13/2; ; 13/2; ; 13/2; 27/4; 27/4; ; 13/2; 13/2; 8; 15/2; 27/4; ; 8/11; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-20 18:23:12 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 4/11; 2/5; ; 4/11; ; 1/3; 4/11; ; 3/8; 4/11; 4/11; 4/11; ; 4/11; ; 4/11; 1/3; 4/11; ; 3/8; 2/5; 4/11; 4/11; 10/29; ; 1/50; ; 
Draw; 15/4; 7/2; ; 7/2; ; 7/2; 7/2; ; 33/10; 7/2; 7/2; 16/5; ; 17/5; ; 10/3; 7/2; 17/5; ; 33/10; 7/2; 15/4; 15/4; 39/11; ; 2/5; ; 
Guiseley; 15/2; 7; ; 6; ; 7; 7; ; 13/2; 15/2; 7; 13/2; ; 13/2; ; 13/2; 27/4; 27/4; ; 13/2; 13/2; 15/2; 7; 27/4; ; 2/5; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-20 22:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 4/11; 2/5; ; 4/11; ; 1/3; 7/20; ; 3/8; 4/11; 4/11; 4/11; ; 4/11; ; 4/11; 10/29; 4/11; 7/19; 3/8; 2/5; 4/11; 4/11; 10/29; ; 1/4; ; 
Draw; 15/4; 7/2; 7/2; 7/2; ; 7/2; 7/2; ; 33/10; 7/2; 7/2; 16/5; ; 17/5; ; 10/3; 7/2; 17/5; 37/10; 33/10; 7/2; 15/4; 15/4; 7/2; ; 27/10; ; 
Guiseley; 15/2; 7; 7; 6; ; 7; 7; ; 13/2; 15/2; 7; 13/2; ; 13/2; ; 13/2; 13/2; 27/4; 7; 13/2; 13/2; 15/2; 7; 13/2; ; 24/5; ; 
META; english/non-league/national-league/sutton-utd-v-guiseley; 2018-02-21 02:21:58 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Sutton Utd; 4/11; 2/5; ; 4/11; ; 1/3; 7/20; ; 3/8; 4/11; 4/11; 4/11; ; 4/11; ; 4/11; 10/29; 4/11; 7/19; 3/8; 2/5; 4/11; 4/11; 10/29; ; 1/100; ; 
Draw; 15/4; 7/2; 7/2; 7/2; ; 7/2; 7/2; ; 33/10; 7/2; 18/5; 16/5; ; 17/5; ; 10/3; 7/2; 17/5; 37/10; 33/10; 7/2; 15/4; 15/4; 39/11; ; 27/10; ; 
Guiseley; 15/2; 7; 7; 6; ; 7; 13/2; ; 13/2; 7; 7; 6; ; 13/2; ; 13/2; 13/2; 27/4; 7; 13/2; 13/2; 15/2; 7; 13/2; ; 8/11; ; 
