META; english/non-league/national-league/woking-v-halifax; 2018-03-04 18:24:21 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 5/4; 13/10; 13/10; 1/50; 
Halifax; 15/8; 9/5; 9/5; 15/8; 19/10; 1/50
Draw; 12/5; 11/5; 23/10; 23/10; 12/5; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-04 22:24:04 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 5/4; 11/8; 7/5; 13/10; 27/20; 1/50; 
Halifax; 15/8; 9/5; 9/5; 15/8; 9/5; 2; 37/20; 1/50
Draw; 12/5; 11/5; 9/4; 9/4; 21/10; 9/4; 12/5; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-05 02:24:09 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 5/4; 13/10; 7/5; 13/10; 13/10; 13/10; 27/20; 1; 
Halifax; 15/8; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 19/10; 37/20; 7/5
Draw; 12/5; 11/5; 23/10; 9/4; 21/10; 11/5; 23/10; 12/5; 12/5; 7/4
META; english/non-league/national-league/woking-v-halifax; 2018-03-05 10:24:07 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 5/4; 13/10; 4/3; 13/10; 13/10; 13/10; 13/10; 13/10; 4/3; 27/20; 13/10; 1/50; 
Halifax; 15/8; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 19/10; 37/20; 9/5; 1/33
Draw; 12/5; 11/5; 23/10; 23/10; 23/10; 21/10; 11/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-05 14:24:30 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 5/4; 13/10; 4/3; 7/5; 13/10; 13/10; 13/10; 13/10; 4/3; 7/5; 27/20; 13/10; 1/50
Halifax; 15/8; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 7/4; 9/5; 9/5; 19/10; 37/20; 9/5; 1/33
Draw; 12/5; 11/5; 23/10; 23/10; 9/4; 21/10; 11/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-05 18:24:34 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 13/10; 5/4; 13/10; 4/3; 7/5; 13/10; 13/10; 13/10; 13/10; 4/3; 7/5; 27/20; 13/10; 1/100
Halifax; 15/8; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 19/10; 37/20; 9/5; 1/33
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 9/4; 21/10; 11/5; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-05 22:24:37 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 13/10; 5/4; 13/10; 4/3; 13/10; 13/10; 13/10; 13/10; 13/10; 4/3; 11/8; 27/20; 13/10; 1/100
Halifax; 15/8; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 19/10; 37/20; 9/5; 1/33
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 21/10; 9/4; 9/4; 23/10; 23/10; 12/5; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-06 02:24:31 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 11/8; 13/10; 5/4; 13/10; 4/3; 13/10; 13/10; 13/10; 13/10; 13/10; 4/3; 11/8; 27/20; 13/10; 1/100
Halifax; 15/8; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 9/5; 9/5; 9/5; 9/5; 2; 37/20; 9/5; 1/50
Draw; 12/5; 23/10; 11/5; 23/10; 23/10; 23/10; 21/10; 9/4; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-06 10:24:21 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Sutton Utd; 8/13; 4/7; 8/15; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 3/5; 3/5; 4/7; 3/5; 10/17; 1/100
Draw; 11/4; 16/5; 29/10; 14/5; 45/17; 3; 11/4; 14/5; 27/10; 27/10; 45/17; 31/10; 11/4; 27/10; 1/3
Solihull Moors; 9/2; 7/2; 4; 17/4; 21/5; 21/5; 4; 21/5; 17/4; 21/5; 9/2; 19/4; 17/4; 1/3; 
META; english/non-league/national-league/woking-v-halifax; 2018-03-06 14:24:30 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Sutton Utd; 8/13; 4/7; 4/6; 8/15; 4/7; 3/5; 4/7; 4/7; 4/7; 4/7; 3/5; 3/5; 3/5; 10/17; 1/100
Draw; 11/4; 16/5; 3; 29/10; 14/5; 45/17; 3; 11/4; 14/5; 27/10; 27/10; 45/17; 11/4; 27/10; 1/3
Solihull Moors; 9/2; 7/2; 47/10; 4; 17/4; 21/5; 21/5; 4; 21/5; 17/4; 21/5; 19/4; 17/4; 1/3; 
META; english/non-league/national-league/woking-v-halifax; 2018-03-06 18:24:37 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Sutton Utd; 8/13; 2/3; 4/7; 17/25; 8/15; 4/7; 3/5; 4/7; 4/7; 4/7; 10/17; 3/5; 3/5; 3/5; 3/5; 10/17; 1/100
Draw; 11/4; 11/4; 16/5; 73/25; 29/10; 11/4; 45/17; 29/10; 11/4; 11/4; 11/4; 27/10; 45/17; 3; 11/4; 11/4; 1/3
Solihull Moors; 9/2; 4; 7/2; 47/10; 4; 17/4; 21/5; 21/5; 4; 17/4; 17/4; 21/5; 22/5; 19/4; 43/10; 1/3; 
META; english/non-league/national-league/woking-v-halifax; 2018-03-07 10:55:53 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 13/10; 11/8; 13/10; 13/10; 7/5; 5/4; 13/10; 4/3; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 13/10; 4/3; 13/10; 13/10; 13/10; 1/100
Halifax; 2; 15/8; 19/10; 9/5; 52/25; 9/5; 15/8; 9/5; 19/10; 15/8; 9/5; 39/20; 9/5; 19/10; 9/5; 9/5; 2; 19/10; 19/10; 1/50
Draw; 12/5; 12/5; 11/5; 23/10; 63/25; 11/5; 23/10; 23/10; 11/5; 23/10; 21/10; 11/5; 9/4; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 2/9
META; english/non-league/national-league/woking-v-halifax; 2018-03-07 14:23:27 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 13/10; 11/8; 27/20; 13/10; 143/00; 5/4; 13/10; 4/3; 27/20; 7/5; 13/10; 11/8; 13/10; 13/10; 13/10; 4/3; 11/8; 13/10; 13/10; 1
Halifax; 2; 2; 9/5; 54/25; 15/8; 19/10; 9/5; 2; 19/10; 19/10; 37/20; 15/8; 37/19; 24/13; 9/5; 2; 37/19; 7/5; ; 
Draw; 12/5; 23/10; 21/10; 23/10; 59/25; 21/10; 11/5; 23/10; 21/10; 11/5; 2; 43/20; 21/10; 11/5; 9/4; 23/10; 23/10; 23/10; 9/4; 9/5
META; english/non-league/national-league/woking-v-halifax; 2018-03-07 18:23:49 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 13/10; 11/8; 7/5; 13/10; 143/00; 5/4; 13/10; 4/3; 7/5; 7/5; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 17/13; 4/3; 11/8; 13/10; 13/10; 11/10; 11/8
Halifax; 2; 19/10; 9/5; 54/25; 15/8; 2; 9/5; 19/10; 19/10; 19/10; 19/10; 21/10; 15/8; 37/19; 24/13; 33/19; 9/5; 2; 2; 17/10; 21/10; ; 
Draw; 12/5; 23/10; 21/10; 23/10; 59/25; 21/10; 11/5; 23/10; 21/10; 11/5; 2; 21/10; 11/5; 21/10; 9/4; 9/4; 23/10; 23/10; 9/4; 23/10; 9/4; 9/5; 23/10
META; english/non-league/national-league/woking-v-halifax; 2018-03-07 22:23:15 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Woking; 13/10; 11/8; 7/5; 13/10; 143/00; 5/4; 13/10; 4/3; 7/5; 7/5; 13/10; 11/8; 13/10; 13/10; 13/10; 13/10; 17/13; 4/3; 11/8; 13/10; 13/10; 11/10; 11/8
