META; english/non-league/national-league/afc-fylde-v-maidenhead-utd; 2017-08-12 18:23:02 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
AFC Fylde; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Maidenhead Utd; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/afc-fylde-v-maidenhead-utd; 2017-08-12 22:23:03 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Maidenhead Utd; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/afc-fylde-v-maidenhead-utd; 2017-08-13 02:22:19 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 11/10; ; 8/11; 10/11; ; 20/21; ; ; ; ; ; 10/11; ; ; 19/20; ; ; 19/20; ; ; ; ; ; 10/11; ; 2/9; ; 
Draw; 13/5; 23/10; ; 5/2; 5/2; ; 13/5; ; ; ; ; ; 53/20; ; ; 13/5; ; ; 28/11; ; ; ; ; ; 5/2; ; 2/7; ; 
Maidenhead Utd; 13/5; 23/10; ; 14/5; 11/4; ; 27/10; ; ; ; ; ; 11/4; ; ; 13/5; ; ; 13/5; ; ; ; ; ; 11/4; ; 2/7; ; 
META; english/non-league/national-league/afc-fylde-v-maidenhead-utd; 2017-08-13 10:22:22 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
AFC Fylde; 19/20; 11/10; ; 8/11; 10/11; ; 19/20; 5/6; 9/10; ; ; 20/21; 10/11; ; ; 10/11; ; ; 10/11; 1; ; 9/10; ; ; 10/11; ; 2/7; ; 
Draw; 13/5; 23/10; ; 5/2; 5/2; ; 13/5; 5/2; 5/2; ; ; 9/4; 53/20; ; ; 13/5; ; ; 28/11; 131/50; ; 5/2; ; ; 5/2; ; 21/10; ; 
Maidenhead Utd; 13/5; 23/10; ; 14/5; 11/4; ; 27/10; 11/4; 13/5; ; ; 12/5; 11/4; ; ; 27/10; ; ; 45/17; 3; ; 13/5; ; ; 11/4; ; 2/7; ; 
META; english/non-league/national-league/afc-fylde-v-maidenhead-utd; 2017-08-13 14:23:24 GMT+3; 2017-08-15 19:45; Nothing; Xlenovo
AFC Fylde; 1; 11/10; 19/20; 8/11; 10/11; ; 1; 5/6; 9/10; 1; 1; 20/21; 19/20; ; ; 19/20; ; ; 19/20; 1; ; 9/10; ; ; 10/11; ; 4/6; ; 
Draw; 13/5; 23/10; 49/20; 5/2; 5/2; ; 13/5; 5/2; 5/2; 12/5; 12/5; 9/4; 13/5; ; ; 13/5; ; ; 28/11; 131/50; ; 5/2; ; ; 5/2; ; 9/4; ; 
Maidenhead Utd; 5/2; 23/10; 5/2; 14/5; 11/4; ; 5/2; 11/4; 13/5; 12/5; 12/5; 12/5; 53/20; ; ; 13/5; ; ; 13/5; 3; ; 13/5; ; ; 11/4; ; 13/8; ; 
