META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-03 22:22:22 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; 11/10; 121/00; 19/20; 11/10; 21/20; 21/20; 15/13; 11/10; 11/10; 15/13; 9/10
Maidstone; 12/5; 12/5; 9/4; 61/25; 23/10; 9/4; 12/5; 9/4; 9/4; 5/2; 47/20; 23/10; 2
Draw; 12/5; 12/5; 9/4; 51/20; 23/10; 9/4; 23/10; 9/4; 40/17; 12/5; 12/5; 40/17; 2
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-04 02:22:34 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Macclesfield; 11/10; 11/10; 11/10; 6/5; 121/00; 1; 11/10; 11/10; 21/20; 11/10; 11/10; 11/10; 11/10; 15/13; 1
Maidstone; 12/5; 12/5; 23/10; 2; 61/25; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 12/5; 47/20; 23/10; 21/10
Draw; 12/5; 12/5; 9/4; 23/10; 127/0; 23/10; 9/4; 23/10; 9/4; 9/4; 40/17; 12/5; 12/5; 40/17; 11/5
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-04 10:22:40 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Macclesfield; 5/4; 6/5; 13/10; 13/10; 7/5; 23/20; 23/18; 13/10; 5/4; 5/4; 13/10; 6/5; 13/10; 11/10; 23/18; 5/4; 13/10; 13/10; 1
Maidstone; 21/10; 9/4; 19/10; 21/10; 21/10; 19/10; 37/19; 19/10; 21/10; 15/8; 2; 37/19; 9/4; 37/19; 21/10; 2; 37/19; 17/10; 
Draw; 12/5; 12/5; 11/5; 23/10; 62/25; 11/5; 9/4; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 12/5; 47/20; 23/10; 19/10
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-04 14:23:17 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Macclesfield; 5/4; 7/5; 27/20; 13/10; 143/00; 6/5; 23/18; 27/20; 13/10; 13/10; 13/10; 5/4; 11/10; 23/18; 11/8; 13/10; 13/10; 21/20; 
Maidstone; 21/10; 15/8; 15/8; 21/10; 103/0; 19/10; 37/19; 15/8; 2; 9/5; 2; 15/8; 37/19; 9/4; 37/19; 2; 39/20; 37/19; 17/10
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 11/5; 9/4; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 23/10; 9/4; 23/10; 47/20; 23/10; 19/10
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-04 18:23:41 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Macclesfield; 5/4; 7/5; 27/20; 13/10; 36/25; 6/5; 23/18; 27/20; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 6/5; 16/13; 23/18; 13/10; 13/10; 13/10; 23/20
Maidstone; 21/10; 15/8; 19/10; 21/10; 52/25; 19/10; 37/19; 19/10; 19/10; 19/10; 39/20; 2; 19/10; 37/19; 2; 9/5; 37/19; 2; 39/20; 37/19; 17/10
Draw; 12/5; 23/10; 11/5; 23/10; 61/25; 11/5; 9/4; 11/5; 23/10; 21/10; 11/5; 23/10; 11/5; 23/10; 23/10; 12/5; 9/4; 12/5; 47/20; 40/17; 11/5
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-04 22:23:24 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Macclesfield; 5/4; 7/5; 27/20; 13/10; 36/25; 6/5; 23/18; 27/20; 13/10; 5/4; 13/10; 13/10; 5/4; 13/10; 6/5; 16/13; 23/18; 13/10; 13/10; 13/10; 5/4
Maidstone; 21/10; 15/8; 19/10; 21/10; 52/25; 19/10; 37/19; 19/10; 19/10; 19/10; 39/20; 2; 19/10; 37/19; 2; 9/5; 37/19; 2; 39/20; 37/19; 19/10
Draw; 12/5; 23/10; 11/5; 23/10; 61/25; 11/5; 9/4; 11/5; 23/10; 21/10; 11/5; 23/10; 11/5; 23/10; 23/10; 12/5; 9/4; 12/5; 47/20; 40/17; 21/10
META; english/non-league/national-league/maidstone-v-macclesfield; 2018-03-05 02:23:30 GMT+2; 2018-03-06 19:45; Nothing; Xlenovo
Macclesfield; 5/4; 7/5; 7/5; 13/10; 36/25; 6/5; 23/18; 7/5; 13/10; 13/10; 11/8; 13/10; 13/10; 23/17; 6/5; 13/10; 23/18; 11/8; 27/20; 23/17; 13/10
