META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-10 18:24:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; ; 
Aldershot; 13/8; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; 
Draw; 5/2; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-10 22:24:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; ; 8/5; ; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; ; 6/4; ; ; ; 
Aldershot; 13/8; ; ; ; 13/8; ; 17/10; ; ; ; ; 31/20; ; ; ; ; ; ; ; ; ; ; ; ; 13/8; ; ; ; 
Draw; 5/2; ; ; ; 23/10; ; 23/10; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-11 02:24:47 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; ; 31/20; ; ; ; ; 29/20; ; ; ; 16/11; ; ; ; ; ; ; ; ; 6/4; ; ; ; 
Aldershot; 13/8; ; ; ; 13/8; ; 13/8; ; ; ; ; 31/20; ; ; ; 8/5; ; ; ; ; ; ; ; ; 13/8; ; ; ; 
Draw; 5/2; ; ; ; 23/10; ; 5/2; ; ; ; ; 23/10; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-11 10:24:45 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; ; 31/20; ; ; ; ; 7/5; ; ; ; 16/11; ; ; ; ; ; ; ; ; 6/4; ; ; ; 
Aldershot; 13/8; ; ; ; 8/5; ; 17/10; ; ; ; ; 8/5; ; ; ; 8/5; ; ; ; ; ; ; ; ; 13/8; ; ; ; 
Draw; 5/2; ; ; ; 23/10; ; 12/5; ; ; ; ; 9/4; ; ; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-11 14:24:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; ; 31/20; ; 31/21; ; ; 6/4; ; ; ; 6/4; ; ; 16/11; ; ; 31/21; ; ; 6/4; ; ; ; 
Aldershot; 13/8; ; ; ; 13/8; ; 17/10; ; 17/11; ; ; 8/5; ; ; ; 8/5; ; ; 17/11; ; ; 17/11; ; ; 13/8; ; ; ; 
Draw; 5/2; ; ; ; 23/10; ; 12/5; ; 12/5; ; ; 21/10; ; ; ; 23/10; ; ; 12/5; ; ; 12/5; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-11 18:25:16 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; ; 31/20; ; 31/21; ; ; 6/4; 6/4; ; ; 16/11; ; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; ; ; 
Aldershot; 13/8; ; ; ; 8/5; ; 13/8; ; 17/11; ; ; 8/5; 13/8; ; ; 8/5; ; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 12/5; ; ; 21/10; 5/2; ; ; 12/5; ; ; 12/5; ; ; 12/5; ; 5/2; 5/2; ; ; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-11 22:24:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; ; 31/20; ; 31/21; ; ; 7/5; 6/4; ; ; 6/4; ; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; ; ; 
Aldershot; 13/8; ; ; ; 8/5; ; 13/8; ; 17/11; ; ; 6/4; 13/8; ; ; 17/11; ; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 12/5; ; ; 12/5; 5/2; ; ; 12/5; ; ; 12/5; ; ; 12/5; ; 5/2; 5/2; ; ; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-12 02:24:48 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; ; 31/20; ; 31/21; ; ; 7/5; 6/4; ; ; 16/11; ; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; 10/11; ; 
Aldershot; 13/8; ; ; ; 13/8; ; 13/8; ; 17/11; ; ; 6/4; 13/8; ; ; 8/5; ; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; 20/21; ; 
Draw; 5/2; ; ; ; 23/10; ; 5/2; ; 12/5; ; ; 12/5; 5/2; ; ; 12/5; ; ; 27/11; ; ; 12/5; ; 5/2; 5/2; ; 13/8; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-12 10:24:48 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 6/4; 16/11; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; 1; ; 
Aldershot; 13/8; ; ; ; 8/5; 31/20; 13/8; 6/4; 17/11; ; ; 31/20; 13/8; ; ; 17/11; 17/11; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; 21/20; ; 
Draw; 5/2; ; ; ; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 9/4; 5/2; ; ; 12/5; 9/4; ; 12/5; ; ; 12/5; ; 5/2; 5/2; ; 21/10; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-12 14:25:02 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; ; ; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 16/11; 16/11; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; 1; ; 
Aldershot; 13/8; ; ; ; 8/5; 31/20; 13/8; 6/4; 17/11; ; ; 13/8; 13/8; ; ; 8/5; 17/11; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; 21/20; ; 
Draw; 5/2; ; ; ; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 21/10; 5/2; ; ; 12/5; 9/4; ; 27/11; ; ; 12/5; ; 5/2; 5/2; ; 21/10; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-12 18:25:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; 31/20; ; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 6/4; 16/11; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; 1; ; 
Aldershot; 13/8; ; 13/8; ; 8/5; 31/20; 13/8; 6/4; 17/11; ; ; 31/20; 13/8; ; ; 17/11; 17/11; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; 21/20; ; 
Draw; 5/2; ; 9/4; ; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 9/4; 5/2; ; ; 12/5; 9/4; ; 27/11; ; ; 12/5; ; 5/2; 5/2; ; 21/10; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-12 22:25:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; ; 6/4; ; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 6/4; 16/11; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; 13/10; ; 
Aldershot; 13/8; ; 33/20; ; 8/5; 31/20; 13/8; 6/4; 17/11; ; ; 31/20; 13/8; ; ; 17/11; 17/11; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; ; 9/4; ; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 9/4; 5/2; ; ; 12/5; 9/4; ; 12/5; ; ; 12/5; ; 5/2; 5/2; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-13 02:22:40 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 6/4; ; 6/4; 29/20; 6/4; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 16/11; 16/11; ; 16/11; ; ; 31/21; ; 6/4; ; ; 7/5; ; 
Aldershot; 13/8; 17/10; 17/10; ; 13/8; 31/20; 17/10; 6/4; 17/11; ; ; 31/20; 13/8; ; ; 8/5; 17/11; ; 17/11; ; ; 17/11; ; 13/8; ; ; 7/5; ; 
Draw; 5/2; 12/5; 9/4; ; 23/10; 11/5; 5/2; 12/5; 12/5; ; ; 23/10; 5/2; ; ; 12/5; 9/4; ; 12/5; ; ; 12/5; ; 5/2; ; ; 9/4; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-13 10:23:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 31/20; ; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 16/11; 16/11; ; 16/11; ; ; 31/21; ; 6/4; 6/4; ; 5/4; ; 
Aldershot; 13/8; 17/10; 13/8; ; 8/5; 31/20; 13/8; 6/4; 17/11; ; ; 31/20; 13/8; ; ; 8/5; 17/11; ; 17/11; ; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
Draw; 5/2; 12/5; 9/4; ; 12/5; 11/5; 5/2; 12/5; 12/5; ; ; 23/10; 5/2; ; ; 12/5; 9/4; ; 12/5; ; ; 12/5; ; 5/2; 5/2; ; 9/5; ; 
META; english/non-league/national-league/gateshead-v-aldershot; 2017-09-13 14:23:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Gateshead; 6/4; 7/5; 31/20; ; 6/4; 29/20; 31/20; 6/4; 31/21; ; ; 29/20; 6/4; ; ; 16/11; 16/11; ; 16/11; 41/25; ; 31/21; ; 6/4; 6/4; ; 5/4; ; 
Aldershot; 13/8; 17/10; 13/8; ; 8/5; 31/20; 13/8; 6/4; 17/11; ; ; 31/20; 13/8; ; ; 8/5; 17/11; ; 17/11; 169/100; ; 17/11; ; 13/8; 13/8; ; 7/5; ; 
