META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-10 22:20:34 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; 13/10; 5/4; ; ; 4/7; ; 
Barrow; 19/10; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; 15/8; 15/8; ; ; 5/6; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 13/5; ; ; 11/10; ; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-11 02:20:58 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; 6/5; ; ; ; ; ; 5/4; 5/4; ; ; 4/6; ; 
Barrow; 19/10; 9/5; ; ; ; ; ; ; ; ; 2; ; ; ; ; 15/8; ; ; ; ; ; 2; 15/8; ; ; 1; ; 
Draw; 13/5; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 13/5; ; ; 13/10; ; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-11 10:21:07 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; ; ; 27/20; ; ; ; ; ; 6/5; ; ; ; ; 6/5; 6/5; ; ; ; ; 5/4; 5/4; 5/4; ; 5/6; ; 
Barrow; 19/10; 9/5; ; ; 21/10; ; ; ; ; ; 2; ; ; ; ; 15/8; 19/10; ; ; ; ; 2; 15/8; 19/10; ; 13/10; ; 
Draw; 13/5; 5/2; ; ; 13/5; ; ; ; ; ; 12/5; ; ; ; ; 12/5; 28/11; ; ; ; ; 13/5; 13/5; 13/5; ; 13/8; ; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-11 14:22:12 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; ; ; 27/20; 6/5; ; ; 6/5; ; 5/4; 6/5; ; 13/10; 13/10; 5/4; 13/10; 6/5; ; 6/5; ; 13/10; 13/10; 13/10; ; 6/5; ; 
Barrow; 19/10; 9/5; ; ; 2; 15/8; ; ; 15/8; ; 2; 15/8; ; 39/20; 19/10; 9/5; 19/10; 24/13; ; 15/8; ; 2; 39/20; 19/10; ; 17/10; ; 
Draw; 13/5; 5/2; ; ; 137/50; 12/5; ; ; 27/11; ; 23/10; 23/10; ; 11/5; 12/5; 12/5; 12/5; 5/2; ; 27/11; ; 12/5; 12/5; 27/11; ; 21/10; ; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-11 18:22:00 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 11/8; ; ; 71/50; 5/4; ; ; 6/5; ; 13/10; 5/4; ; 5/4; 13/10; 5/4; 13/10; 6/5; 16/13; 6/5; 13/10; 13/10; 13/10; 13/10; ; 10/9; ; 
Barrow; 19/10; 2; ; ; 41/20; 15/8; ; ; 15/8; ; 19/10; 19/10; ; 2; 2; 15/8; 19/10; 24/13; 35/19; 15/8; 2; 2; 2; 19/10; ; 17/10; ; 
Draw; 13/5; 23/10; ; ; 63/25; 23/10; ; ; 27/11; ; 23/10; 21/10; ; 11/5; 23/10; 9/4; 40/17; 5/2; 40/17; 27/11; 23/10; 12/5; 23/10; 12/5; ; 2; ; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-11 22:21:47 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 11/8; ; 13/10; 11/8; 5/4; ; ; 6/5; ; 5/4; 5/4; ; 5/4; 13/10; 5/4; 5/4; 6/5; 16/13; 6/5; 13/10; 13/10; 13/10; 13/10; ; 5/4; 6/5; 
Barrow; 19/10; 2; ; 21/10; 43/20; 15/8; ; ; 15/8; ; 2; 19/10; ; 2; 2; 19/10; 37/19; 24/13; 35/19; 15/8; 2; 2; 2; 2; ; 19/10; 19/10; 
Draw; 13/5; 23/10; ; 23/10; 62/25; 23/10; ; ; 27/11; ; 23/10; 21/10; ; 11/5; 23/10; 11/5; 40/17; 5/2; 40/17; 27/11; 23/10; 12/5; 23/10; 40/17; ; 11/5; 2; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-12 02:21:39 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 11/8; ; 13/10; 11/8; 5/4; ; ; 6/5; ; 13/10; 5/4; ; 5/4; 13/10; 5/4; 13/10; 6/5; 16/13; 6/5; 13/10; 13/10; 13/10; 13/10; ; 13/10; 6/5; 
Barrow; 19/10; 2; ; 21/10; 43/20; 15/8; ; ; 15/8; ; 2; 19/10; ; 2; 2; 19/10; 37/19; 24/13; 35/19; 15/8; 2; 2; 2; 2; ; 19/10; 19/10; 
Draw; 9/4; 23/10; ; 23/10; 62/25; 9/4; ; ; 27/11; ; 9/4; 21/10; ; 11/5; 23/10; 11/5; 23/10; 5/2; 40/17; 27/11; 23/10; 12/5; 23/10; 40/17; ; 11/5; 2; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-12 10:21:58 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 11/8; ; 13/10; 27/20; 5/4; ; ; 16/13; ; 13/10; 6/5; ; 5/4; 13/10; 5/4; 5/4; 6/5; 16/13; 16/13; 13/10; 13/10; 13/10; 5/4; ; 6/5; 6/5; 
Barrow; 11/5; 2; ; 21/10; 11/5; 15/8; ; ; 37/19; ; 2; 2; ; 2; 2; 2; 2; 24/13; 35/19; 37/19; 2; 2; 2; 39/19; ; 2; 19/10; 
Draw; 9/4; 23/10; ; 23/10; 62/25; 9/4; ; ; 23/10; ; 9/4; 21/10; ; 11/5; 23/10; 21/10; 23/10; 5/2; 40/17; 23/10; 23/10; 12/5; 23/10; 23/10; ; 23/10; 2; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-12 14:22:15 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; 13/10; 13/10; 27/20; 5/4; ; ; 16/13; 13/10; 13/10; 6/5; ; 5/4; 13/10; 5/4; 5/4; 6/5; 16/13; 16/13; 13/10; 13/10; 13/10; 5/4; ; 5/4; 5/4; 
Barrow; 11/5; 2; 19/10; 11/5; 11/5; 15/8; ; ; 37/19; 19/10; 2; 2; ; 2; 2; 2; 2; 24/13; 35/19; 37/19; 2; 2; 2; 39/19; ; 2; 19/10; 
Draw; 9/4; 23/10; 11/5; 11/5; 62/25; 9/4; ; ; 23/10; 11/5; 9/4; 21/10; ; 11/5; 23/10; 21/10; 23/10; 5/2; 40/17; 23/10; 23/10; 12/5; 23/10; 23/10; ; 9/4; 2; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-12 18:22:17 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 5/4; 13/10; 23/17; 13/10; 147/100; 6/5; ; ; 16/13; 27/20; 13/10; 13/10; ; 13/10; 13/10; 13/10; 23/17; 6/5; 16/13; 16/13; 7/5; 13/10; 27/20; 23/17; ; 27/20; 13/10; 
Barrow; 11/5; 2; 2; 11/5; 52/25; 2; ; ; 37/19; 2; 2; 19/10; ; 2; 2; 19/10; 37/19; 24/13; 11/5; 37/19; 2; 21/10; 2; 2; ; 19/10; 19/10; 
Draw; 9/4; 23/10; 21/10; 11/5; 119/50; 11/5; ; ; 23/10; 21/10; 11/5; 2; ; 21/10; 23/10; 21/10; 11/5; 5/2; 11/5; 23/10; 9/4; 23/10; 11/5; 9/4; ; 11/5; 19/10; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-12 22:22:21 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 23/20; 13/10; 15/13; 13/10; 29/25; 11/10; ; ; 16/13; 23/20; 23/20; 11/10; ; 23/20; 23/20; 11/10; 15/13; 11/10; 9/8; 16/13; 11/10; 6/5; 23/20; 15/13; ; 10/9; 23/20; 
Draw; 23/10; 23/10; 21/10; 11/5; 5/2; 11/5; ; ; 23/10; 21/10; 9/4; 21/10; ; 43/20; 23/10; 21/10; 9/4; 23/10; 27/11; 23/10; 23/10; 12/5; 9/4; 9/4; ; 9/4; 21/10; 
Barrow; 12/5; 2; 23/10; 11/5; 13/5; 9/4; ; ; 37/19; 23/10; 9/4; 21/10; ; 9/4; 23/10; 11/5; 23/10; 11/5; 11/5; 37/19; 12/5; 9/4; 47/20; 40/17; ; 23/10; 11/5; 
META; english/non-league/national-league/barrow-v-sutton-utd; 2018-02-13 02:22:05 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Sutton Utd; 23/20; 13/10; 15/13; 6/5; 29/25; 11/10; ; ; 16/13; 23/20; 23/20; 11/10; ; 23/20; 23/20; 11/10; 15/13; 11/10; 9/8; 16/13; 11/10; 6/5; 23/20; 15/13; ; 23/20; 23/20; 
Draw; 23/10; 23/10; 21/10; 23/10; 5/2; 11/5; ; ; 23/10; 21/10; 11/5; 21/10; ; 43/20; 23/10; 21/10; 9/4; 23/10; 27/11; 23/10; 23/10; 23/10; 9/4; 9/4; ; 9/4; 21/10; 
