META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-06 22:21:33 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Chester; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-07 02:21:21 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Chester; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-07 10:21:21 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; 4/11; ; 
Draw; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Chester; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 23/20; ; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-07 14:25:49 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
AFC Fylde; 3/4; 3/4; 4/5; 8/11; 41/50; ; ; ; 3/4; 4/5; 4/5; 3/4; ; 4/5; 4/5; 8/11; 7/9; 10/13; 7/9; 4/5; 3/4; ; 4/5; 10/13; 4/5; ; 4/7; ; 
Draw; 11/4; 14/5; 5/2; 5/2; 143/50; ; ; ; 5/2; 5/2; 13/5; 23/10; ; 5/2; 13/5; 5/2; 5/2; 13/5; 5/2; 28/11; 5/2; ; 11/4; 53/20; 45/17; ; 12/5; ; 
Chester; 7/2; 10/3; 3; 10/3; 18/5; ; ; ; 33/10; 3; 16/5; 16/5; ; 31/10; 16/5; 3; 31/10; 13/4; 31/10; 14/5; 33/10; ; 33/10; 10/3; 13/4; ; 13/5; ; 
META; english/non-league/national-league/afc-fylde-v-chester; 2018-01-07 18:22:48 GMT+2; 2018-01-09 19:45; Nothing; Xlenovo
