META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-27 18:24:41 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/10; ; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 3; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-27 22:25:13 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; ; 9/10; ; 9/10; 13/15; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; 12/5; ; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-28 02:25:54 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; ; 9/10; ; 9/10; 13/15; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; 12/5; ; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; ; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-28 10:24:44 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; ; 9/10; 13/15; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 56/19; ; ; 37/13; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-28 14:24:59 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; ; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-28 18:24:54 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; ; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; ; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; ; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-28 22:24:52 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; 31/10; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-29 02:24:45 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; ; ; 9/10; ; ; ; ; ; ; ; ; 13/15; ; ; 9/10; 9/10; 10/11; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 40/17; ; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; ; ; 37/13; ; ; ; ; ; ; ; ; 29/10; ; ; 37/13; 3; 31/10; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-29 10:24:46 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; ; 20/23; ; 9/10; ; 10/11; 20/23; ; 9/10; ; ; 11/13; 13/15; 11/13; ; 9/10; 9/10; 9/10; 9/10; 10/11; ; ; ; 
Draw; 12/5; ; ; ; ; ; 23/10; ; 23/10; ; 23/10; 9/4; ; 23/10; ; ; 23/10; 40/17; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; ; ; 
Boreham Wood; 3; ; ; ; ; ; 3; ; 37/13; ; 3; 14/5; ; 29/10; ; ; 14/5; 29/10; 14/5; ; 37/13; 3; 16/5; 3; 56/19; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-29 18:24:54 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; 17/20; 9/10; ; 9/10; ; 17/20; 20/23; ; 9/10; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 9/10; 9/10; 10/11; ; 4/5; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 12/5; 9/4; ; 23/10; ; ; 23/10; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; ; 11/5; ; 
Boreham Wood; 3; ; ; ; ; 29/10; 3; ; 37/13; ; 3; 14/5; ; 29/10; ; ; 14/5; 56/19; 14/5; ; 37/13; 3; 16/5; 3; 3; ; 13/5; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-29 22:24:56 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; 17/20; 9/10; ; 9/10; ; 17/20; 20/23; ; 9/10; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 9/10; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 23/10; ; 23/10; ; 12/5; 9/4; ; 23/10; ; ; 23/10; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Boreham Wood; 3; ; ; ; ; 29/10; 3; ; 37/13; ; 3; 14/5; ; 29/10; ; ; 14/5; 56/19; 14/5; ; 37/13; 3; 16/5; 3; 3; ; 13/5; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-30 02:24:48 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; 17/20; 9/10; ; 9/10; ; 17/20; 20/23; ; 9/10; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 9/10; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 12/5; ; 23/10; ; 12/5; 9/4; ; 23/10; ; ; 23/10; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 2; ; 
Boreham Wood; 3; ; ; ; ; 29/10; 3; ; 37/13; ; 3; 14/5; ; 29/10; ; ; 14/5; 56/19; 14/5; ; 37/13; 3; 16/5; 3; 3; ; 27/10; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-30 10:24:46 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; ; ; 17/20; 9/10; ; 9/10; ; 17/20; 20/23; ; 9/10; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 9/10; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; ; ; 23/10; 12/5; ; 23/10; ; 12/5; 9/4; ; 23/10; ; ; 23/10; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Boreham Wood; 3; ; ; ; ; 29/10; 3; ; 37/13; ; 3; 14/5; ; 29/10; ; ; 14/5; 56/19; 14/5; ; 37/13; 3; 16/5; 3; 3; ; 27/10; ; 
META; english/non-league/national-league/sutton-utd-v-boreham-wood; 2017-12-30 14:25:27 GMT+2; 2018-01-01 15:00; Nothing; Xlenovo
Sutton Utd; 10/11; ; ; 17/20; ; 17/20; 9/10; ; 9/10; ; 5/6; 20/23; ; 17/20; ; ; 11/13; 10/11; 11/13; ; 9/10; 9/10; 9/10; 9/10; 10/11; ; 8/11; ; 
Draw; 12/5; ; ; 23/10; ; 23/10; 23/10; ; 23/10; ; 12/5; 9/4; ; 23/10; ; ; 23/10; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; 
Boreham Wood; 3; ; ; 3; ; 29/10; 3; ; 37/13; ; 3; 14/5; ; 3; ; ; 14/5; 56/19; 14/5; ; 37/13; 3; 16/5; 3; 3; ; 27/10; ; 
