META; english/non-league/national-league/sutton-utd-v-ebbsfleet-united; 2017-10-22 18:24:45 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Sutton Utd; 1; ; ; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Ebbsfleet United; 13/5; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-ebbsfleet-united; 2017-10-22 22:25:10 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Sutton Utd; 1; ; ; ; ; ; 20/21; 5/6; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; 23/10; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 
Ebbsfleet United; 13/5; ; ; ; ; ; 13/5; 11/4; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-ebbsfleet-united; 2017-10-23 02:24:06 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Sutton Utd; 1; ; ; ; ; ; 20/21; 5/6; ; ; 19/20; 20/21; ; ; ; 19/20; ; ; ; ; ; ; 20/21; 19/20; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; 12/5; 23/10; ; ; 23/10; 11/5; ; ; ; 23/10; ; ; ; ; ; ; 5/2; 5/2; ; ; ; ; 
Ebbsfleet United; 13/5; ; ; ; ; ; 13/5; 11/4; ; ; 14/5; 13/5; ; ; ; 13/5; ; ; ; ; ; ; 14/5; 27/10; ; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-ebbsfleet-united; 2017-10-23 10:24:08 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Sutton Utd; 1; ; 1; ; 19/20; ; 1; 5/6; 1; 1; 20/21; 20/21; ; ; ; 19/20; 19/20; 19/20; ; ; 1; ; 1; 19/20; 19/20; ; ; ; 
Draw; 5/2; ; 9/4; ; 23/10; ; 12/5; 23/10; 12/5; 9/4; 23/10; 11/5; ; ; ; 23/10; 23/10; 40/17; ; ; 12/5; ; 5/2; 5/2; 12/5; ; ; ; 
Ebbsfleet United; 13/5; ; 13/5; ; 12/5; ; 5/2; 11/4; 12/5; 13/5; 11/4; 5/2; ; ; ; 13/5; 12/5; 27/11; ; ; 12/5; ; 27/10; 27/10; 27/11; ; ; ; 
META; english/non-league/national-league/sutton-utd-v-ebbsfleet-united; 2017-10-23 14:24:27 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Sutton Utd; 1; ; 1; ; 19/20; ; 1; 5/6; 1; 1; 19/20; 20/21; ; ; ; 1; 19/20; 19/20; ; ; 1; ; 1; 19/20; 19/20; ; ; ; 
Draw; 5/2; ; 9/4; ; 23/10; ; 12/5; 23/10; 12/5; 9/4; 12/5; 11/5; ; ; ; 23/10; 23/10; 40/17; ; ; 12/5; ; 5/2; 5/2; 12/5; ; ; ; 
Ebbsfleet United; 13/5; ; 13/5; ; 12/5; ; 5/2; 11/4; 12/5; 13/5; 13/5; 5/2; ; ; ; 5/2; 12/5; 27/11; ; ; 12/5; ; 13/5; 27/10; 27/11; ; ; ; 
