META; english/non-league/national-league/boreham-wood-v-eastleigh; 2017-09-30 22:21:48 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Boreham Wood; ; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; 5/4; 6/5; ; 4/6; ; 
Eastleigh; 2; ; ; ; 2; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; 37/19; ; ; ; ; 2; 2; ; 10/9; ; 
Draw; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; 27/11; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/boreham-wood-v-eastleigh; 2017-10-01 02:22:38 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Boreham Wood; 5/4; 6/5; ; ; 6/5; ; 6/5; 11/10; ; ; ; ; ; ; ; 6/5; ; ; 6/5; ; ; ; ; 5/4; 6/5; ; 4/6; ; 
Eastleigh; 2; 2; ; ; 2; ; 21/10; 15/8; ; ; ; ; ; ; ; 19/10; ; ; 37/19; ; ; ; ; 2; 2; ; 13/8; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; ; ; ; ; ; 12/5; ; ; 27/11; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/boreham-wood-v-eastleigh; 2017-10-01 10:22:37 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Boreham Wood; 5/4; 6/5; ; ; 6/5; ; 6/5; 11/10; ; ; 23/20; ; ; ; ; 6/5; ; ; 6/5; ; ; ; 5/4; 5/4; 6/5; ; 8/11; ; 
Eastleigh; 2; 2; ; ; 2; ; 21/10; 15/8; ; ; 2; ; ; ; ; 2; ; ; 37/19; ; ; ; 2; 2; 2; ; 7/5; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; 11/5; ; ; ; ; 23/10; ; ; 27/11; ; ; ; 5/2; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/boreham-wood-v-eastleigh; 2017-10-01 14:22:46 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Boreham Wood; 11/10; 6/5; ; 5/4; 23/20; 117/100; 6/5; 11/10; 6/5; ; 23/20; ; ; 11/10; ; 11/10; 15/13; ; 11/10; 34/25; ; 6/5; 11/10; 11/10; 11/10; ; 1; ; 
Eastleigh; 23/10; 2; ; 13/8; 21/10; 37/20; 85/40; 15/8; 37/19; ; 21/10; ; ; 2; ; 2; 24/13; ; 28/13; 109/50; ; 37/19; 9/4; 21/10; 11/5; ; 9/5; ; 
Draw; 5/2; 12/5; ; 23/10; 12/5; 12/5; 5/2; 23/10; 12/5; ; 11/5; ; ; 12/5; ; 12/5; 12/5; ; 27/11; 62/25; ; 12/5; 12/5; 12/5; 5/2; ; 23/10; ; 
META; english/non-league/national-league/boreham-wood-v-eastleigh; 2017-10-01 18:22:10 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Boreham Wood; 11/10; 6/5; 15/13; 5/4; 23/20; 117/100; 11/10; 11/10; 6/5; 23/20; 21/20; 23/20; ; 11/10; 23/20; 11/10; 15/13; ; 15/13; 61/50; 9/8; 6/5; 11/10; 11/10; 11/10; ; 20/21; ; 
Eastleigh; 23/10; 12/5; 11/5; 13/8; 11/5; 37/20; 12/5; 15/8; 37/19; 11/5; 23/10; 9/4; ; 11/5; 11/5; 21/10; 24/13; ; 11/5; 5/2; 2; 37/19; 9/4; 11/5; 11/5; ; 15/8; ; 
Draw; 5/2; 23/10; 11/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 21/10; 11/5; ; 23/10; 12/5; 23/10; 12/5; ; 12/5; 49/20; 40/17; 12/5; 12/5; 23/10; 5/2; ; 21/10; ; 
META; english/non-league/national-league/boreham-wood-v-eastleigh; 2017-10-01 22:21:59 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Boreham Wood; 11/10; 6/5; 15/13; 5/4; 23/20; 117/100; 23/20; 11/10; 6/5; 23/20; 11/10; 23/20; ; 11/10; 23/20; 11/10; 15/13; ; 15/13; 32/25; 9/8; 6/5; 6/5; 6/5; 23/20; ; 11/10; ; 
Eastleigh; 23/10; 12/5; 9/4; 13/8; 11/5; 37/20; 23/10; 11/5; 37/19; 9/4; 9/4; 9/4; ; 11/5; 23/10; 21/10; 24/13; ; 9/4; 119/50; 2; 37/19; 23/10; 11/5; 23/10; ; 11/5; ; 
