META; english/non-league/national-league/afc-fylde-v-leyton-orient; 2018-02-11 02:21:03 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
AFC Fylde; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-leyton-orient; 2018-02-11 10:21:12 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
AFC Fylde; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-leyton-orient; 2018-02-11 14:22:17 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
AFC Fylde; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-leyton-orient; 2018-02-11 18:22:05 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
AFC Fylde; ; 10/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-leyton-orient; 2018-02-11 22:21:51 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/5; 10/11; ; ; ; 3/4; 4/5; ; ; ; 4/5; ; ; ; ; 4/5; ; ; ; ; ; 5/6; 4/5; ; ; 4/9; ; 
Draw; 14/5; 12/5; ; ; ; 13/5; 13/5; ; ; ; 13/5; ; ; ; ; 5/2; ; ; ; ; ; 27/10; 14/5; ; ; 13/10; ; 
Leyton Orient; 3; 14/5; ; ; ; 29/10; 29/10; ; ; ; 3; ; ; ; ; 14/5; ; ; ; ; ; 31/10; 3; ; ; 27/20; ; 
META; english/non-league/national-league/afc-fylde-v-leyton-orient; 2018-02-12 02:21:44 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/5; 10/11; ; ; ; 3/4; 4/5; ; ; ; 4/5; 4/5; ; ; ; 4/5; ; ; ; ; ; 5/6; 4/5; ; ; 4/9; ; 
Draw; 14/5; 12/5; ; ; ; 13/5; 13/5; ; ; ; 13/5; 5/2; ; ; ; 5/2; ; ; ; ; ; 27/10; 14/5; ; ; 13/10; ; 
Leyton Orient; 3; 14/5; ; ; ; 29/10; 29/10; ; ; ; 31/10; 11/4; ; ; ; 14/5; ; ; ; ; ; 31/10; 3; ; ; 27/20; ; 
META; english/non-league/national-league/afc-fylde-v-leyton-orient; 2018-02-12 10:22:03 GMT+2; 2018-02-17 15:00; Nothing; Xlenovo
AFC Fylde; 4/5; 10/11; ; ; ; 3/4; 4/5; ; ; ; 4/5; 4/5; ; ; ; 4/5; ; 7/9; ; ; ; 5/6; 4/5; ; ; 4/6; ; 
