META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-01 14:23:14 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Leyton Orient; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-01 18:22:35 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 11/10; ; 11/10; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/10; ; ; ; ; 
Leyton Orient; 23/10; ; ; ; 9/4; ; 12/5; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-01 22:22:25 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; ; 1; ; ; ; ; ; ; ; ; 1; ; ; ; ; ; ; 11/10; 11/10; ; ; ; 
Leyton Orient; 23/10; ; ; ; 12/5; 23/10; ; 11/5; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 11/5; 23/10; ; ; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; ; 23/10; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; 12/5; 5/2; ; ; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-02 02:22:14 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; ; 1; ; ; ; ; ; ; ; 21/20; 1; ; ; ; ; ; ; 11/10; 11/10; ; ; ; 
Leyton Orient; 23/10; ; ; ; 12/5; 23/10; ; 11/5; ; ; ; ; ; ; ; 9/4; 23/10; ; ; ; ; ; ; 11/5; 23/10; ; ; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; ; 23/10; ; ; ; ; ; ; ; 12/5; 9/4; ; ; ; ; ; ; 12/5; 5/2; ; ; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-02 10:22:42 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; ; ; 21/20; 1; ; 21/20; ; ; 11/10; ; 11/10; 11/10; ; ; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; 12/5; 23/10; 40/17; ; 23/10; ; ; ; ; 12/5; 9/4; ; 40/17; ; ; 40/17; ; 12/5; 5/2; ; ; ; 
Leyton Orient; 23/10; ; ; ; 23/10; 23/10; 5/2; 11/5; 11/5; ; 21/10; ; ; ; ; 11/5; 23/10; ; 11/5; ; ; 11/5; ; 11/5; 23/10; ; ; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-02 14:34:57 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; ; 21/20; 21/20; 1; 21/20; ; ; 11/10; ; 11/10; 11/10; ; ; ; 
Leyton Orient; 23/10; ; ; ; 23/10; 23/10; 11/5; 11/5; 11/5; ; 21/10; ; ; ; 12/5; 11/5; 23/10; 11/5; ; ; 11/5; ; 12/5; 23/10; ; ; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; 12/5; 23/10; 40/17; ; 23/10; ; ; ; 12/5; 12/5; 9/4; 40/17; ; ; 40/17; ; 5/2; 5/2; ; ; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-02 18:23:00 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; ; 21/20; 21/20; 1; 21/20; ; ; 11/10; 11/10; 11/10; 11/10; ; ; ; 
Leyton Orient; 23/10; ; ; ; 23/10; 23/10; 11/5; 11/5; 11/5; ; 21/10; ; ; ; 12/5; 11/5; 23/10; 11/5; ; ; 11/5; 23/10; 12/5; 23/10; ; ; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; 12/5; 23/10; 40/17; ; 23/10; ; ; ; 12/5; 12/5; 9/4; 12/5; ; ; 40/17; 5/2; 5/2; 5/2; ; ; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-02 22:23:23 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; ; 21/20; 21/20; 1; 21/20; ; ; 11/10; 11/10; 11/10; 11/10; ; 4/5; ; 
Leyton Orient; 23/10; ; ; ; 23/10; 23/10; 11/5; 11/5; 11/5; ; 21/10; ; ; ; 12/5; 11/5; 23/10; 11/5; ; ; 11/5; 23/10; 5/2; 23/10; ; 13/8; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; 12/5; 23/10; 40/17; ; 23/10; ; ; ; 12/5; 12/5; 9/4; 12/5; ; ; 40/17; 5/2; 12/5; 5/2; ; 9/5; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-03 02:23:06 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; 1; 21/20; 21/20; 1; 21/20; ; ; 11/10; 11/10; 11/10; 11/10; ; 1; ; 
Leyton Orient; 23/10; ; ; ; 12/5; 23/10; 11/5; 11/5; 11/5; ; 21/10; ; ; 9/4; 12/5; 9/4; 23/10; 11/5; ; ; 11/5; 23/10; 12/5; 23/10; ; 21/10; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; 12/5; 23/10; 40/17; ; 23/10; ; ; 12/5; 12/5; 12/5; 9/4; 12/5; ; ; 40/17; 5/2; 5/2; 5/2; ; 21/10; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-03 10:23:30 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; 1; 21/20; 21/20; 1; 21/20; ; ; ; 11/10; 11/10; 11/10; ; 10/11; ; 
Leyton Orient; 23/10; ; ; ; 23/10; 23/10; 11/5; 11/5; 11/5; ; 21/10; ; ; 9/4; 12/5; 11/5; 23/10; 11/5; ; ; ; 23/10; 12/5; 23/10; ; 21/10; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; 12/5; 23/10; 40/17; ; 23/10; ; ; 12/5; 12/5; 12/5; 9/4; 12/5; ; ; ; 5/2; 5/2; 5/2; ; 21/10; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-03 14:23:39 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; 1; 21/20; 21/20; 1; 21/20; ; ; 11/10; 11/10; 11/10; 11/10; ; 10/11; ; 
Leyton Orient; 23/10; ; ; ; 23/10; 23/10; 11/5; 11/5; 11/5; ; 21/10; ; ; 9/4; 12/5; 11/5; 23/10; 11/5; ; ; 11/5; 23/10; 12/5; 23/10; ; 19/10; ; 
Draw; 5/2; ; ; ; 12/5; 9/4; 12/5; 23/10; 40/17; ; 23/10; ; ; 12/5; 12/5; 12/5; 9/4; 12/5; ; ; 40/17; 5/2; 5/2; 5/2; ; 21/10; ; 
META; english/non-league/national-league/barrow-v-leyton-orient; 2017-10-03 18:23:23 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Barrow; 11/10; ; ; ; 21/20; 41/40; 11/10; 1; 11/10; ; 21/20; ; ; 1; 21/20; 21/20; 1; 21/20; ; ; 11/10; 11/10; 11/10; 11/10; ; 10/11; ; 
