META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-18 14:23:05 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 127/100; 15/13; 15/13; 1/50; 6/5; ; 
Maidenhead Utd; 21/10; 56/25; 2; 11/5; 39/19; 1/50; 21/10; 
Draw; 5/2; 131/50; 9/4; 12/5; 5/2; 27/11; 1/100; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-18 18:23:03 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 131/100; 11/10; 6/5; 6/5; 6/5; 6/5; 11/10; 6/5; 15/13; 22/19; 5/4; 6/5; 5/6; 10/9; 5/4
Maidenhead Utd; 21/10; 11/5; 109/50; 2; 2; 39/20; 21/10; 2; 39/19; 2; 25/14; 2; 21/10; 5/4; 9/5; 21/10; 
Draw; 5/2; 11/5; 13/5; 23/10; 23/10; 12/5; 47/20; 12/5; 23/10; 40/17; 12/5; 13/5; 5/2; 40/17; 19/10; 9/5; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-18 22:22:49 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 5/4; 131/100; 11/10; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 15/13; 22/19; 5/4; 6/5; 6/5; 10/9; 5/4
Maidenhead Utd; 21/10; 19/10; 19/10; 109/50; 2; 2; 19/10; 39/20; 21/10; 19/10; 39/19; 2; 25/14; 2; 39/19; 19/10; 9/5; 21/10; 
Draw; 5/2; 12/5; 23/10; 13/5; 23/10; 12/5; 12/5; 11/5; 47/20; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 23/10; 9/5; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-19 02:22:16 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 5/4; 131/100; 11/10; 5/4; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 15/13; 22/19; 5/4; 6/5; 6/5; 5/4
Maidenhead Utd; 21/10; 19/10; 19/10; 109/50; 2; 2; 19/10; 39/20; 21/10; 19/10; 39/19; 2; 25/14; 2; 39/19; 19/10; 21/10; 
Draw; 5/2; 12/5; 23/10; 13/5; 23/10; 12/5; 12/5; 11/5; 47/20; 12/5; 23/10; 12/5; 12/5; 13/5; 5/2; 27/11; 23/10; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-19 10:22:11 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 5/4; 131/100; 11/10; 5/4; 13/11; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 22/19; 13/11; 5/4; 6/5; 6/5; 10/9; 5/4
Maidenhead Utd; 21/10; 19/10; 19/10; 11/5; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 39/19; 2; 25/14; 39/19; 2; 39/19; 19/10; 9/5; 21/10; 
Draw; 5/2; 12/5; 23/10; 129/50; 23/10; 12/5; 23/10; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 5/2; 12/5; 23/10; 9/5; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-19 14:22:26 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 5/4; 131/100; 11/10; 5/4; 13/11; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 22/19; 13/11; 5/4; 5/4; 6/5; 5/4; 5/4
Maidenhead Utd; 21/10; 2; 19/10; 109/50; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 2; 25/14; 39/19; 2; 39/19; 19/10; 19/10; 21/10; ; 
Draw; 5/2; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-19 18:22:23 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 5/4; 131/100; 11/10; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 22/19; 13/11; 5/4; 5/4; 6/5; 5/4; 5/4
Maidenhead Utd; 21/10; 19/10; 19/10; 19/10; 109/50; 2; 39/19; 19/10; 2; 19/10; 39/20; 15/8; 19/10; 2; 25/14; 39/19; 2; 39/19; 2; 21/10; ; ; 
Draw; 5/2; 12/5; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 5/2; 12/5; 23/10; 12/5; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-19 22:22:23 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 5/4; 131/100; 11/10; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 5/4; 15/13; 22/19; 13/11; 5/4; 5/4; 6/5; 5/4; 5/4
Maidenhead Utd; 21/10; 19/10; 19/10; 19/10; 109/50; 2; 39/19; 19/10; 2; 19/10; 39/20; 15/8; 19/10; 2; 25/14; 39/19; 2; 2; 21/10; ; ; ; 
Draw; 5/2; 12/5; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 40/17; 12/5; 13/5; 23/10; 5/2; 40/17; 12/5; 9/4; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-20 02:21:46 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; 6/5; 5/4; 131/100; 21/20; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 22/19; 13/11; 5/4; 5/4; 6/5; 10/9; 5/4
Maidenhead Utd; 21/10; 19/10; 19/10; 19/10; 109/50; 9/4; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 2; 25/14; 39/19; 2; 39/19; 21/10; 9/5; 21/10; ; 
Draw; 5/2; 12/5; 12/5; 23/10; 13/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 5/2; 12/5; 12/5; 9/5; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-20 10:21:50 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 5/4; 6/5; 5/4; 33/25; 23/20; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 22/19; 13/11; 5/4; 5/4; 1; 10/9; 5/4
Maidenhead Utd; 21/10; 19/10; 19/10; 19/10; 54/25; 2; 39/19; 19/10; 2; 19/10; 39/20; 15/8; 19/10; 2; 25/14; 39/19; 2; 39/19; 21/10; 9/5; 21/10; ; 
Draw; 5/2; 12/5; 12/5; 23/10; 13/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 13/5; 12/5; 21/10; 15/8; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-20 14:22:07 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 6/5; 131/100; 23/20; 6/5; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 22/19; 13/11; 5/4; 6/5; 1; 10/9; 5/4
Maidenhead Utd; 21/10; 2; 2; 109/50; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 2; 25/14; 39/19; 2; 39/19; 2; 19/10; 21/10; ; ; ; 
Draw; 5/2; 12/5; 12/5; 13/5; 13/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 13/5; 27/11; 12/5; 23/10; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-20 18:22:17 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 6/5; 131/100; 23/20; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 11/9; 13/11; 5/4; 6/5; 6/5; 1; 10/9; 5/4
Maidenhead Utd; 21/10; 2; 2; 109/50; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 2; 23/12; 39/19; 2; 39/19; 2; 21/10; 21/10; ; ; ; ; 
Draw; 5/2; 12/5; 12/5; 13/5; 13/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 13/5; 27/11; 12/5; 12/5; 23/10; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-20 22:22:32 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 6/5; 131/00; 23/20; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 11/9; 13/11; 5/4; 6/5; 6/5; 21/20; 10/9; 5/4
Maidenhead Utd; 21/10; 2; 2; 109/0; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 2; 23/12; 39/19; 2; 39/19; 2; 21/10; 21/10; ; ; ; ; 
Draw; 5/2; 12/5; 12/5; 13/5; 13/5; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 13/5; 27/11; 12/5; 12/5; 12/5; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-21 02:21:59 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 6/5; 131/00; 23/20; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 11/9; 13/11; 5/4; 6/5; 6/5; 1; 10/9; 5/4
Maidenhead Utd; 21/10; 2; 2; 11/5; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 2; 23/12; 39/19; 2; 39/19; 2; 21/10; 2; 21/10; ; ; ; 
Draw; 5/2; 12/5; 12/5; 13/5; 129/0; 12/5; 12/5; 23/10; 12/5; 12/5; 11/5; 47/20; 9/4; 23/10; 12/5; 12/5; 13/5; 23/10; 13/5; 27/11; 12/5; 12/5; 9/4; 5/2
META; english/non-league/national-league/dagenham-redbridge-v-maidenhead-utd; 2018-04-21 10:22:08 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 6/5; 6/5; 6/5; 6/5; 23/20; 5/4; 13/11; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5; 6/5; 15/13; 11/9; 13/11; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4
Maidenhead Utd; 21/10; 2; 2; 2; 39/19; 2; 19/10; 39/20; 15/8; 19/10; 2; 23/12; 39/19; 2; 39/19; 2; 21/10; 21/10; ; ; ; ; 
