META; english/non-league/national-league/halifax-v-hartlepool; 2018-02-17 22:21:12 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Halifax; 19/20; ; ; 5/6; 26/25; ; 20/21; ; ; ; 10/11; ; ; ; ; 10/11; ; ; ; ; ; 37/40; 19/20; ; ; 8/15; ; 
Draw; 13/5; ; ; 12/5; 137/50; ; 5/2; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 13/5; ; ; 11/8; ; 
Hartlepool; 13/5; ; ; 5/2; 137/50; ; 13/5; ; ; ; 11/4; ; ; ; ; 5/2; ; ; ; ; ; 14/5; 53/20; ; ; 7/5; ; 
META; english/non-league/national-league/halifax-v-hartlepool; 2018-02-18 02:21:33 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Halifax; 19/20; 1; ; 5/6; 26/25; ; 20/21; ; ; ; 10/11; ; ; ; ; 10/11; ; ; ; ; ; 19/20; 19/20; ; ; 8/15; ; 
Draw; 13/5; 5/2; ; 12/5; 137/50; ; 5/2; ; ; ; 5/2; ; ; ; ; 12/5; ; ; ; ; ; 13/5; 13/5; ; ; 11/8; ; 
Hartlepool; 13/5; 13/5; ; 5/2; 137/50; ; 13/5; ; ; ; 11/4; ; ; ; ; 5/2; ; ; ; ; ; 27/10; 53/20; ; ; 8/5; ; 
META; english/non-league/national-league/halifax-v-hartlepool; 2018-02-18 10:22:01 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Halifax; 19/20; 1; ; 5/6; 26/25; ; 20/21; ; 19/20; ; 10/11; 20/21; ; ; ; 10/11; 19/20; ; ; 19/20; 10/11; 19/20; 19/20; 19/20; ; 4/6; ; 
Draw; 13/5; 5/2; ; 12/5; 137/50; ; 5/2; ; 12/5; ; 5/2; 9/4; ; ; ; 12/5; 5/2; ; ; 12/5; 13/5; 13/5; 13/5; 28/11; ; 19/10; ; 
Hartlepool; 13/5; 13/5; ; 5/2; 137/50; ; 13/5; ; 5/2; ; 11/4; 5/2; ; ; ; 5/2; 28/11; ; ; 5/2; 13/5; 27/10; 53/20; 13/5; ; 19/10; ; 
META; english/non-league/national-league/halifax-v-hartlepool; 2018-02-18 14:22:42 GMT+2; 2018-02-20 19:45; Nothing; Xlenovo
Halifax; 19/20; 1; ; 5/6; 26/25; ; 20/21; ; 19/20; ; 10/11; 20/21; ; ; ; 10/11; 19/20; ; ; 19/20; 10/11; 20/21; 19/20; 19/20; ; 8/11; ; 
