META; english/non-league/national-league/macclesfield-v-maidstone; 2017-09-10 18:24:59 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Macclesfield; 1; ; ; ; 20/21; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
Maidstone; 11/4; ; ; ; 13/5; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidstone; 2017-09-10 22:24:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Macclesfield; 1; ; ; ; 19/20; ; 20/21; ; ; ; ; 20/23; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 11/4; ; ; ; 13/5; ; 11/4; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidstone; 2017-09-11 02:24:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Macclesfield; 1; ; ; ; 19/20; ; 20/21; ; ; ; ; 20/23; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 11/4; ; ; ; 13/5; ; 11/4; ; ; ; ; 12/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidstone; 2017-09-11 10:24:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Macclesfield; 1; ; ; ; 19/20; ; 20/21; ; ; ; ; 20/23; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidstone; 11/4; ; ; ; 13/5; ; 11/4; ; ; ; ; 12/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidstone; 2017-09-11 14:24:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
