META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-22 14:23:46 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5
Wrexham; 8/5
Draw; 12/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-22 18:23:15 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 9/5
Wrexham; 8/5; 8/5; 8/5; 13/8; 6/4
Draw; 12/5; 23/10; 23/10; 12/5; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-22 22:22:37 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 29/20; 6/4; 8/5; 9/5
Wrexham; 8/5; 8/5; 8/5; 6/4; 6/4; 13/8; 6/4
Draw; 12/5; 23/10; 23/10; 9/4; 9/4; 12/5; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-23 02:22:55 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 8/5; 8/5; 6/4; 6/4; 8/5; 5/6; 9/5
Wrexham; 8/5; 8/5; 8/5; 6/4; 6/4; 8/5; 5/6; 6/4
Draw; 12/5; 23/10; 9/4; 9/4; 9/4; 12/5; 5/4; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-23 10:22:55 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 8/5; 8/5; 8/5; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 20/21; 9/5
Wrexham; 8/5; 6/4; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 17/11; 20/21; 6/4
Draw; 12/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 7/5; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-23 14:23:20 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 5/4; 9/5
Wrexham; 8/5; 6/4; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 17/11; 5/4; 6/4
Draw; 12/5; 23/10; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 9/5; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-23 18:23:22 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 7/5; 3/10
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 17/11; 6/4; 3/10
Draw; 12/5; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 21/10; 2
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-23 22:23:17 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 8/5; 8/5; 8/5; 6/4; 6/4; 6/4; 8/5; 13/8; 17/11; 23/20; 2/5
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 23/20; 2/5
Draw; 12/5; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 7/4; 7/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-24 02:22:57 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 23/20; 8/15
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 13/8; 17/11; 23/20; 8/15
Draw; 12/5; 11/5; 23/10; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 17/10; 17/10
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-24 10:22:54 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 10/9; 9/5
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 6/4; 6/4; 6/4; 8/5; 8/5; 13/8; 17/11; 1; 6/4
Draw; 12/5; 11/5; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 7/5; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-24 14:23:17 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 8/5; 29/20; 6/4; 6/4; 6/4; 8/5; 8/5; 17/11; 6/5; 2/5
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 31/20; 6/4; 6/4; 8/5; 8/5; 13/8; 17/11; 6/5; 13/10
Draw; 12/5; 11/5; 9/4; 9/4; 9/4; 11/5; 9/4; 9/4; 9/4; 9/4; 12/5; 9/4; 11/5; 19/10
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-24 18:23:05 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; 17/11; 6/4; 8/5; 8/5; 17/11; 6/5; 4/9
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 31/20; 6/4; 17/11; 8/5; 8/5; 13/8; 17/11; 5/4; 13/10
Draw; 12/5; 11/5; 23/10; 9/4; 23/10; 11/5; 9/4; 23/10; 9/4; 9/4; 12/5; 23/10; 11/5; 23/10
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-24 22:23:06 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
AFC Fylde; 8/5; 6/4; 6/4; 8/5; 6/4; 29/20; 6/4; 17/11; 6/4; 8/5; 8/5; 17/11; 23/20; 9/5
Wrexham; 8/5; 31/20; 8/5; 8/5; 13/8; 31/20; 6/4; 17/11; 8/5; 8/5; 13/8; 17/11; 5/4; 6/4
Draw; 12/5; 11/5; 23/10; 9/4; 23/10; 11/5; 9/4; 23/10; 9/4; 9/4; 12/5; 23/10; 11/5; 9/5
META; english/non-league/national-league/wrexham-v-afc-fylde; 2018-04-25 02:22:14 GMT+3; 2018-04-28 12:30; Nothing; Xlenovo
