META; english/non-league/national-league/maidstone-v-chester; 2017-10-22 18:24:40 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 13/20; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; 8/13; ; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; 
Chester; 4; ; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-22 22:25:03 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 5/8; ; ; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; 
Draw; 14/5; ; ; ; ; ; 11/4; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; 
Chester; 4; ; ; ; ; ; 4; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; 4; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-23 02:24:01 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; ; ; 5/8; 8/15; ; ; 8/13; 8/13; ; ; ; 8/13; ; ; ; ; ; ; 8/13; 13/20; ; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-23 18:24:39 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 13/20; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 8/13; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; ; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 11/4; 13/5; 45/17; 5/2; 11/4; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 27/10; 11/4; 11/4; ; ; ; 
Chester; 4; ; 17/4; ; 15/4; ; 4; 4; 15/4; 17/4; 21/5; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 22/5; 4; 39/10; ; ; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-23 22:24:21 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 5/8; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 11/4; 13/5; 45/17; 5/2; 11/4; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 14/5; 11/4; 27/10; ; 2; ; 
Chester; 4; ; 17/4; ; 15/4; ; 4; 4; 15/4; 17/4; 9/2; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 22/5; 4; 75/19; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-24 02:24:05 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 5/9; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 5/2; 13/5; 45/17; 5/2; 11/4; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 27/10; 11/4; 27/10; ; 2; ; 
Chester; 4; ; 17/4; ; 15/4; ; 15/4; 4; 15/4; 17/4; 21/5; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 22/5; 4; 75/19; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-24 10:24:21 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; ; ; 8/13; ; 5/8; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; ; ; ; 13/5; ; 11/4; 13/5; 45/17; 5/2; 13/5; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 14/5; 11/4; 27/10; ; 11/5; ; 
Chester; 4; ; ; ; 15/4; ; 4; 4; 15/4; 17/4; 9/2; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 22/5; 4; 75/19; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-24 14:25:04 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 5/8; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 13/5; 13/5; 45/17; 5/2; 13/5; 23/10; ; ; ; 13/5; 13/5; 45/17; ; ; 45/17; 14/5; 27/10; 11/4; 27/10; ; 11/5; ; 
Chester; 4; ; 17/4; ; 15/4; ; 4; 4; 15/4; 17/4; 9/2; 4; ; ; ; 4; 15/4; 50/13; ; ; 15/4; 17/4; 22/5; 4; 39/10; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-24 18:24:18 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 5/8; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 13/5; 13/5; 45/17; 5/2; 11/4; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 14/5; 11/4; 27/10; ; 23/10; ; 
Chester; 4; ; 17/4; ; 15/4; ; 4; 4; 15/4; 17/4; 9/2; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 22/5; 4; 75/19; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-24 22:25:00 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 5/8; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 13/5; 13/5; 45/17; 5/2; 13/5; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 27/10; 11/4; 27/10; ; 23/10; ; 
Chester; 4; ; 17/4; ; 15/4; ; 4; 4; 15/4; 17/4; 9/2; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 9/2; 4; 75/19; ; 14/5; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-25 02:23:15 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 5/8; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/7; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 11/4; 13/5; 45/17; 5/2; 13/5; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 27/10; 11/4; 27/10; ; 23/10; ; 
Chester; 4; ; 17/4; ; 15/4; ; 4; 4; 15/4; 17/4; 21/5; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 9/2; 4; 75/19; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-25 10:23:34 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 4/6; ; 11/18; ; 8/13; ; 5/8; 4/7; 11/17; 8/13; 8/13; 8/13; ; ; ; 8/13; 8/13; 11/17; ; ; 11/17; 8/13; 13/20; 13/20; 11/17; ; 4/9; ; 
Draw; 14/5; ; 5/2; ; 13/5; ; 13/5; 13/5; 45/17; 5/2; 11/4; 23/10; ; ; ; 13/5; 13/5; 27/10; ; ; 45/17; 14/5; 27/10; 11/4; 27/10; ; 23/10; ; 
Chester; 4; ; 17/4; ; 15/4; ; 4; 4; 15/4; 17/4; 9/2; 4; ; ; ; 4; 15/4; 39/10; ; ; 15/4; 17/4; 9/2; 4; 75/19; ; 23/10; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-25 14:24:58 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 3/4; 8/13; 4/5; ; 8/13; ; 7/10; 8/13; 3/4; 4/5; 8/11; 4/6; ; ; ; 7/10; 8/13; 14/19; 7/10; ; 3/4; 4/5; 4/5; 3/4; 14/19; ; 1/2; ; 
Draw; 11/4; 13/5; 12/5; ; 13/5; ; 13/5; 5/2; 13/5; 12/5; 5/2; 23/10; ; ; ; 5/2; 13/5; 45/17; 14/5; ; 13/5; 5/2; 13/5; 5/2; 27/10; ; 23/10; ; 
Chester; 10/3; 9/2; 10/3; ; 15/4; ; 7/2; 7/2; 31/10; 10/3; 18/5; 15/4; ; ; ; 15/4; 15/4; 16/5; 24/5; ; 31/10; 7/2; 17/5; 15/4; 13/4; ; 12/5; ; 
META; english/non-league/national-league/maidstone-v-chester; 2017-10-25 18:23:34 GMT+3; 2017-10-28 15:00; Nothing; Xlenovo
Maidstone; 3/4; 7/10; 3/4; 4/6; 13/20; 7/10; 3/4; 8/13; 3/4; 3/4; 8/11; 7/10; ; ; ; 8/11; 8/13; 10/13; 77/100; 13/17; 3/4; 8/11; 8/11; 3/4; 10/13; ; 4/6; ; 
Draw; 11/4; 5/2; 5/2; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 5/2; 5/2; ; ; ; 13/5; 13/5; 27/10; 74/25; 28/11; 13/5; 13/5; 11/4; 13/5; 27/10; ; 12/5; ; 
