META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-13 22:21:23 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-14 02:21:31 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-14 10:21:34 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Macclesfield; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-14 14:21:48 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; 11/8; 11/8; ; ; ; 5/4; 13/10; ; 23/18; ; 7/5; ; ; ; ; ; ; ; ; ; 23/18; ; 11/8; ; ; ; ; ; 
Macclesfield; 15/8; 19/10; ; ; ; 9/5; 9/5; ; 24/13; ; 15/8; ; ; ; ; ; ; ; ; ; 24/13; ; 19/10; ; ; ; ; ; 
Draw; 12/5; 23/10; ; ; ; 23/10; 9/4; ; 40/17; ; 9/4; ; ; ; ; ; ; ; ; ; 40/17; ; 12/5; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-14 18:22:04 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; 11/8; 11/8; ; 5/4; ; 5/4; 13/10; ; 23/18; ; 13/10; ; ; ; ; ; ; 5/4; ; ; 23/18; ; 11/8; ; 13/10; ; ; ; 
Macclesfield; 15/8; 19/10; ; 15/8; ; 9/5; 15/8; ; 24/13; ; 19/10; ; ; ; ; ; ; 9/5; ; ; 24/13; ; 2; ; 9/5; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; ; 23/10; 23/10; ; 40/17; ; 9/4; ; ; ; ; ; ; 23/10; ; ; 40/17; ; 23/10; ; 23/10; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-14 22:21:58 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; 11/8; 11/8; ; 5/4; ; 5/4; 13/10; ; 23/18; ; 13/10; ; ; ; ; ; ; 5/4; ; ; 23/18; ; 11/8; ; 13/10; ; ; ; 
Macclesfield; 15/8; 19/10; ; 15/8; ; 9/5; 15/8; ; 24/13; ; 15/8; ; ; ; ; ; ; 9/5; ; ; 24/13; ; 19/10; ; 9/5; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; ; 23/10; 23/10; ; 40/17; ; 23/10; ; ; ; ; ; ; 23/10; ; ; 40/17; ; 12/5; ; 23/10; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-15 02:21:51 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; 11/8; 11/8; ; 5/4; ; 5/4; 13/10; ; 23/18; ; 13/10; 13/10; ; ; ; 13/10; ; 5/4; ; ; 23/18; ; 11/8; ; 13/10; ; ; ; 
Macclesfield; 15/8; 19/10; ; 15/8; ; 9/5; 15/8; ; 24/13; ; 15/8; 9/5; ; ; ; 9/5; ; 9/5; ; ; 24/13; ; 19/10; ; 9/5; ; ; ; 
Draw; 12/5; 23/10; ; 23/10; ; 23/10; 23/10; ; 40/17; ; 23/10; 21/10; ; ; ; 9/4; ; 23/10; ; ; 40/17; ; 12/5; ; 23/10; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-macclesfield; 2018-01-15 10:21:59 GMT+2; 2018-01-20 15:00; Nothing; Xlenovo
AFC Fylde; 11/8; 11/8; ; 5/4; ; 5/4; 13/10; ; 23/18; ; 13/10; 13/10; ; ; ; 13/10; 13/10; 5/4; 13/10; ; 23/18; ; 11/8; ; 13/10; ; ; ; 
Macclesfield; 15/8; 19/10; ; 15/8; ; 9/5; 15/8; ; 24/13; ; 19/10; 9/5; ; ; ; 9/5; 24/13; 9/5; 24/13; ; 24/13; ; 19/10; ; 9/5; ; ; ; 
