META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-24 02:24:40 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-24 10:24:39 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-24 14:24:42 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-24 18:24:38 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; 1; 11/10; ; ; 20/21; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; 1; 19/20; ; ; ; 
Draw; 13/5; 23/10; ; ; 13/5; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 129/50; ; ; ; 12/5; 13/5; ; ; ; 
AFC Fylde; 5/2; 23/10; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 61/20; ; ; ; 12/5; 51/20; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-24 22:24:36 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; 1; 11/10; ; ; 20/21; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; 1; 19/20; ; ; ; 
Draw; 13/5; 23/10; ; ; 13/5; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; 129/50; ; ; ; 12/5; 13/5; ; ; ; 
AFC Fylde; 5/2; 23/10; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 61/20; ; ; ; 12/5; 51/20; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-25 02:24:14 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; 1; 11/10; ; ; 20/21; ; 1; 5/6; ; ; ; ; ; ; ; 1; ; ; ; 1; ; ; ; 1; 19/20; ; ; ; 
Draw; 13/5; 23/10; ; ; 13/5; ; 13/5; 5/2; ; ; ; ; ; ; ; 12/5; ; ; ; 129/50; ; ; ; 12/5; 13/5; ; ; ; 
AFC Fylde; 5/2; 23/10; ; ; 12/5; ; 5/2; 12/5; ; ; ; ; ; ; ; 12/5; ; ; ; 61/20; ; ; ; 12/5; 51/20; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-25 10:24:32 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; 1; 11/10; ; ; 20/21; 19/20; 1; 5/6; 19/20; ; ; 20/21; ; ; ; 19/20; 19/20; ; 19/20; 1; ; 19/20; ; 1; 19/20; ; ; ; 
Draw; 13/5; 23/10; ; ; 13/5; 12/5; 13/5; 5/2; 5/2; ; ; 13/5; ; ; ; 5/2; 12/5; ; 5/2; 129/50; ; 5/2; ; 12/5; 13/5; ; ; ; 
AFC Fylde; 5/2; 23/10; ; ; 12/5; 23/10; 5/2; 12/5; 12/5; ; ; 11/5; ; ; ; 12/5; 23/10; ; 40/17; 61/20; ; 12/5; ; 12/5; 51/20; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-25 14:24:43 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; 1; 11/10; ; ; 20/21; 19/20; 1; 5/6; 19/20; ; 20/21; 1; ; ; ; 19/20; 19/20; ; 19/20; 1; ; 19/20; ; 1; 19/20; ; ; ; 
Draw; 13/5; 23/10; ; ; 13/5; 12/5; 13/5; 5/2; 5/2; ; 13/5; 5/2; ; ; ; 5/2; 12/5; ; 5/2; 129/50; ; 5/2; ; 12/5; 13/5; ; ; ; 
AFC Fylde; 5/2; 23/10; ; ; 12/5; 23/10; 5/2; 12/5; 12/5; ; 11/5; 12/5; ; ; ; 12/5; 23/10; ; 40/17; 61/20; ; 12/5; ; 12/5; 51/20; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-25 18:24:31 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; 1; 11/10; ; 5/6; 19/20; 19/20; 1; 5/6; 19/20; ; 20/21; 1; ; ; ; 19/20; 19/20; ; 19/20; 1; ; 19/20; ; 20/21; 19/20; ; ; ; 
Draw; 13/5; 23/10; ; 5/2; 13/5; 12/5; 13/5; 5/2; 5/2; ; 13/5; 5/2; ; ; ; 5/2; 12/5; ; 5/2; 129/50; ; 5/2; ; 5/2; 13/5; ; ; ; 
AFC Fylde; 5/2; 23/10; ; 11/4; 5/2; 23/10; 5/2; 12/5; 12/5; ; 11/5; 12/5; ; ; ; 12/5; 23/10; ; 40/17; 61/20; ; 12/5; ; 5/2; 51/20; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-afc-fylde; 2017-09-25 22:24:46 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Leyton Orient; 1; 11/10; ; 5/6; 19/20; 19/20; 1; 5/6; 19/20; ; 20/21; 1; ; ; ; 19/20; 19/20; 19/20; 19/20; 1; ; 19/20; ; 20/21; 19/20; ; ; ; 
