META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-18 14:23:03 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; ; ; ; ; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maidenhead Utd; 3; ; ; ; ; ; 29/10; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-18 18:22:45 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; ; ; ; ; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; 
Maidenhead Utd; 3; ; ; ; ; ; 29/10; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-18 22:22:24 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; ; ; ; ; ; 4/5; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; ; ; 
Maidenhead Utd; 3; ; ; ; ; ; 3; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-19 02:22:22 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; ; ; ; ; ; 4/5; ; ; ; 4/5; ; ; ; ; 4/5; ; ; ; ; ; 4/5; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; ; ; 13/5; ; ; ; ; 5/2; ; ; ; ; ; 11/4; ; ; ; ; ; 
Maidenhead Utd; 3; ; ; ; ; ; 3; ; ; ; 16/5; ; ; ; ; 14/5; ; ; ; ; ; 16/5; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-19 10:22:20 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; ; ; ; ; ; 4/5; ; ; ; 4/5; 4/5; ; ; ; 4/5; ; 7/9; ; ; ; 4/5; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; ; ; 13/5; 12/5; ; ; ; 5/2; ; 13/5; ; ; ; 11/4; ; ; ; ; ; 
Maidenhead Utd; 3; ; ; ; ; ; 3; ; ; ; 31/10; 3; ; ; ; 14/5; ; 3; ; ; ; 16/5; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-19 14:22:55 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; ; ; ; ; ; 4/5; ; ; ; 4/5; 4/5; ; ; ; 4/5; ; 7/9; ; ; 5/6; 4/5; ; ; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; ; ; 13/5; 12/5; ; ; ; 5/2; ; 13/5; ; ; 11/4; 11/4; ; ; ; ; ; 
Maidenhead Utd; 3; ; ; ; ; ; 3; ; ; ; 16/5; 3; ; ; ; 14/5; ; 3; ; ; 3; 16/5; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-19 18:22:55 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; ; ; ; ; ; 4/5; ; ; ; 4/5; 4/5; ; 4/5; ; 4/5; 10/13; 7/9; ; ; 5/6; 4/5; 5/6; 10/13; ; ; ; 
Draw; 11/4; ; ; ; ; ; 13/5; ; ; ; 13/5; 12/5; ; 49/20; ; 5/2; 13/5; 13/5; ; ; 11/4; 11/4; 11/4; 45/17; ; ; ; 
Maidenhead Utd; 3; ; ; ; ; ; 3; ; ; ; 16/5; 3; ; 16/5; ; 14/5; 37/13; 3; ; ; 3; 16/5; 59/20; 29/10; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-19 22:22:57 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; 5/6; ; ; ; ; 4/5; ; ; ; 4/5; 4/5; ; 4/5; ; 4/5; 10/13; 7/9; ; ; 5/6; 4/5; 5/6; 10/13; ; ; ; 
Draw; 11/4; 13/5; ; ; ; ; 13/5; ; ; ; 13/5; 12/5; ; 49/20; ; 5/2; 13/5; 13/5; ; ; 11/4; 11/4; 11/4; 13/5; ; ; ; 
Maidenhead Utd; 3; 16/5; ; ; ; ; 3; ; ; ; 16/5; 3; ; 16/5; ; 3; 29/10; 3; ; ; 3; 16/5; 59/20; 29/10; ; ; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-20 02:22:39 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; 5/6; ; ; ; ; 4/5; ; ; ; 4/5; 4/5; ; 4/5; ; 4/5; 10/13; 7/9; ; ; 5/6; 4/5; 5/6; 10/13; ; 4/7; ; 
Draw; 11/4; 13/5; ; ; ; ; 13/5; ; ; ; 13/5; 12/5; ; 49/20; ; 5/2; 13/5; 13/5; ; ; 11/4; 11/4; 11/4; 13/5; ; 2; ; 
Maidenhead Utd; 3; 16/5; ; ; ; ; 3; ; ; ; 16/5; 3; ; 16/5; ; 3; 29/10; 3; ; ; 3; 16/5; 59/20; 29/10; ; 12/5; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-20 10:22:51 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; 5/6; ; 3/4; ; ; 4/5; ; ; ; 4/5; 4/5; ; 4/5; ; 4/5; 10/13; 7/9; ; ; 5/6; 4/5; 5/6; 10/13; ; 8/11; ; 
Draw; 11/4; 13/5; ; 13/5; ; ; 13/5; ; ; ; 13/5; 12/5; ; 49/20; ; 5/2; 13/5; 13/5; ; ; 11/4; 27/10; 11/4; 45/17; ; 12/5; ; 
Maidenhead Utd; 3; 16/5; ; 3; ; ; 3; ; ; ; 16/5; 3; ; 16/5; ; 3; 37/13; 3; ; ; 3; 33/10; 59/20; 29/10; ; 14/5; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-20 14:23:08 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 5/6; 5/6; ; 3/4; ; 3/4; 4/5; ; 4/5; ; 4/5; 4/5; ; 4/5; ; 4/5; 10/13; 7/9; ; 4/5; 5/6; 4/5; 5/6; 4/5; ; 4/7; ; 
Draw; 11/4; 13/5; ; 13/5; ; 13/5; 13/5; ; 13/5; ; 13/5; 12/5; ; 12/5; ; 5/2; 13/5; 13/5; ; 13/5; 11/4; 11/4; 11/4; 13/5; ; ; ; 
Maidenhead Utd; 3; 16/5; ; 3; ; 31/10; 3; ; 29/10; ; 16/5; 3; ; 31/10; ; 3; 37/13; 3; ; 29/10; 3; 16/5; 59/20; 29/10; ; 19/10; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-20 18:23:07 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 8/11; 5/6; ; 3/4; ; 8/11; 4/5; ; 4/5; 8/11; 8/11; 8/11; ; 3/4; ; 8/11; 5/7; 7/9; ; 4/5; 8/11; 8/11; 8/11; 14/19; ; 8/15; ; 
Draw; 11/4; 13/5; ; 13/5; ; 5/2; 13/5; ; 13/5; 5/2; 13/5; 12/5; ; 49/20; ; 5/2; ; 13/5; ; 13/5; 11/4; 11/4; 11/4; 13/5; ; ; ; 
Maidenhead Utd; 7/2; 16/5; ; 3; ; 17/5; 3; ; 29/10; 7/2; 10/3; 16/5; ; 17/5; ; 16/5; 41/13; 3; ; 29/10; 7/2; 18/5; 7/2; 16/5; ; 2/9; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-20 22:22:55 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 8/11; 5/6; 3/4; 3/4; ; 8/11; 8/11; ; 4/5; 8/11; 8/11; 8/11; ; 3/4; ; 8/11; 14/19; 7/9; 10/13; 4/5; 8/11; 3/4; 8/11; 14/19; ; 8/15; ; 
Draw; 11/4; 13/5; ; 13/5; ; 5/2; 13/5; ; 13/5; 5/2; 5/2; 23/10; ; 49/20; ; 5/2; 28/11; 13/5; 13/5; 13/5; 11/4; 27/10; 11/4; 28/11; ; 5/2; ; 
Maidenhead Utd; 7/2; 16/5; 17/5; 3; ; 17/5; 16/5; ; 29/10; 7/2; 7/2; 10/3; ; 17/5; ; 16/5; 16/5; 3; 57/17; 29/10; 7/2; 18/5; 7/2; 16/5; ; 12/5; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-21 02:21:53 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 8/11; 5/6; 3/4; 3/4; ; 8/11; 3/4; ; 4/5; 3/4; 8/11; 8/11; ; 3/4; ; 8/11; 14/19; 7/9; 10/13; 3/4; 8/11; 3/4; 8/11; 14/19; ; 8/15; ; 
Draw; 11/4; 13/5; ; 13/5; ; 5/2; 13/5; ; 13/5; ; 5/2; 23/10; ; 49/20; ; 5/2; 5/2; 13/5; 13/5; 5/2; 11/4; 27/10; 11/4; 28/11; ; 5/2; ; 
Maidenhead Utd; 7/2; 16/5; 17/5; 3; ; 17/5; 16/5; ; 29/10; 17/5; 7/2; 10/3; ; 17/5; ; 16/5; 16/5; 3; 57/17; 33/10; 7/2; 18/5; 7/2; 16/5; ; 4/11; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-21 10:21:44 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 8/11; 5/6; 3/4; 3/4; 3/4; 8/11; 8/11; ; 3/4; 3/4; 8/11; 8/11; ; 3/4; 3/4; 8/11; 14/19; 7/9; 10/13; 3/4; 8/11; 3/4; 8/11; 14/19; ; 4/7; ; 
Draw; 11/4; 13/5; ; 11/4; 141/50; 5/2; 13/5; ; 5/2; ; 5/2; 23/10; ; 49/20; 13/5; 12/5; 28/11; 13/5; 13/5; 5/2; 11/4; 27/10; 11/4; 28/11; ; 1/5; ; 
Maidenhead Utd; 7/2; 16/5; 17/5; 7/2; 21/5; 17/5; 10/3; ; 33/10; 17/5; 7/2; 10/3; ; 17/5; 7/2; 10/3; 57/17; 3; 57/17; 33/10; 7/2; 18/5; 7/2; 57/17; ; 1/4; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-21 14:21:51 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 8/11; 3/4; 3/4; 3/4; 79/100; 8/11; 7/10; ; 3/4; 3/4; ; 8/11; ; 3/4; 3/4; 8/11; 5/7; 7/9; 10/13; 3/4; 8/11; 3/4; 8/11; 5/7; ; 4/7; ; 
Draw; 11/4; 11/4; ; 11/4; 71/25; 5/2; 13/5; ; 5/2; ; 13/5; 23/10; ; 49/20; 13/5; 5/2; 13/5; 13/5; 13/5; 5/2; 11/4; 27/10; 11/4; 13/5; ; 19/10; ; 
Maidenhead Utd; 7/2; 7/2; 17/5; 7/2; 77/20; 17/5; 7/2; ; 33/10; 17/5; ; 10/3; ; 17/5; 7/2; 10/3; 7/2; 3; 57/17; 33/10; 7/2; 18/5; 7/2; 39/11; ; 5/2; ; 
META; english/non-league/national-league/macclesfield-v-maidenhead-utd; 2018-02-21 18:21:47 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Macclesfield; 8/11; 3/4; 3/4; 3/4; 79/100; 8/11; 8/11; ; 3/4; 3/4; ; 8/11; ; 3/4; 3/4; 8/11; 5/7; 7/9; 10/13; 3/4; 8/11; 3/4; 8/11; 14/19; ; 8/13; ; 
