META; english/non-league/national-league/macclesfield-v-gateshead; 2018-03-24 14:35:13 GMT+2; 2018-03-27 19:45; Nothing; Xlenovo
Macclesfield; 3/4; 4/6; 8/11; 8/11; 3/4; 8/11; 5/7; 3/4; 3/4; 14/19; 8/15; 7/5
Draw; 14/5; 13/5; 11/4; 11/4; 12/5; 13/5; 27/10; 14/5; 11/4; 13/5; 9/5; 19/10
Gateshead; 10/3; 10/3; 16/5; 10/3; 3; 13/4; 7/2; 10/3; 33/10; 7/4; 19/10; 
META; english/non-league/national-league/macclesfield-v-gateshead; 2018-03-24 18:35:05 GMT+2; 2018-03-27 19:45; Nothing; Xlenovo
Macclesfield; 3/4; 8/11; 4/6; 8/11; 8/11; 3/4; 8/11; 14/19; 8/11; 3/4; 14/19; 4/6; 8/11
Draw; 14/5; 13/5; 13/5; 13/5; 13/5; 12/5; 5/2; 28/11; 14/5; 11/4; 13/5; 11/5; 13/5
Gateshead; 10/3; 16/5; 10/3; 10/3; 7/2; 3; 16/5; 57/17; 18/5; 10/3; 57/17; 2/9; 3
META; english/non-league/national-league/macclesfield-v-gateshead; 2018-03-24 22:34:01 GMT+2; 2018-03-27 19:45; Nothing; Xlenovo
Macclesfield; 3/4; 8/11; 4/6; 8/11; 8/11; 3/4; 8/11; 5/7; 7/10; 3/4; 14/19; 4/7; 8/11
Draw; 14/5; 13/5; 5/2; 11/4; 13/5; 12/5; 5/2; 11/4; 14/5; 11/4; 14/5; 23/10; 13/5
Gateshead; 10/3; 16/5; 7/2; 10/3; 18/5; 3; 16/5; 57/17; 15/4; 10/3; 17/5; 7/2; 3
META; english/non-league/national-league/macclesfield-v-gateshead; 2018-03-25 02:35:10 GMT+2; 2018-03-27 19:45; Nothing; Xlenovo
Macclesfield; 3/4; 8/11; 4/6; 8/11; 8/11; 4/6; 7/10; 5/7; 8/11; 3/4; 14/19; 4/7; 8/11
Draw; 14/5; 13/5; 5/2; 11/4; 13/5; 5/2; 13/5; 11/4; 27/10; 11/4; 11/4; 23/10; 13/5
Gateshead; 10/3; 16/5; 7/2; 10/3; 18/5; 10/3; 10/3; 57/17; 15/4; 10/3; 17/5; 7/2; 3
META; english/non-league/national-league/macclesfield-v-gateshead; 2018-03-25 10:34:58 GMT+2; 2018-03-27 19:45; Nothing; Xlenovo
Macclesfield; 3/4; 8/11; 4/6; 8/11; 8/11; 4/6; 7/10; 5/7; 7/10; 8/11; 8/11; 14/19; 4/7; 8/11
Draw; 14/5; 13/5; 5/2; 11/4; 13/5; 5/2; 13/5; 11/4; 45/17; 27/10; 11/4; 11/4; 5/2; 13/5
Gateshead; 10/3; 16/5; 7/2; 10/3; 18/5; 10/3; 10/3; 57/17; 17/5; 15/4; 7/2; 17/5; 7/2; 3
META; english/non-league/national-league/macclesfield-v-gateshead; 2018-03-25 14:36:32 GMT+2; 2018-03-27 19:45; Nothing; Xlenovo
Macclesfield; 3/4; 8/11; 4/5; 4/6; 8/11; 7/10; 8/11; 7/10; 8/11; 5/7; 7/10; 8/11; 3/4; 14/19; 4/7; 8/11
Draw; 14/5; 13/5; 72/25; 5/2; 11/4; 45/17; 13/5; 12/5; 5/2; 11/4; 45/17; 14/5; 11/4; 11/4; 5/2; 11/4
Gateshead; 10/3; 16/5; 37/10; 7/2; 10/3; 17/5; 18/5; 10/3; 10/3; 17/5; 17/5; 18/5; 10/3; 17/5; 7/2; 7/2
META; english/non-league/national-league/macclesfield-v-gateshead; 2018-03-25 18:36:24 GMT+2; 2018-03-27 19:45; Nothing; Xlenovo
Macclesfield; 3/4; 4/5; 4/5; 4/5; 7/10; 3/4; 7/10; 8/11; 3/4; 8/11; 10/13; 11/14; 7/10; 3/4; 10/13; 4/5; 8/13; 8/11
Draw; 14/5; 12/5; 13/5; 72/25; 12/5; 13/5; 45/17; 5/2; 12/5; 5/2; 13/5; 5/2; 45/17; 27/10; 51/20; 28/11; 5/2; 11/4
