META; english/non-league/national-league/chester-v-afc-fylde; 2017-08-05 18:22:31 GMT+3; 2017-08-08 19:45; Nothing; Xlenovo
AFC Fylde; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Chester; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
META; english/non-league/national-league/chester-v-afc-fylde; 2017-08-05 22:20:29 GMT+3; 2017-08-08 19:45; Nothing; Xlenovo
Chester; 8/5; ; ; ; 6/4; ; 8/5; ; ; ; ; ; 31/20; ; ; 17/11; ; ; 17/11; ; ; ; ; ; 6/4; ; 10/11; ; 
AFC Fylde; 8/5; ; ; ; 8/5; ; 13/8; ; ; ; ; ; 31/20; ; ; 8/5; ; ; 17/11; ; ; ; ; ; 13/8; ; 1; ; 
Draw; 12/5; ; ; ; 23/10; ; 12/5; ; ; ; ; ; 12/5; ; ; 12/5; ; ; 40/17; ; ; ; ; ; 12/5; ; 19/10; ; 
META; english/non-league/national-league/chester-v-afc-fylde; 2017-08-06 02:21:36 GMT+3; 2017-08-08 19:45; Nothing; Xlenovo
AFC Fylde; 8/5; 8/5; ; ; 8/5; ; 13/8; ; ; ; ; 6/4; 31/20; ; ; 8/5; ; ; 17/11; ; ; ; ; ; 13/8; ; 6/5; ; 
Chester; 8/5; 8/5; ; ; 6/4; ; 8/5; ; ; ; ; 6/4; 31/20; ; ; 8/5; ; ; 17/11; ; ; ; ; ; 13/8; ; 6/5; ; 
Draw; 12/5; 9/4; ; ; 23/10; ; 12/5; ; ; ; ; 9/4; 12/5; ; ; 23/10; ; ; 40/17; ; ; ; ; ; 9/4; ; 19/10; ; 
META; english/non-league/national-league/chester-v-afc-fylde; 2017-08-06 10:21:31 GMT+3; 2017-08-08 19:45; Nothing; Xlenovo
Chester; 8/5; 8/5; ; ; 6/4; ; 8/5; 6/4; 17/11; ; ; 6/4; 31/20; ; ; 8/5; ; 6/4; 17/11; ; ; 17/11; ; ; 6/4; ; 10/11; ; 
AFC Fylde; 8/5; 8/5; ; ; 8/5; ; 13/8; 6/4; 17/11; ; ; 6/4; 31/20; ; ; 8/5; ; 6/4; 8/5; ; ; 17/11; ; ; 13/8; ; 10/11; ; 
Draw; 12/5; 9/4; ; ; 12/5; ; 12/5; 23/10; 40/17; ; ; 9/4; 12/5; ; ; 23/10; ; 23/10; 40/17; ; ; 40/17; ; ; 12/5; ; 21/10; ; 
META; english/non-league/national-league/chester-v-afc-fylde; 2017-08-06 14:21:38 GMT+3; 2017-08-08 19:45; Nothing; Xlenovo
Chester; 11/8; 7/5; ; 11/8; 7/5; ; 29/20; 7/5; 17/11; 7/5; ; 7/5; 7/5; ; 6/4; 7/5; 13/10; 6/4; 16/11; 31/20; 25/19; 17/11; ; ; 7/5; ; 20/21; ; 
AFC Fylde; 15/8; 9/5; ; 9/5; 7/4; ; 9/5; 17/10; 17/11; 7/4; ; 17/10; 9/5; ; 17/10; 9/5; 7/4; 6/4; 7/4; 39/20; 18/11; 17/11; ; ; 7/4; ; 23/20; ; 
Draw; 12/5; 23/10; ; 23/10; 23/10; ; 12/5; 23/10; 40/17; 11/5; ; 21/10; 23/10; ; 23/10; 23/10; 9/4; 23/10; 23/10; 12/5; 27/11; 40/17; ; ; 12/5; ; 21/10; ; 
META; english/non-league/national-league/chester-v-afc-fylde; 2017-08-06 18:22:00 GMT+3; 2017-08-08 19:45; Nothing; Xlenovo
