META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-15 02:24:59 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Draw; 5/2; 23/10; ; ; 12/5; 23/10; 12/5; 23/10; 40/17; ; 21/10; ; ; ; ; 23/10; 23/10; 12/5; ; ; 40/17; ; 12/5; 5/2; 27/11; ; ; ; 
Solihull Moors; 12/5; 21/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 9/4; ; ; ; ; 9/4; 9/4; 40/17; ; ; 23/10; ; 5/2; 47/20; 40/17; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-16 22:24:30 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 21/20; 6/5; ; ; 21/20; 41/40; 11/10; 10/11; 24/23; ; 1; ; ; ; ; 21/20; 1; 1; ; ; 24/23; 11/10; 11/10; 21/20; 21/20; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 23/10; 12/5; 23/10; 40/17; ; 23/10; ; ; ; ; 12/5; 23/10; 12/5; ; ; 40/17; 5/2; 12/5; 5/2; 27/11; ; ; ; 
Solihull Moors; 12/5; 21/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 11/5; ; ; ; ; 9/4; 9/4; 40/17; ; ; 23/10; 12/5; 5/2; 47/20; 40/17; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-17 02:24:13 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 21/20; 6/5; ; ; 21/20; 41/40; 11/10; 10/11; 24/23; ; 1; ; ; ; ; 21/20; 1; 1; ; ; 24/23; 11/10; 11/10; 21/20; 21/20; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 23/10; 12/5; 23/10; 40/17; ; 23/10; ; ; ; ; 12/5; 23/10; 12/5; ; ; 40/17; 5/2; 12/5; 5/2; 27/11; ; ; ; 
Solihull Moors; 12/5; 21/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 11/5; ; ; ; ; 9/4; 9/4; 40/17; ; ; 23/10; 12/5; 5/2; 47/20; 40/17; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-17 10:24:34 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 21/20; 6/5; ; ; 21/20; 41/40; 11/10; 10/11; 24/23; ; 1; ; ; ; ; 21/20; 1; 1; ; ; 24/23; 11/10; 11/10; 21/20; 21/20; ; ; ; 
Draw; 5/2; 23/10; ; ; 12/5; 23/10; 12/5; 23/10; 40/17; ; 23/10; ; ; ; ; 12/5; 23/10; 12/5; ; ; 40/17; 5/2; 12/5; 5/2; 27/11; ; ; ; 
Solihull Moors; 12/5; 21/10; ; ; 12/5; 9/4; 23/10; 23/10; 23/10; ; 11/5; ; ; ; ; 9/4; 9/4; 40/17; ; ; 23/10; 12/5; 5/2; 47/20; 40/17; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-17 14:25:10 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 6/5; 21/20; ; 21/20; 41/40; 21/20; 10/11; 24/23; 21/20; 1; ; ; ; ; 21/20; 1; 1; ; ; 24/23; 21/20; 11/10; 21/20; 1; ; ; ; 
Draw; 5/2; 23/10; 12/5; ; 12/5; 23/10; 12/5; 23/10; 40/17; 12/5; 23/10; ; ; ; ; 12/5; 23/10; 12/5; ; ; 40/17; 5/2; 12/5; 5/2; 12/5; ; ; ; 
Solihull Moors; 13/5; 21/10; 12/5; ; 12/5; 9/4; 23/10; 23/10; 23/10; 12/5; 11/5; ; ; ; ; 23/10; 9/4; 12/5; ; ; 23/10; 12/5; 5/2; 47/20; 12/5; ; ; ; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-17 18:26:29 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 6/5; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; ; 11/10; 21/20; 1; 21/20; 117/100; 12/11; 24/23; 11/10; 23/20; 21/20; 21/20; ; ; 10/9; 
Solihull Moors; 13/5; 21/10; 11/5; 9/4; 12/5; 9/4; 23/10; 23/10; 23/10; 11/5; 11/5; ; ; ; 12/5; 9/4; 9/4; 9/4; 61/25; 2; 23/10; 23/10; 23/10; 47/20; 23/10; ; ; 21/10; 
Draw; 5/2; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 23/10; 40/17; 23/10; 9/4; ; ; ; 23/10; 12/5; 23/10; 12/5; 53/20; 27/11; 40/17; 5/2; 12/5; 5/2; 12/5; ; ; 2; 
META; english/non-league/national-league/guiseley-v-solihull-moors; 2017-10-17 22:25:39 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Guiseley; 1; 6/5; 11/10; 21/20; 21/20; 41/40; 11/10; 10/11; 24/23; 11/10; 21/20; ; ; ; 11/10; 21/20; 1; 21/20; 117/100; 12/11; 24/23; 11/10; 11/10; 21/20; 21/20; ; ; 10/9; 
