META; english/non-league/national-league/bromley-v-wrexham; 2018-03-24 22:34:10 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 1/50; 11/8
Wrexham; 1/50; 17/10
Draw; 1/100; 12/5
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-25 02:35:19 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 11/8; 1/50; 11/8
Wrexham; 7/4; 1/50; 17/10
Draw; 12/5; 1/100; 12/5
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-25 10:35:08 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 11/8; 1/50; 11/8
Wrexham; 7/4; 1/50; 17/10
Draw; 12/5; 1/100; 12/5
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-25 14:36:43 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 6/4; 11/8; 7/5; 29/20; 7/5; 6/4; 6/4; 10/9; 11/8
Wrexham; 13/8; 7/4; 13/8; 13/8; 8/5; 17/10; 13/8; 6/5; 17/10
Draw; 5/2; 12/5; 12/5; 12/5; 23/10; 5/2; 5/2; 15/8; 12/5
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-25 18:36:33 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 6/4; 11/8; 41/25; 6/4; 6/4; 7/5; 7/5; 6/4; 6/4; 16/11; 1/16; 8/5
Wrexham; 13/8; 7/4; 169/00; 8/5; 13/8; 8/5; 17/11; 17/10; 13/8; 17/11; 5/4; 13/8
Draw; 5/2; 12/5; 66/25; 12/5; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 1/8; 5/2
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-25 22:36:28 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 6/4; 11/8; 41/25; 6/4; 6/4; 7/5; 16/11; 6/4; 6/4; 16/11; 10/9; 8/5
Wrexham; 13/8; 7/4; 169/00; 8/5; 13/8; 8/5; 17/11; 17/10; 13/8; 17/11; 6/5; 13/8
Draw; 5/2; 12/5; 66/25; 12/5; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 15/8; 5/2
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-26 02:36:23 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 6/4; 11/8; 41/25; 6/4; 6/4; 7/5; 16/11; 6/4; 6/4; 16/11; 10/9; 20/21
Wrexham; 13/8; 7/4; 169/00; 8/5; 13/8; 8/5; 17/11; 17/10; 13/8; 17/11; 6/5; 1
Draw; 5/2; 12/5; 66/25; 12/5; 23/10; 23/10; 12/5; 5/2; 5/2; 12/5; 15/8; 1/4
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-26 10:36:28 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 6/4; 11/8; 41/25; 6/4; 31/21; 6/4; 7/5; 16/11; 16/11; 31/21; 31/20; 6/4; 16/11; 1/16; 8/5
Wrexham; 13/8; 7/4; 169/00; 8/5; 17/11; 8/5; 8/5; 17/11; 8/5; 17/11; 17/10; 13/8; 17/11; 1/16; 13/8
Draw; 5/2; 12/5; 66/25; 12/5; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 12/5; 49/20; 12/5; 1/8; 5/2
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-26 14:36:33 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 7/5; 11/8; 151/00; 7/5; 31/21; 29/20; 29/20; 11/8; 7/5; 7/5; 16/11; 31/21; 6/4; 29/20; 7/5; 1/16; 7/5; 
Wrexham; 7/4; 7/4; 7/4; 46/25; 13/8; 17/11; 7/4; 17/10; 13/8; 8/5; 8/5; 8/5; 17/11; 7/4; 17/10; 8/5; 1/16; 9/5
Draw; 5/2; 12/5; 66/25; 12/5; 12/5; 11/5; 23/10; 23/10; 23/10; 40/17; 12/5; 12/5; 12/5; 47/20; 12/5; 19/10; 5/2; 
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-26 18:36:32 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 29/20; 8/5; 31/20; 8/5; 83/50; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 15/11; 31/21; 31/20; 6/4; 6/4; 1/16; 7/5; 13/8
Wrexham; 17/10; 7/4; 7/4; 7/4; 47/25; 17/10; 17/11; 7/4; 17/10; 17/10; 7/4; 7/4; 8/5; 17/10; 8/5; 12/7; 17/11; 9/5; 7/4; 17/10; 1/16; 13/8; 9/5
Draw; 5/2; 9/4; 2; 11/5; 23/10; 21/10; 12/5; 2; 9/4; 2; 41/20; 21/10; 21/10; 28/13; 12/5; 9/4; 12/5; 11/5; 9/4; 11/5; 1/8; 19/10; 9/4
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-26 22:36:31 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 29/20; 8/5; 31/20; 8/5; 83/50; 29/20; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 16/11; 16/11; 15/11; 31/21; 31/20; 6/4; 1/16; 7/5; 13/8
Wrexham; 17/10; 7/4; 7/4; 7/4; 47/25; 13/8; 17/10; 17/11; 7/4; 17/10; 17/10; 7/4; 7/4; 8/5; 17/10; 8/5; 12/7; 17/11; 9/5; 7/4; 1/16; 13/8; 9/5
Draw; 5/2; 9/4; 2; 11/5; 23/10; 21/10; 21/10; 12/5; 2; 11/5; 2; 41/20; 21/10; 21/10; 11/5; 12/5; 9/4; 12/5; 11/5; 9/4; 1/8; 19/10; 9/4
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-27 02:36:39 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 29/20; 8/5; 31/20; 8/5; 83/50; 29/20; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 15/11; 31/21; 31/20; 6/4; 6/4; 1/16; 7/5; 13/8
Wrexham; 17/10; 7/4; 7/4; 7/4; 47/25; 13/8; 17/10; 17/11; 7/4; 17/10; 17/10; 7/4; 7/4; 8/5; 17/10; 8/5; 12/7; 17/11; 9/5; 7/4; 1/16; 13/8; 9/5; 
Draw; 5/2; 9/4; 2; 11/5; 23/10; 21/10; 21/10; 12/5; 2; 11/5; 19/10; 41/20; 21/10; 21/10; 28/13; 12/5; 9/4; 12/5; 11/5; 9/4; 1/8; 19/10; 9/4; 
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-27 10:36:45 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 29/20; 8/5; 31/20; 8/5; 83/50; 29/20; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 15/11; 31/21; 31/20; 6/4; 6/4; 1/16; 7/5; 13/8
Wrexham; 17/10; 7/4; 7/4; 7/4; 47/25; 13/8; 17/10; 17/11; 7/4; 7/4; 17/10; 7/4; 7/4; 8/5; 17/10; 8/5; 12/7; 17/11; 9/5; 7/4; 1/16; 13/8; 9/5; 
Draw; 5/2; 9/4; 2; 11/5; 23/10; 21/10; 21/10; 12/5; 2; 11/5; 2; 41/20; 21/10; 21/10; 28/13; 12/5; 9/4; 12/5; 11/5; 9/4; 1/8; 19/10; 9/4; 
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-27 14:36:54 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 29/20; 8/5; 31/20; 8/5; 83/50; 29/20; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 15/11; 31/21; 31/20; 6/4; 6/4; 6/4; 7/5; 13/8
Wrexham; 17/10; 7/4; 7/4; 7/4; 47/25; 13/8; 17/10; 17/11; 7/4; 17/10; 17/10; 7/4; 7/4; 8/5; 17/10; 8/5; 12/7; 17/11; 9/5; 7/4; 17/10; 17/10; 13/8; 9/5
Draw; 5/2; 9/4; 2; 11/5; 23/10; 21/10; 21/10; 12/5; 2; 11/5; 2; 41/20; 21/10; 21/10; 28/13; 12/5; 9/4; 12/5; 11/5; 9/4; 11/5; 15/8; 19/10; 9/4
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-27 18:37:00 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 29/20; 8/5; 31/20; 8/5; 83/50; 29/20; 6/4; 31/21; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 16/11; 16/11; 31/21; 31/20; 6/4; 6/4; 6/4; 7/5; 13/8
Wrexham; 17/10; 7/4; 7/4; 7/4; 47/25; 13/8; 17/10; 17/11; 7/4; 17/10; 17/10; 7/4; 7/4; 8/5; 7/4; 8/5; 7/4; 17/11; 9/5; 7/4; 7/4; 17/10; 13/8; 9/5
Draw; 5/2; 9/4; 2; 11/5; 23/10; 21/10; 11/5; 12/5; 2; 11/5; 2; 41/20; 21/10; 21/10; 11/5; 12/5; 40/17; 12/5; 11/5; 9/4; 9/4; 19/10; 19/10; 9/4
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-27 22:36:49 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 29/20; 8/5; 31/20; 8/5; 83/50; 7/5; 6/4; 31/21; 31/20; 29/20; 6/4; 6/4; 8/5; 7/5; 6/4; 16/11; 16/11; 31/21; 31/20; 6/4; 17/11; 5/4; 7/5; 13/8
Wrexham; 17/10; 7/4; 7/4; 7/4; 47/25; 7/4; 17/10; 17/11; 7/4; 9/5; 17/10; 7/4; 7/4; 17/10; 7/4; 8/5; 7/4; 17/11; 9/5; 7/4; 7/4; 17/10; 13/8; 9/5
Draw; 5/2; 9/4; 2; 11/5; 23/10; 21/10; 11/5; 12/5; 2; 11/5; 2; 41/20; 21/10; 21/10; 11/5; 12/5; 40/17; 12/5; 11/5; 9/4; 11/5; 19/10; 19/10; 9/4
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-28 02:36:31 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 13/10; 13/10; 13/10; 11/8; 143/00; 5/4; 11/8; 11/8; 13/10; 7/5; 13/10; 27/20; 7/5; 13/10; 13/10; 16/11; 13/10; 11/8; 11/8; 27/20; 13/10; 10/9; 6/5; 7/5
Wrexham; 19/10; 21/10; 2; 54/25; 19/10; 19/10; 7/4; 2; 2; 2; 19/10; 2; 8/5; 2; 7/4; 2; 2; 19/10; 19/10; 21/10; ; ; ; 
Draw; 5/2; 23/10; 21/10; 9/4; 59/25; 2; 11/5; 23/10; 21/10; 21/10; 2; 41/20; 21/10; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 11/5; 9/4; 19/10; 19/10; 23/10
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-28 10:36:33 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 13/10; 13/10; 13/10; 11/8; 143/00; 5/4; 13/10; 11/8; 13/10; 7/5; 13/10; 27/20; 7/5; 13/10; 13/10; 16/11; 13/10; 11/8; 11/8; 27/20; 13/10; 10/9; 7/5
Wrexham; 19/10; 21/10; 2; 54/25; 19/10; 2; 7/4; 2; 2; 11/5; 19/10; 2; 8/5; 2; 7/4; 2; 2; 19/10; 21/10; ; ; ; 
Draw; 5/2; 23/10; 21/10; 9/4; 59/25; 2; 11/5; 23/10; 21/10; 21/10; 2; 41/20; 11/5; 21/10; 9/4; 12/5; 23/10; 23/10; 9/4; 11/5; 9/4; 19/10; 23/10
META; english/non-league/national-league/bromley-v-wrexham; 2018-03-28 14:36:54 GMT+2; 2018-03-30 15:00; Nothing; Xlenovo
Bromley; 13/10; 13/10; 13/10; 11/8; 141/00; 5/4; 13/10; 11/8; 13/10; 7/5; 13/10; 27/20; 7/5; 13/10; 13/10; 16/11; 13/10; 11/8; 11/8; 27/20; 13/10; 10/9; 20/21
