META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-10 18:24:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 6/5; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; 
Ebbsfleet United; 2; ; ; ; 2; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-10 22:24:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 6/5; ; 5/4; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; 
Ebbsfleet United; 2; ; ; ; 2; ; 21/10; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 12/5; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-11 02:24:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 6/5; ; 5/4; ; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Ebbsfleet United; 2; ; ; ; 2; ; 2; ; ; ; ; 15/8; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 9/4; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-11 10:24:42 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 6/5; ; 5/4; ; ; ; ; 6/5; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Ebbsfleet United; 2; ; ; ; 2; ; 2; ; ; ; ; 15/8; ; ; ; 19/10; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 9/4; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-11 14:24:48 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 5/4; ; 5/4; ; 5/4; ; ; 6/5; ; ; ; 6/5; ; ; 6/5; ; ; 5/4; ; ; 5/4; ; ; ; 
Ebbsfleet United; 2; ; ; ; 19/10; ; 2; ; 15/8; ; ; 15/8; ; ; ; 19/10; ; ; 24/13; ; ; 15/8; ; ; 2; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 27/11; ; ; 9/4; ; ; ; 12/5; ; ; 12/5; ; ; 27/11; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-11 18:25:14 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 5/4; ; 5/4; ; 5/4; ; ; 6/5; 5/4; ; ; 6/5; ; ; 6/5; ; ; 5/4; ; 5/4; ; ; ; ; 
Ebbsfleet United; 2; ; ; ; 19/10; ; 2; ; 15/8; ; ; 15/8; 2; ; ; 19/10; ; ; 24/13; ; ; 15/8; ; 2; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 27/11; ; ; 9/4; 5/2; ; ; 12/5; ; ; 12/5; ; ; 27/11; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-11 22:24:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 5/4; ; 5/4; ; 5/4; ; ; 6/5; 5/4; ; ; 6/5; ; ; 6/5; ; ; 5/4; ; 5/4; ; ; ; ; 
Ebbsfleet United; 2; ; ; ; 19/10; ; 2; ; 15/8; ; ; 15/8; 2; ; ; 19/10; ; ; 19/10; ; ; 15/8; ; 2; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; 27/11; ; ; 9/4; 5/2; ; ; 12/5; ; ; 27/11; ; ; 27/11; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/ebbsfleet-united-v-tranmere; 2017-09-12 02:24:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Tranmere; 5/4; ; ; ; 5/4; ; 13/10; ; 5/4; ; ; 6/5; 5/4; ; ; 6/5; ; ; 6/5; ; ; 5/4; ; 5/4; 5/4; ; 4/5; ; 
