META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-18 14:23:00 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Hartlepool; 7/4; 9/5; ; ; ; ; 17/10; ; ; ; 7/4; 7/4; ; 37/20; ; 17/10; 28/17; 7/4; ; ; 7/4; 9/5; 7/4; 17/10; ; 11/8; ; 
Draw; 5/2; 12/5; ; ; ; ; 23/10; ; ; ; 23/10; 11/5; ; 43/20; ; 23/10; 40/17; 23/10; ; ; 5/2; 12/5; 5/2; 12/5; ; 9/5; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-20 10:22:48 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; 7/5; ; 13/10; ; ; 11/8; ; ; ; 7/5; 13/10; ; 7/5; ; 11/8; 23/17; 23/17; ; ; 7/5; 6/4; 11/8; 23/17; ; 21/20; ; 
Hartlepool; 7/4; 9/5; ; 13/8; ; ; 17/10; ; ; ; 9/5; 7/4; ; 37/20; ; 17/10; 28/17; 7/4; ; ; 7/4; 9/5; 7/4; 17/10; ; 13/8; ; 
Draw; 5/2; 12/5; ; 12/5; ; ; 23/10; ; ; ; 9/4; 11/5; ; 43/20; ; 23/10; 40/17; 23/10; ; ; 5/2; 23/10; 5/2; 12/5; ; 9/5; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-20 14:23:05 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 7/5; 7/5; ; 13/10; ; 11/8; 11/8; ; 23/17; ; 7/5; 13/10; ; 7/5; ; 11/8; 13/10; 23/17; ; 23/17; 7/5; 7/5; 11/8; 23/17; ; 21/20; ; 
Hartlepool; 7/4; 9/5; ; 13/8; ; 17/10; 17/10; ; 17/10; ; 17/10; 7/4; ; 37/20; ; 17/10; 28/17; 7/4; ; 17/10; 7/4; 9/5; 7/4; 17/10; ; 13/10; ; 
Draw; 5/2; 12/5; ; 12/5; ; 23/10; 12/5; ; 12/5; ; 12/5; 11/5; ; 43/20; ; 23/10; 12/5; 23/10; ; 12/5; 5/2; 5/2; 5/2; 12/5; ; 9/4; ; 
META; english/non-league/national-league/hartlepool-v-ebbsfleet-united; 2018-02-20 18:23:04 GMT+2; 2018-02-24 15:00; Nothing; Xlenovo
Ebbsfleet United; 11/8; 7/5; ; 13/10; ; 11/8; 11/8; ; 23/17; 7/5; 7/5; 13/10; ; 7/5; ; 11/8; ; 23/17; ; 23/17; 7/5; 29/20; 7/5; 13/10; ; 1; ; 
Hartlepool; 9/5; 9/5; ; 13/8; ; 17/10; 17/10; ; 17/10; 9/5; 9/5; 7/4; ; 37/20; ; 17/10; 17/10; 7/4; ; 17/10; 9/5; 15/8; 9/5; 17/10; ; 13/8; ; 
