META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-01 18:22:38 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 10/11; ; 20/21; 5/6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 20/21; ; ; ; ; 
Draw; 13/5; ; ; ; 12/5; ; 13/5; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 
Halifax; 5/2; ; ; ; 11/4; ; 27/10; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-01 22:22:28 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 19/20; 19/20; ; 5/6; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; ; ; 1; ; ; ; ; 
Draw; 13/5; ; ; ; 12/5; 12/5; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; 5/2; ; ; ; ; 
Halifax; 5/2; ; ; ; 13/5; 23/10; ; 13/5; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-02 02:22:17 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 19/20; 19/20; ; 5/6; ; ; ; ; ; ; ; 19/20; 19/20; ; ; ; ; ; ; 1; ; ; ; ; 
Draw; 13/5; ; ; ; 12/5; 12/5; ; 23/10; ; ; ; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; 5/2; ; ; ; ; 
Halifax; 5/2; ; ; ; 13/5; 23/10; ; 13/5; ; ; ; ; ; ; ; 5/2; 23/10; ; ; ; ; ; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-02 10:22:45 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 20/21; 19/20; 1; 10/11; 1; ; 1; ; ; ; ; 1; 19/20; ; ; ; ; 1; ; 1; ; ; ; ; 
Draw; 13/5; ; ; ; 5/2; 12/5; 13/5; 12/5; 40/17; ; 21/10; ; ; ; ; 12/5; 12/5; ; ; ; ; 40/17; ; 5/2; ; ; ; ; 
Halifax; 5/2; ; ; ; 5/2; 23/10; 13/5; 5/2; 27/11; ; 12/5; ; ; ; ; 12/5; 23/10; ; ; ; ; 27/11; ; 12/5; ; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-02 14:35:02 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 20/21; 19/20; 1; 10/11; 1; ; 1; ; ; ; 10/11; 1; 19/20; 19/20; ; ; 1; ; 1; 19/20; ; ; ; 
Draw; 13/5; ; ; ; 12/5; 12/5; 5/2; 12/5; 40/17; ; 21/10; ; ; ; 12/5; 23/10; 12/5; 12/5; ; ; 40/17; ; 13/5; 13/5; ; ; ; 
Halifax; 5/2; ; ; ; 13/5; 23/10; 12/5; 5/2; 27/11; ; 12/5; ; ; ; 14/5; 5/2; 23/10; 12/5; ; ; 27/11; ; 13/5; 13/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-02 18:23:03 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 20/21; 19/20; 1; 10/11; 1; ; 1; ; ; ; 10/11; 19/20; 19/20; 1; ; ; 1; 1; 1; 19/20; ; ; ; 
Draw; 13/5; ; ; ; 5/2; 12/5; 5/2; 12/5; 40/17; ; 21/10; ; ; ; 12/5; 12/5; 12/5; 27/11; ; ; 40/17; 13/5; 13/5; 13/5; ; ; ; 
Halifax; 5/2; ; ; ; 5/2; 23/10; 12/5; 5/2; 27/11; ; 12/5; ; ; ; 14/5; 5/2; 23/10; 27/11; ; ; 27/11; 13/5; 5/2; 13/5; ; ; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-02 22:23:26 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 20/21; 19/20; 1; 10/11; 1; ; 20/21; ; ; ; 10/11; 19/20; 19/20; 1; ; ; 1; 1; 1; 19/20; ; 8/11; ; 
Draw; 13/5; ; ; ; 12/5; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; ; ; 12/5; 12/5; 12/5; 27/11; ; ; 40/17; 13/5; 13/5; 13/5; ; 2; ; 
Halifax; 5/2; ; ; ; 13/5; 23/10; 12/5; 5/2; 27/11; ; 5/2; ; ; ; 14/5; 5/2; 23/10; 27/11; ; ; 27/11; 13/5; 13/5; 13/5; ; 9/5; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-03 02:23:09 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
Boreham Wood; 1; ; ; ; 20/21; 19/20; 1; 10/11; 1; ; 20/21; ; ; 10/11; 10/11; 19/20; 19/20; 1; ; ; 1; 1; 1; 19/20; ; 5/6; ; 
Draw; 13/5; ; ; ; 5/2; 12/5; 12/5; 12/5; 40/17; ; 11/5; ; ; 12/5; 12/5; 12/5; 12/5; 27/11; ; ; 40/17; 13/5; 13/5; 13/5; ; 23/10; ; 
Halifax; 5/2; ; ; ; 5/2; 23/10; 12/5; 5/2; 27/11; ; 5/2; ; ; 5/2; 14/5; 5/2; 23/10; 27/11; ; ; 27/11; 13/5; 5/2; 13/5; ; 9/5; ; 
META; english/non-league/national-league/boreham-wood-v-halifax; 2017-10-03 10:23:32 GMT+3; 2017-10-07 15:00; Nothing; Xlenovo
