META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-18 14:22:59 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 3/2; 161/100; 6/4; 29/20; 7/5; 16/11; 6/4; 16/11; 8/11; 6/4
Boreham Wood; 17/10; 7/4; 179/100; 17/10; 7/4; 8/5; 28/17; 7/4; 28/17; 10/11; 17/10
Draw; 12/5; 11/5; 63/25; 9/4; 9/4; 11/5; 23/10; 12/5; 40/17; 5/4; 12/5
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-18 18:22:56 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 3/2; 6/4; 43/25; 29/20; 8/5; 6/4; 8/5; 6/4; 6/4; 17/11; 16/11; 6/4; 13/8; 17/11; 8/5; 27/20; 7/5; 17/10
Boreham Wood; 17/10; 7/4; 13/8; 44/25; 13/8; 13/8; 17/10; 8/5; 17/10; 8/5; 28/17; 28/17; 6/4; 13/8; 17/10; 13/8; 6/4; 7/5; 17/10
Draw; 12/5; 11/5; 9/4; 119/50; 21/10; 11/5; 11/5; 43/20; 23/10; 21/10; 9/4; 9/4; 40/17; 12/5; 9/4; 11/5; 21/10; 7/4; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-18 22:22:43 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 29/20; 8/5; 8/5; 13/8; 8/5; 6/4; 6/4; 8/5; 16/11; 6/4; 13/8; 8/5; 8/5; 7/5; 7/5; 17/10
Boreham Wood; 17/10; 8/5; 8/5; 44/25; 13/8; 13/8; 13/8; 8/5; 8/5; 17/10; 8/5; 28/17; 28/17; 6/4; 13/8; 28/17; 13/8; 7/5; 7/5; 17/10
Draw; 12/5; 9/4; 21/10; 119/50; 21/10; 11/5; 11/5; 19/10; 43/20; 23/10; 21/10; 9/4; 9/4; 40/17; 12/5; 9/4; 11/5; 7/4; 7/4; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-19 02:22:09 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 29/20; 8/5; 8/5; 31/20; 8/5; 6/4; 6/4; 8/5; 16/11; 6/4; 13/8; 8/5; 8/5; 7/5; 17/10
Boreham Wood; 17/10; 8/5; 8/5; 44/25; 13/8; 13/8; 13/8; 8/5; 17/10; 8/5; 28/17; 28/17; 6/4; 13/8; 28/17; 13/8; 1/100; 17/10; 
Draw; 12/5; 9/4; 21/10; 119/50; 21/10; 11/5; 11/5; 2; 43/20; 23/10; 21/10; 9/4; 9/4; 40/17; 12/5; 9/4; 11/5; 19/10; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-19 10:22:04 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 6/4; 8/5; 8/5; 8/5; 31/20; 8/5; 6/4; 6/4; 8/5; 16/11; 6/4; 8/5; 13/8; 8/5; 13/8; 7/5; 7/5; 17/10
Boreham Wood; 17/10; 8/5; 8/5; 44/25; 6/4; 13/8; 8/5; 8/5; 8/5; 6/4; 6/4; 28/17; 28/17; 6/4; 8/5; 13/8; 28/17; 13/8; 1/50; 7/5; 17/10; 
Draw; 12/5; 9/4; 21/10; 119/50; 11/5; 11/5; 9/4; 9/4; 2; 43/20; 21/10; 21/10; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 7/4; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-19 14:22:19 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 6/4; 8/5; 8/5; 8/5; 31/20; 8/5; 6/4; 6/4; 8/5; 16/11; 6/4; 8/5; 13/8; 8/5; 13/8; 7/5; 7/5; 17/10
Boreham Wood; 17/10; 8/5; 8/5; 44/25; 6/4; 13/8; 8/5; 8/5; 8/5; 6/4; 6/4; 28/17; 28/17; 6/4; 8/5; 13/8; 28/17; 13/8; 1/50; 7/5; 17/10; 
Draw; 12/5; 9/4; 21/10; 119/50; 11/5; 11/5; 9/4; 9/4; 2; 43/20; 21/10; 21/10; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 7/4; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-19 18:22:16 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 6/4; 8/5; 8/5; 8/5; 8/5; 31/20; 8/5; 6/4; 6/4; 8/5; 16/11; 6/4; 8/5; 13/8; 8/5; 13/8; 7/5; 7/5; 17/10
Boreham Wood; 17/10; 8/5; 8/5; 44/25; 6/4; 13/8; 8/5; 8/5; 8/5; 8/5; 6/4; 8/5; 28/17; 28/17; 6/4; 8/5; 13/8; 28/17; 13/8; 6/4; 7/5; 17/10; 
Draw; 12/5; 9/4; 21/10; 119/50; 11/5; 11/5; 9/4; 21/10; 9/4; 2; 43/20; 21/10; 21/10; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 15/8; 7/4; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-19 22:22:16 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 6/4; 8/5; 8/5; 8/5; 8/5; 31/20; 8/5; 6/4; 6/4; 17/11; 16/11; 6/4; 8/5; 13/8; 8/5; 13/8; 7/5; 7/5; 17/10
Boreham Wood; 17/10; 8/5; 8/5; 44/25; 6/4; 13/8; 8/5; 8/5; 13/8; 8/5; 6/4; 8/5; 28/17; 28/17; 6/4; 8/5; 13/8; 17/10; 13/8; 13/8; 7/5; 17/10; 
Draw; 12/5; 9/4; 21/10; 119/50; 11/5; 11/5; 9/4; 21/10; 11/5; 2; 43/20; 21/10; 21/10; 11/5; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 7/4; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-20 02:21:40 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 6/4; 8/5; 8/5; 8/5; 8/5; 13/8; 8/5; 6/4; 6/4; 8/5; 16/11; 6/4; 8/5; 13/8; 8/5; 13/8; 7/5; 7/5; 17/10
Boreham Wood; 17/10; 8/5; 8/5; 44/25; 6/4; 13/8; 8/5; 8/5; 8/5; 8/5; 6/4; 8/5; 28/17; 28/17; 6/4; 8/5; 13/8; 28/17; 13/8; 13/8; 7/5; 17/10; 
Draw; 12/5; 9/4; 21/10; 119/50; 11/5; 11/5; 9/4; 21/10; 9/4; 19/10; 43/20; 21/10; 21/10; 11/5; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 7/4; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-20 10:21:44 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Bromley; 6/4; 8/5; 8/5; 43/25; 6/4; 8/5; 8/5; 8/5; 8/5; 13/8; 8/5; 6/4; 6/4; 8/5; 16/11; 6/4; 8/5; 13/8; 8/5; 13/8; 7/5; 7/5; 17/10; 
Boreham Wood; 17/10; 8/5; 8/5; 7/4; 6/4; 13/8; 8/5; 8/5; 13/8; 8/5; 6/4; 8/5; 28/17; 28/17; 6/4; 8/5; 13/8; 28/17; 13/8; 13/8; 7/5; 17/10; ; 
Draw; 12/5; 9/4; 11/5; 21/10; 12/5; 11/5; 11/5; 9/4; 11/5; 11/5; 19/10; 43/20; 21/10; 21/10; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 9/5; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-20 14:22:00 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Boreham Wood; 31/20; 13/8; 31/20; 17/10; 171/100; 31/20; 8/5; 8/5; 31/20; 8/5; 6/4; 31/20; 6/4; 6/4; 8/5; 28/17; 24/17; 8/5; 31/20; 8/5; 13/8; 13/8; 7/5; 13/8
Bromley; 13/8; 6/4; 13/8; 6/4; 177/100; 13/8; 13/8; 8/5; 13/8; 13/8; 31/20; 13/8; 6/4; 6/4; 28/17; 16/11; 27/17; 8/5; 17/10; 28/17; 13/8; 6/4; 6/4; 17/10
Draw; 12/5; 9/4; 11/5; 12/5; 119/50; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 43/20; 21/10; 11/5; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 9/5; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-20 18:22:10 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Boreham Wood; 31/20; 13/8; 31/20; 17/10; 171/100; 31/20; 13/8; 8/5; 31/20; 8/5; 31/20; 6/4; 6/4; 8/5; 28/17; 6/4; 8/5; 31/20; 8/5; 13/8; 13/8; 7/5; 13/8; 
Bromley; 13/8; 6/4; 13/8; 6/4; 177/100; 13/8; 13/8; 8/5; 13/8; 13/8; 13/8; 6/4; 6/4; 28/17; 16/11; 17/10; 8/5; 17/10; 28/17; 13/8; 6/4; 6/4; 17/10; 
Draw; 12/5; 9/4; 11/5; 12/5; 119/50; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 43/20; 21/10; 21/10; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 9/5; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-20 22:22:24 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Boreham Wood; 31/20; 13/8; 31/20; 17/10; 171/00; 31/20; 13/8; 8/5; 31/20; 8/5; 31/20; 6/4; 6/4; 8/5; 28/17; 6/4; 8/5; 31/20; 8/5; 13/8; 13/8; 8/5; 13/8; 
Bromley; 13/8; 6/4; 13/8; 6/4; 177/00; 13/8; 13/8; 8/5; 13/8; 13/8; 13/8; 6/4; 6/4; 28/17; 16/11; 17/10; 8/5; 17/10; 28/17; 13/8; 13/8; 8/5; 17/10; 
Draw; 12/5; 9/4; 11/5; 12/5; 119/0; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 43/20; 21/10; 21/10; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 2; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-21 02:21:52 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Boreham Wood; 31/20; 6/4; 31/20; 17/10; 171/00; 31/20; 13/8; 8/5; 31/20; 8/5; 31/20; 6/4; 6/4; 8/5; 28/17; 17/11; 8/5; 8/5; 8/5; 13/8; 6/4; 6/4; 13/8; 
Bromley; 13/8; 13/8; 8/5; 6/4; 177/00; 13/8; 13/8; 8/5; 8/5; 13/8; 8/5; 6/4; 6/4; 28/17; 16/11; 29/18; 8/5; 13/8; 28/17; 13/8; 13/8; 6/4; 17/10; 
Draw; 12/5; 9/4; 11/5; 12/5; 119/0; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 43/20; 21/10; 11/5; 9/4; 9/4; 40/17; 9/4; 12/5; 9/4; 9/4; 19/10; 19/10; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-21 10:22:01 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Boreham Wood; 31/20; 8/5; 31/20; 17/10; 171/00; 31/20; 13/8; 31/21; 31/20; 8/5; 6/4; 31/20; 6/4; 6/4; 8/5; 28/17; 17/11; 31/21; 8/5; 8/5; 13/8; 13/8; 8/5; 13/8
Bromley; 13/8; 8/5; 8/5; 6/4; 177/00; 13/8; 13/8; 28/17; 8/5; 13/8; 31/20; 8/5; 6/4; 6/4; 28/17; 16/11; 29/18; 28/17; 13/8; 28/17; 13/8; 13/8; 13/8; 17/10
Draw; 12/5; 9/4; 11/5; 12/5; 119/0; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 43/20; 21/10; 21/10; 9/4; 23/10; 40/17; 9/4; 12/5; 9/4; 9/4; 21/10; 2; 23/10
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-21 14:22:31 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Boreham Wood; 7/5; 8/5; 29/20; 17/10; 161/00; 6/4; 6/4; 31/21; 29/20; 6/4; 7/5; 11/8; 7/5; 7/5; 6/4; 16/11; 16/11; 31/21; 6/4; 6/4; 6/4; 6/4; 7/5; 13/8
Bromley; 9/5; 8/5; 9/5; 6/4; 15/8; 17/10; 7/4; 28/17; 9/5; 7/4; 13/8; 37/20; 17/10; 8/5; 7/4; 28/17; 16/9; 28/17; 9/5; 7/4; 9/5; 9/5; 15/8; 9/5
Draw; 12/5; 11/5; 21/10; 12/5; 12/5; 21/10; 9/4; 9/4; 21/10; 11/5; 11/5; 43/20; 2; 11/5; 9/4; 9/4; 23/10; 9/4; 23/10; 9/4; 9/4; 11/5; 23/10; 12/5
META; english/non-league/national-league/bromley-v-boreham-wood; 2018-04-21 18:22:10 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Boreham Wood; 9/4; 1/3; 11/25; 9/4; 4/11; 2/5; 2; 6/19; 7/19
Draw; 11/10; 13/4; 13/4; 17/16; 3; 23/20; 13/4; 56/19; 
Bromley; 9/4; 11; 15/2; 27/11; 9; 12/5; 14/5; 37/4; 17/2
