META; english/non-league/national-league/gateshead-v-afc-fylde; 2018-02-04 02:20:27 GMT+2; 2018-02-10 15:00; Nothing; Xlenovo
AFC Fylde; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gateshead; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-afc-fylde; 2018-02-04 10:20:26 GMT+2; 2018-02-10 15:00; Nothing; Xlenovo
AFC Fylde; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Gateshead; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-afc-fylde; 2018-02-04 14:20:59 GMT+2; 2018-02-10 15:00; Nothing; Xlenovo
Gateshead; 13/10; 3/2; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 15/8; 13/8; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-afc-fylde; 2018-02-04 18:21:07 GMT+2; 2018-02-10 15:00; Nothing; Xlenovo
Gateshead; 13/10; 3/2; ; ; 139/100; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 7/5; 13/10; ; ; ; ; 
AFC Fylde; 15/8; 13/8; ; ; 2; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; 15/8; 37/20; ; ; ; ; 
Draw; 5/2; 23/10; ; ; 66/25; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 12/5; 5/2; ; ; ; ; 
META; english/non-league/national-league/gateshead-v-afc-fylde; 2018-02-04 22:20:56 GMT+2; 2018-02-10 15:00; Nothing; Xlenovo
Gateshead; 13/10; 3/2; ; ; 139/100; ; ; ; ; ; 13/10; ; ; ; ; ; 5/4; ; ; ; ; 11/8; 13/10; 5/4; ; ; ; 
AFC Fylde; 15/8; 13/8; ; ; 2; ; ; ; ; ; 15/8; ; ; ; ; ; 9/5; ; ; ; ; 15/8; 37/20; 9/5; ; ; ; 
Draw; 5/2; 23/10; ; ; 66/25; ; ; ; ; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; 5/2; 5/2; 12/5; ; ; ; 
META; english/non-league/national-league/gateshead-v-afc-fylde; 2018-02-05 02:20:52 GMT+2; 2018-02-10 15:00; Nothing; Xlenovo
