META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-08 14:25:07 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/33
Draw; 3; 1/33
Hartlepool; 5; 1/33
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-08 18:24:40 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/2; 1/2; 1/2; 1/33; 7/5
Draw; 3; 29/10; 29/10; 3; 1/33; 19/10
Hartlepool; 5; 11/2; 6; 1/33; 19/10; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-08 22:24:47 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/2; 1/2; 1/2; 1/2; 1/100; 9/10
Draw; 3; 29/10; 29/10; 14/5; 3; 1/100; 19/10
Hartlepool; 5; 11/2; 5; 1/100; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-09 02:24:45 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/2; 1/2; 1/2; 1/2; 1/33; 9/10
Draw; 3; 29/10; 29/10; 14/5; 3; 1/33; 19/10
Hartlepool; 5; 11/2; 5; 1/33; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-09 10:24:42 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 17/35; 10/21; 1/2; 1/2; 17/35; 1/33; 9/10
Draw; 3; 29/10; 45/17; 29/10; 3; 14/5; 14/5; 3; 45/17; 29/10; 37/13; 1/33; 19/10
Hartlepool; 5; 11/2; 11/2; 5; 94/19; 5; 11/2; 13/2; 5; 1/33; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-09 14:25:01 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 17/35; 10/21; 1/2; 1/2; 17/35; 4/11; 9/10
Draw; 3; 29/10; 45/17; 29/10; 3; 14/5; 14/5; 3; 45/17; 29/10; 37/13; 21/10; 19/10
Hartlepool; 5; 11/2; 11/2; 5; 94/19; 5; 11/2; 13/2; 5; 7/2; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-09 18:24:53 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 17/35; 10/21; 1/2; 1/2; 17/35; 1/33; 9/10
Draw; 3; 29/10; 45/17; 29/10; 13/5; 14/5; 14/5; 3; 45/17; 29/10; 37/13; 2/9; 19/10
Hartlepool; 5; 11/2; 11/2; 11/2; 5; 94/19; 5; 11/2; 13/2; 5; 2/9; 7/2; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-09 22:24:53 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 1/2; 1/2; 1/2; 4/9; 1/2; 17/35; 10/21; 1/2; 1/2; 17/35; 1/100; 9/10
Draw; 3; 29/10; 45/17; 29/10; 13/5; 14/5; 14/5; 3; 45/17; 3; 37/13; 3/10; 19/10
Hartlepool; 5; 11/2; 11/2; 11/2; 5; 94/19; 5; 11/2; 6; 3/10; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-10 02:24:34 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 4/9; 1/2; 1/2; 1/2; 4/9; 1/2; 17/35; 10/21; 1/2; 1/2; 17/35; 1/100; 9/10
Draw; 3; 14/5; 29/10; 45/17; 29/10; 13/5; 14/5; 14/5; 3; 45/17; 3; 37/13; 3/10; 19/10
Hartlepool; 5; 5; 11/2; 11/2; 11/2; 5; 94/19; 5; 11/2; 6; 3/10; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-10 10:24:41 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 4/9; 1/2; 1/2; 1/2; 4/9; 1/2; 17/35; 10/21; 1/2; 1/2; 17/35; 1/100; 9/10
Draw; 3; 14/5; 29/10; 45/17; 29/10; 13/5; 14/5; 14/5; 3; 45/17; 3; 37/13; 3/10; 19/10
Hartlepool; 5; 5; 11/2; 11/2; 11/2; 5; 94/19; 5; 11/2; 6; 3/10; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-10 14:25:13 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Sutton Utd; 8/15; 4/9; 1/2; 1/2; 1/2; 4/9; 1/2; 17/35; 10/21; 1/2; 1/2; 17/35; 1/50; 
Draw; 3; 14/5; 29/10; 45/17; 29/10; 13/5; 14/5; 14/5; 3; 45/17; 3; 37/13; 1/3; 1/25
Hartlepool; 5; 5; 11/2; 11/2; 11/2; 5; 94/19; 5; 11/2; 6; 4; 7/2; ; 
META; english/non-league/national-league/sutton-utd-v-hartlepool; 2018-04-10 18:25:04 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
