META; english/non-league/national-league/afc-fylde-v-dagenham-redbridge; 2017-08-13 18:22:59 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-dagenham-redbridge; 2017-08-13 22:22:48 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-dagenham-redbridge; 2017-08-14 02:22:32 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-dagenham-redbridge; 2017-08-14 10:22:31 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
AFC Fylde; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-dagenham-redbridge; 2017-08-14 14:23:06 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; ; 7/5; ; ; ; ; ; ; 13/10; 27/20; ; ; 11/8; ; ; ; ; ; ; ; ; 11/8; ; ; ; 
AFC Fylde; 7/4; ; ; ; 17/10; ; ; ; ; ; ; 17/10; 7/4; ; ; 17/10; ; ; ; ; ; ; ; ; 7/4; ; ; ; 
Draw; 13/5; ; ; ; 5/2; ; ; ; ; ; ; 23/10; 13/5; ; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; 
META; english/non-league/national-league/afc-fylde-v-dagenham-redbridge; 2017-08-14 18:23:10 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Dagenham & Redbridge; 11/8; ; ; ; 7/5; ; 7/5; ; ; ; ; 13/10; 27/20; ; ; 11/8; ; ; 13/10; ; ; ; ; ; 11/8; ; ; ; 
AFC Fylde; 7/4; ; ; ; 17/10; ; 7/4; ; ; ; ; 17/10; 7/4; ; ; 7/4; ; ; 17/10; ; ; ; ; ; 7/4; ; ; ; 
Draw; 13/5; ; ; ; 5/2; ; 13/5; ; ; ; ; 23/10; 13/5; ; ; 5/2; ; ; 5/2; ; ; ; ; ; 5/2; ; ; ; 
