META; english/non-league/national-league/sutton-utd-v-dover; 2017-09-30 22:22:08 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 21/20; ; ; ; 1; ; 1; ; ; ; ; ; ; ; ; 1; ; ; 1; ; ; ; ; 21/20; 1; ; 2/13; ; 
Draw; 12/5; ; ; ; 9/4; ; 12/5; ; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; 2/7; ; 
Dover; 5/2; ; ; ; 13/5; ; 27/10; ; ; ; ; ; ; ; ; 5/2; ; ; 5/2; ; ; ; ; 5/2; 51/20; ; 1/5; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-01 02:22:56 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 21/20; 10/11; ; ; 1; ; 1; 10/11; ; ; ; ; ; ; ; 19/20; ; ; 1; ; ; ; ; 1; 1; ; 2/7; ; 
Draw; 12/5; 12/5; ; ; 9/4; ; 12/5; 23/10; ; ; ; ; ; ; ; 23/10; ; ; 12/5; ; ; ; ; 23/10; 12/5; ; 2/7; ; 
Dover; 5/2; 14/5; ; ; 13/5; ; 11/4; 12/5; ; ; ; ; ; ; ; 13/5; ; ; 5/2; ; ; ; ; 5/2; 51/20; ; 3/10; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-01 10:22:54 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 21/20; 10/11; ; ; 1; ; 1; 10/11; ; ; 20/21; ; ; ; ; 1; ; ; 1; ; ; ; 21/20; 1; 1; ; 2/7; ; 
Draw; 12/5; 12/5; ; ; 9/4; ; 12/5; 23/10; ; ; 9/4; ; ; ; ; 23/10; ; ; 12/5; ; ; ; 12/5; 23/10; 12/5; ; 2/7; ; 
Dover; 5/2; 14/5; ; ; 13/5; ; 11/4; 12/5; ; ; 12/5; ; ; ; ; 5/2; ; ; 5/2; ; ; ; 5/2; 5/2; 51/20; ; 3/10; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-01 14:23:06 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 10/11; ; 6/5; 1; 1; 1; 10/11; 1; ; 21/20; ; ; 20/21; ; 1; 1; ; 1; 6/5; ; 1; 21/20; 1; 1; ; 5/6; ; 
Draw; 12/5; 12/5; ; 12/5; 9/4; 11/5; 12/5; 23/10; 9/4; ; 21/10; ; ; 23/10; ; 9/4; 11/5; ; 40/17; 12/5; ; 9/4; 12/5; 23/10; 12/5; ; 2; ; 
Dover; 11/4; 14/5; ; 13/8; 13/5; 12/5; 11/4; 12/5; 13/5; ; 12/5; ; ; 5/2; ; 5/2; 12/5; ; 45/17; 131/50; ; 13/5; 5/2; 13/5; 51/20; ; 11/5; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-01 18:22:28 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 19/20; 21/20; 6/5; 1; 1; 21/20; 10/11; 1; 21/20; 1; 21/20; ; 20/21; 1; 1; 1; ; 1; 117/100; 30/29; 1; 21/20; 21/20; 1; ; 5/6; ; 
Draw; 12/5; 12/5; 11/5; 12/5; 9/4; 11/5; 12/5; 23/10; 9/4; 11/5; 11/5; 43/20; ; 23/10; 12/5; 9/4; 11/5; ; 23/10; 121/50; 23/10; 9/4; 12/5; 23/10; 12/5; ; 2; ; 
Dover; 11/4; 3; 5/2; 13/8; 13/5; 12/5; 13/5; 12/5; 13/5; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 12/5; ; 13/5; 67/25; 9/4; 13/5; 5/2; 13/5; 51/20; ; 11/5; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-01 22:22:18 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 19/20; 21/20; 6/5; 11/10; 1; 21/20; 1; 1; 21/20; 1; 21/20; ; 1; 1; 1; 1; ; 21/20; 29/25; 30/29; 1; 11/10; 21/20; 21/20; ; 1; ; 
Draw; 12/5; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 9/4; 9/4; 9/4; 9/4; ; 11/5; 12/5; 9/4; 11/5; ; 23/10; 49/20; 23/10; 9/4; 23/10; 23/10; 47/20; ; 2; ; 
Dover; 11/4; 3; 12/5; 13/8; 5/2; 12/5; 13/5; 12/5; 13/5; 12/5; 23/10; 49/20; ; 12/5; 13/5; 5/2; 12/5; ; 28/11; 133/50; 9/4; 13/5; 5/2; 5/2; 51/20; ; 23/10; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-02 02:22:07 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 11/10; 21/20; 6/5; 11/10; 1; 21/20; 1; 1; 21/20; 1; 21/20; ; 1; 1; 21/20; 1; ; 21/20; 29/25; 30/29; 1; 11/10; 21/20; 21/20; ; 1; ; 
Draw; 12/5; 12/5; 9/4; 12/5; 11/5; 11/5; 12/5; 11/5; 9/4; 9/4; 9/4; 9/4; ; 11/5; 12/5; 9/4; 11/5; ; 23/10; 49/20; 23/10; 9/4; 23/10; 23/10; 47/20; ; 2; ; 
Dover; 11/4; 5/2; 12/5; 13/8; 5/2; 12/5; 13/5; 12/5; 13/5; 12/5; 23/10; 49/20; ; 12/5; 13/5; 12/5; 12/5; ; 28/11; 133/50; 9/4; 13/5; 5/2; 5/2; 51/20; ; 23/10; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-02 10:22:35 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 11/10; 21/20; 21/20; 21/20; 1; 21/20; 1; 1; 21/20; 1; 21/20; ; 1; 11/10; 21/20; 1; ; 1; 113/100; 30/29; 1; 11/10; 21/20; 21/20; ; 21/20; ; 
Draw; 12/5; 12/5; 9/4; 9/4; 9/4; 11/5; 12/5; 11/5; 9/4; 9/4; 9/4; 9/4; ; 11/5; 23/10; 9/4; 11/5; ; 40/17; 63/25; 23/10; 9/4; 23/10; 23/10; 47/20; ; 12/5; ; 
Dover; 11/4; 5/2; 12/5; 12/5; 5/2; 12/5; 13/5; 12/5; 13/5; 12/5; 23/10; 49/20; ; 12/5; 12/5; 12/5; 12/5; ; 28/11; 67/25; 9/4; 13/5; 5/2; 5/2; 51/20; ; 5/2; ; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-02 18:22:53 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 11/10; 1; 21/20; 21/20; 1; 1; 10/11; 1; 1; 1; 21/20; ; 1; 1; 1; 1; 1; 21/20; 11/10; 1; 11/10; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 12/5; 23/10; 9/4; 9/4; 11/5; 23/10; 11/5; 9/4; 23/10; 11/5; 9/4; ; 9/4; 12/5; 9/4; 11/5; 12/5; 129/50; 23/10; 9/4; 23/10; 12/5; 47/20; ; 12/5; 11/5; 
Dover; 11/4; 5/2; 5/2; 12/5; 5/2; 12/5; 5/2; 12/5; 13/5; 5/2; 12/5; 49/20; ; 5/2; 13/5; 5/2; 12/5; 45/17; 72/25; 21/10; 13/5; 5/2; 13/5; 51/20; ; 13/5; 5/2; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-02 22:23:16 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 11/10; 1; 21/20; 1; 1; 21/20; 10/11; 1; 1; 20/21; 1; ; 20/21; 1; 1; 1; 1; 21/20; 30/29; 1; 11/10; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 12/5; 23/10; 9/4; 23/10; 11/5; 23/10; 11/5; 9/4; 23/10; 23/10; 9/4; ; 9/4; 12/5; 23/10; 11/5; 12/5; 129/50; 12/5; 9/4; 23/10; 12/5; 47/20; ; 23/10; 11/5; 
Dover; 11/4; 5/2; 5/2; 12/5; 13/5; 12/5; 13/5; 5/2; 13/5; 5/2; 12/5; 5/2; ; 5/2; 13/5; 5/2; 12/5; 45/17; 72/25; 5/2; 13/5; 5/2; 13/5; 51/20; ; 13/5; 5/2; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-03 02:22:59 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 21/20; 1; 21/20; 1; 1; 1; 10/11; 1; 1; 20/21; 1; ; 1; 1; 1; 1; 1; 26/25; 30/29; 1; 11/10; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 12/5; 9/4; 9/4; 23/10; 11/5; 23/10; 11/5; 9/4; 9/4; 23/10; 9/4; ; 9/4; 12/5; 23/10; 11/5; 40/17; 129/50; 12/5; 9/4; 23/10; 12/5; 47/20; ; 23/10; 11/5; 
Dover; 11/4; 13/5; 13/5; 12/5; 13/5; 12/5; 13/5; 12/5; 13/5; 13/5; 12/5; 49/20; ; 5/2; 13/5; 5/2; 12/5; 45/17; 29/10; 5/2; 13/5; 5/2; 13/5; 51/20; ; 13/5; 12/5; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-03 10:23:22 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 1; 21/20; 1; 21/20; 21/20; 41/40; 21/20; 10/11; 21/20; 1; 20/21; 1; ; 20/21; 1; 1; 1; 1; 107/100; 30/29; ; 11/10; 21/20; 21/20; ; 1; 1; 
Draw; 12/5; 12/5; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 9/4; ; 23/10; 12/5; 23/10; 9/4; 12/5; 13/5; 12/5; ; 23/10; 12/5; 47/20; ; 12/5; 23/10; 
Dover; 11/4; 13/5; 5/2; 13/5; 5/2; 23/10; 5/2; 5/2; 23/10; 5/2; 5/2; 49/20; ; 5/2; 13/5; 5/2; 23/10; 28/11; 139/50; 5/2; ; 5/2; 13/5; 51/20; ; 13/5; 13/5; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-03 14:23:32 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 10/11; 21/20; 19/20; 21/20; 20/21; 41/40; 1; 10/11; 19/20; 19/20; 20/21; 19/20; ; 20/21; 1; 19/20; 1; 19/20; 51/50; 68/67; 19/20; 1; 20/21; 1; ; 1; 20/21; 
Draw; 23/10; 12/5; 23/10; 12/5; 23/10; 9/4; 12/5; 23/10; 12/5; 23/10; 11/5; 23/10; ; 23/10; 12/5; 23/10; 9/4; 12/5; 131/50; 27/11; 12/5; 12/5; 12/5; 5/2; ; 12/5; 12/5; 
Dover; 16/5; 13/5; 13/5; 13/5; 11/4; 23/10; 13/5; 13/5; 28/11; 13/5; 13/5; 13/5; ; 13/5; 13/5; 13/5; 23/10; 11/4; 147/50; 28/11; 28/11; 13/5; 14/5; 11/4; ; 14/5; 13/5; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-03 18:23:15 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Sutton Utd; 10/11; 1; 1; 1; 19/20; 10/11; 1; 5/6; 19/20; 1; 10/11; 1; ; 9/10; 1; 19/20; 9/10; 19/20; 103/100; 42/41; 19/20; 10/11; 1; 19/20; ; 20/21; 20/21; 
Draw; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; ; 23/10; 12/5; 23/10; 23/10; 12/5; 53/20; 27/11; 12/5; 5/2; 5/2; 51/20; ; 12/5; 12/5; 
Dover; 3; 11/4; 13/5; 5/2; 13/5; 13/5; 11/4; 11/4; 28/11; 13/5; 5/2; 13/5; ; 11/4; 13/5; 13/5; 13/5; 27/10; 143/50; 5/2; 28/11; 14/5; 27/10; 29/10; ; 11/4; 11/4; 
META; english/non-league/national-league/sutton-utd-v-dover; 2017-10-03 22:23:14 GMT+3; 2017-10-03 19:45; In Play; Xlenovo
Dover; 4/7; 4/7; 21/10; 21/10; 12/5; 11/20; 9/4; 4/7; 21/10; 9/4; ; ; ; ; 21/10; 9/4; 23/10; 11/4; ; ; ; ; 8/15; ; ; ; 23/10; 
Draw; 11/4; 5/2; 7/4; 7/4; 7/4; 5/2; 21/10; 12/5; 17/10; 19/10; ; ; ; ; 7/4; 8/5; 17/11; 11/5; ; ; ; ; 27/10; ; ; ; 15/8; 
Sutton Utd; 5; 5; 16/11; 29/20; 6/4; 9/2; 11/10; 9/2; 17/11; 13/10; ; ; ; ; 7/5; 6/4; 5; 1; ; ; ; ; 21/4; ; ; ; 6/4; 
