META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-09-30 22:21:45 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; ; ; ; ; 6/5; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; 5/4; 6/5; ; 4/6; ; 
Dagenham & Redbridge; ; ; ; ; 2; ; 21/10; ; ; ; ; ; ; ; ; 19/10; ; ; 37/19; ; ; ; ; 2; 2; ; 1; ; 
Draw; ; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 27/11; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-01 02:22:36 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 5/4; 6/5; ; ; 23/20; ; 6/5; 11/10; ; ; ; ; ; ; ; 11/10; ; ; 6/5; ; ; ; ; 6/5; 6/5; ; 4/6; ; 
Dagenham & Redbridge; 2; 2; ; ; 21/10; ; 85/40; 2; ; ; ; ; ; ; ; 2; ; ; 37/19; ; ; ; ; 2; 2; ; 1; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; ; ; ; ; ; 12/5; ; ; 27/11; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-01 10:22:34 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 5/4; 6/5; ; ; 6/5; ; 6/5; 11/10; ; ; 6/5; ; ; ; ; 6/5; ; ; 6/5; ; ; ; 5/4; 6/5; 6/5; ; 8/11; ; 
Dagenham & Redbridge; 2; 2; ; ; 2; ; 21/10; 2; ; ; 19/10; ; ; ; ; 19/10; ; ; 2; ; ; ; 2; 2; 2; ; 21/20; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; 11/5; ; ; ; ; 12/5; ; ; 27/11; ; ; ; 5/2; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/aldershot-v-dagenham-redbridge; 2017-10-01 14:22:43 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Aldershot; 23/20; 6/5; ; 11/8; 5/4; 117/100; 6/5; 11/10; 6/5; ; 6/5; ; ; 11/10; ; 5/4; 15/13; ; 15/13; 7/5; ; 6/5; 5/4; 6/5; 6/5; ; 20/21; ; 
Dagenham & Redbridge; 11/5; 2; ; 6/4; 2; 19/10; 85/40; 2; 37/19; ; 9/5; ; ; 19/10; ; 19/10; 19/10; ; 21/10; 21/10; ; 37/19; 2; 2; 21/10; ; 6/4; ; 
