META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-09-30 22:22:06 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 11/10; ; ; ; 11/10; ; 11/10; ; ; ; ; ; ; ; ; 11/10; ; ; 11/10; ; ; ; ; 11/10; 11/10; ; 4/7; ; 
Solihull Moors; 9/4; ; ; ; 11/5; ; 12/5; ; ; ; ; ; ; ; ; 21/10; ; ; 9/4; ; ; ; ; 11/5; 9/4; ; 10/9; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; 12/5; 5/2; ; 11/5; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-01 02:22:53 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; ; ; ; ; ; ; ; 21/20; ; ; 11/10; ; ; ; ; 11/10; 11/10; ; 4/7; ; 
Solihull Moors; 9/4; 9/4; ; ; 11/5; ; 12/5; 21/10; ; ; ; ; ; ; ; 11/5; ; ; 9/4; ; ; ; ; 11/5; 9/4; ; 10/9; ; 
Draw; 5/2; 12/5; ; ; 5/2; ; 5/2; 12/5; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-01 10:22:51 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 11/10; 11/10; ; ; 11/10; ; 11/10; 1; ; ; 21/20; ; ; ; ; 21/20; ; ; 11/10; ; ; ; 11/10; 11/10; 11/10; ; 4/7; ; 
Solihull Moors; 9/4; 9/4; ; ; 11/5; ; 12/5; 21/10; ; ; 11/5; ; ; ; ; 11/5; ; ; 9/4; ; ; ; 23/10; 11/5; 9/4; ; 10/9; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 12/5; ; ; 9/4; ; ; ; ; 12/5; ; ; 5/2; ; ; ; 5/2; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-01 14:23:04 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 21/20; 11/10; ; 1; 21/20; 43/40; 11/10; 10/11; 21/20; ; 21/20; ; ; 1; ; 21/20; 21/20; ; 21/20; 6/5; ; 21/20; 11/10; 11/10; 11/10; ; 8/11; ; 
Draw; 5/2; 12/5; ; 12/5; 5/2; 23/10; 5/2; 5/2; 12/5; ; 9/4; ; ; 5/2; ; 12/5; 23/10; ; 5/2; 123/50; ; 12/5; 5/2; 12/5; 5/2; ; 23/10; ; 
Solihull Moors; 12/5; 9/4; ; 2; 9/4; 21/10; 12/5; 21/10; 23/10; ; 11/5; ; ; 11/5; ; 9/4; 21/10; ; 40/17; 51/20; ; 23/10; 23/10; 23/10; 9/4; ; 17/10; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-01 18:22:25 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 21/20; 21/20; 21/20; 1; 21/20; 43/40; 11/10; 1; 21/20; 21/20; 1; 21/20; ; 1; 23/20; 21/20; 21/20; ; 21/20; 31/25; 15/14; 21/20; 11/10; 11/10; 11/10; ; 5/6; ; 
Solihull Moors; 12/5; 5/2; 9/4; 2; 23/10; 21/10; 12/5; 11/5; 23/10; 9/4; 9/4; 11/5; ; 11/5; 23/10; 9/4; 21/10; ; 12/5; 123/50; 133/67; 23/10; 23/10; 23/10; 23/10; ; 9/5; ; 
Draw; 5/2; 5/2; 12/5; 12/5; 5/2; 23/10; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; ; 5/2; 23/10; 12/5; 23/10; ; 12/5; 49/20; 28/11; 12/5; 5/2; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-01 22:22:15 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 21/20; 21/20; 21/20; 1; 21/20; 43/40; 11/10; 1; 21/20; 21/20; 1; 21/20; ; 1; 23/20; 21/20; 21/20; ; 21/20; 59/50; 15/14; 21/20; 11/10; 11/10; 11/10; ; 1; ; 
Draw; 5/2; 5/2; 23/10; 12/5; 12/5; 23/10; 5/2; 12/5; 12/5; 23/10; 23/10; 12/5; ; 5/2; 23/10; 12/5; 23/10; ; 40/17; 62/25; 28/11; 12/5; 5/2; 23/10; 5/2; ; 11/5; ; 
Solihull Moors; 12/5; 5/2; 23/10; 2; 12/5; 21/10; 12/5; 11/5; 23/10; 23/10; 9/4; 23/10; ; 11/5; 23/10; 9/4; 21/10; ; 27/11; 129/50; 133/67; 23/10; 23/10; 12/5; 23/10; ; 23/10; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-02 02:22:05 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 21/20; 21/20; 21/20; 1; 21/20; 43/40; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 1; 23/20; 21/20; 21/20; ; 21/20; 59/50; 15/14; 21/20; 11/10; 11/10; 11/10; ; 1; ; 
Solihull Moors; 12/5; 12/5; 23/10; 2; 12/5; 21/10; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; ; 23/10; 23/10; 9/4; 21/10; ; 27/11; 129/50; 133/67; 23/10; 23/10; 12/5; 23/10; ; 23/10; ; 
Draw; 5/2; 13/5; 23/10; 12/5; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 23/10; 12/5; ; 12/5; 23/10; 12/5; 23/10; ; 40/17; 62/25; 28/11; 12/5; 5/2; 23/10; 5/2; ; 11/5; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-02 10:22:33 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 21/20; 21/20; 21/20; 21/20; 21/20; 43/40; 21/20; 1; 21/20; 21/20; 1; 21/20; ; 1; 23/20; 21/20; 21/20; ; 21/20; 28/25; 15/14; 21/20; 11/10; 21/20; 11/10; ; 1; ; 
Solihull Moors; 12/5; 12/5; 23/10; 9/4; 12/5; 21/10; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; ; 23/10; 23/10; 23/10; 21/10; ; 27/11; 131/50; 133/67; 23/10; 23/10; 12/5; 23/10; ; 12/5; ; 
Draw; 5/2; 13/5; 23/10; 12/5; 12/5; 23/10; 13/5; 23/10; 12/5; 23/10; 23/10; 12/5; ; 12/5; 23/10; 12/5; 23/10; ; 12/5; 131/50; 28/11; 12/5; 5/2; 12/5; 5/2; ; 12/5; ; 
META; english/non-league/national-league/solihull-moors-v-ebbsfleet-united; 2017-10-02 14:34:35 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Ebbsfleet United; 21/20; 21/20; 1; 11/10; 21/20; 43/40; 1; 1; 21/20; 1; 20/21; 1; ; 20/21; 1; 1; 21/20; 1; 21/20; 24/23; 21/20; 21/20; 1; 21/20; ; 1; 20/21; 
Draw; 5/2; 13/5; 12/5; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 9/4; 12/5; ; 23/10; 5/2; 12/5; 23/10; 27/11; 66/25; 5/2; 12/5; 5/2; 13/5; 51/20; ; 12/5; 11/5; 
