META; english/non-league/national-league/barrow-v-torquay; 2017-09-10 18:24:38 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Barrow; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/5; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
Torquay; 7/2; ; ; ; 7/2; ; 18/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 7/2; ; ; ; 
META; english/non-league/national-league/barrow-v-torquay; 2017-09-10 22:24:37 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Barrow; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; 3/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 12/5; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 7/2; ; ; ; 7/2; ; 15/4; ; ; ; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-torquay; 2017-09-11 02:24:32 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Barrow; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; 3/4; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 7/2; ; ; ; 7/2; ; 18/5; ; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-torquay; 2017-09-11 10:24:29 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Barrow; 4/5; ; ; ; 4/5; ; 4/5; ; ; ; ; 3/4; ; ; ; 4/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 5/2; ; ; ; 12/5; ; 5/2; ; ; ; ; 12/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay; 7/2; ; ; ; 7/2; ; 18/5; ; ; ; ; 16/5; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/barrow-v-torquay; 2017-09-11 14:24:36 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Barrow; 4/5; ; ; ; 4/5; ; 4/5; ; 4/5; ; ; 3/4; ; ; ; 4/5; ; 4/5; 10/13; ; ; 4/5; ; ; 4/5; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 12/5; ; ; 23/10; ; ; ; 12/5; ; 12/5; 12/5; ; ; 12/5; ; ; 5/2; ; ; ; 
Torquay; 7/2; ; ; ; 10/3; ; 18/5; ; 31/10; ; ; 16/5; ; ; ; 10/3; ; 31/10; 16/5; ; ; 31/10; ; ; 10/3; ; ; ; 
META; english/non-league/national-league/barrow-v-torquay; 2017-09-11 18:25:02 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Barrow; 4/5; ; ; ; 4/5; ; 4/5; ; 4/5; ; ; 3/4; 4/5; ; ; 4/5; ; 4/5; 10/13; ; ; 4/5; ; 4/5; 4/5; ; ; ; 
Draw; 5/2; ; ; ; 5/2; ; 5/2; ; 12/5; ; ; 23/10; 5/2; ; ; 12/5; ; 12/5; 12/5; ; ; 12/5; ; 5/2; 5/2; ; ; ; 
Torquay; 7/2; ; ; ; 10/3; ; 18/5; ; 31/10; ; ; 16/5; 7/2; ; ; 10/3; ; 31/10; 16/5; ; ; 31/10; ; 7/2; 10/3; ; ; ; 
META; english/non-league/national-league/barrow-v-torquay; 2017-09-11 22:24:42 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
