META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-04 18:24:05 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 6/5; 23/20; 6/5; 4/7
Hartlepool; 11/5; 21/10; 21/10; 11/5; 9/4; 1
Draw; 12/5; 11/5; 23/10; 23/10; 12/5; 10/9
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-04 22:23:47 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 6/5; 23/20; 23/20; 6/5; 4/6; 
Hartlepool; 11/5; 21/10; 11/5; 9/4; 21/10; 12/5; 21/10; 11/10
Draw; 12/5; 11/5; 9/4; 9/4; 21/10; 9/4; 12/5; 6/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-05 02:23:53 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 6/5; 23/20; 23/20; 11/10; 15/13; 23/20; 6/5; 10/11
Hartlepool; 11/5; 21/10; 21/10; 9/4; 21/10; 21/10; 21/10; 23/10; 21/10; 13/8
Draw; 12/5; 11/5; 9/4; 9/4; 21/10; 11/5; 23/10; 12/5; 12/5; 9/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-05 10:23:51 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 6/5; 13/11; 23/20; 23/20; 11/10; 15/13; 15/13; 13/11; 6/5; 6/5; 15/13; 10/11
Hartlepool; 11/5; 21/10; 21/10; 28/13; 23/10; 21/10; 21/10; 21/10; 21/10; 28/13; 9/4; 21/10; 21/10; 2
Draw; 12/5; 11/5; 23/10; 9/4; 11/5; 21/10; 21/10; 9/4; 23/10; 9/4; 12/5; 12/5; 9/4; 9/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-05 14:24:13 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 6/5; 13/11; 23/20; 21/20; 11/10; 15/13; 15/13; 13/11; 6/5; 6/5; 15/13; 10/11
Hartlepool; 11/5; 23/10; 21/10; 28/13; 9/4; 23/10; 11/5; 21/10; 21/10; 28/13; 12/5; 21/10; 21/10; 17/10
Draw; 12/5; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 9/4; 23/10; 9/4; 9/4; 12/5; 9/4; 9/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-05 18:24:17 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 11/10; 6/5; 13/11; 23/20; 21/20; 11/10; 15/13; 15/13; 13/11; 23/20; 6/5; 15/13; 10/11
Hartlepool; 11/5; 11/5; 23/10; 21/10; 28/13; 9/4; 23/10; 11/5; 21/10; 21/10; 28/13; 21/10; 21/10; 17/10; 
Draw; 12/5; 23/10; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 9/4; 23/10; 9/4; 23/10; 12/5; 9/4; 9/5
META; english/non-league/national-league/hartlepool-v-boreham-wood; 2018-03-05 22:24:20 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Boreham Wood; 6/5; 11/10; 11/10; 11/10; 13/11; 23/20; 21/20; 11/10; 15/13; 15/13; 13/11; 6/5; 6/5; 15/13; 9/10
Hartlepool; 11/5; 11/5; 23/10; 21/10; 28/13; 9/4; 23/10; 11/5; 21/10; 21/10; 28/13; 23/10; 21/10; 21/10; 17/10
Draw; 12/5; 23/10; 21/10; 23/10; 9/4; 9/4; 21/10; 11/5; 9/4; 23/10; 9/4; 23/10; 12/5; 9/4; 9/5
