META; english/non-league/national-league/tranmere-v-afc-fylde; 2017-12-23 14:25:32 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Tranmere; 8/11; ; ; 7/10; ; ; ; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; ; 8/11; ; ; 2/5; ; 
Draw; 11/4; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; 11/4; ; ; 13/10; ; 
AFC Fylde; 7/2; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; 7/2; ; ; 17/10; ; 
META; english/non-league/national-league/tranmere-v-afc-fylde; 2017-12-23 18:24:43 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Tranmere; 8/11; ; ; 7/10; 79/ 100; ; 7/10; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; ; 8/11; ; ; 2/5; ; 
Draw; 11/4; ; ; 13/5; 147/ 50; ; 11/4; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; ; 11/4; ; ; 13/10; ; 
AFC Fylde; 7/2; ; ; 10/3; 37/10; ; 7/2; ; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; 7/2; ; ; 17/10; ; 
META; english/non-league/national-league/tranmere-v-afc-fylde; 2017-12-23 22:23:57 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Tranmere; 8/11; 8/11; ; 8/11; 79/ 100; 4/6; 7/10; ; ; ; ; ; ; ; ; 7/10; ; ; ; ; ; ; 8/11; 8/11; ; ; 4/7; 4/7; 
Draw; 11/4; 11/4; ; 14/5; 147/ 50; 27/10; 11/4; ; ; ; ; ; ; ; ; 13/5; ; ; ; ; ; ; 11/4; 11/4; ; ; 12/5; 23/10; 
AFC Fylde; 7/2; 16/5; ; 7/2; 37/10; 17/5; 7/2; ; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; 18/5; 7/2; ; ; 14/5; 14/5; 
META; english/non-league/national-league/tranmere-v-afc-fylde; 2017-12-24 02:24:12 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Tranmere; 8/11; 8/11; ; 8/11; 79/ 100; 4/6; 7/10; ; ; ; ; ; ; ; ; 7/10; ; 5/7; ; ; ; ; 8/11; 8/11; 5/7; ; 4/7; 4/7; 
Draw; 11/4; 11/4; ; 14/5; 147/ 50; 27/10; 11/4; ; ; ; ; ; ; ; ; 13/5; ; 11/4; ; ; ; ; 11/4; 11/4; 11/4; ; 12/5; 23/10; 
AFC Fylde; 7/2; 16/5; ; 7/2; 37/10; 17/5; 7/2; ; ; ; ; ; ; ; ; 10/3; ; 7/2; ; ; ; ; 18/5; 7/2; 7/2; ; 14/5; 14/5; 
META; english/non-league/national-league/tranmere-v-afc-fylde; 2017-12-24 10:24:04 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
Tranmere; 4/6; 8/11; 4/6; 8/11; 71/ 100; 8/13; 4/6; ; 11/17; 4/6; 4/6; 4/6; ; 4/6; 7/10; 4/6; 7/10; 4/6; 7/10; 7/11; 11/17; ; 4/6; 4/6; 4/6; ; 8/15; 1/2; 
Draw; 11/4; 11/4; 13/5; 14/5; 74/25; 27/10; 11/4; ; 45/17; 13/5; 11/4; 5/2; ; 13/5; 14/5; 13/5; 5/2; 27/10; 5/2; 37/13; 45/17; ; 14/5; 11/4; 11/4; ; 12/5; 5/2; 
AFC Fylde; 4; 16/5; 19/5; 7/2; 43/10; 18/5; 15/4; ; 15/4; 19/5; 19/5; 7/2; ; 15/4; 7/2; 7/2; 13/4; 50/13; 13/4; 57/17; 15/4; ; 4; 4; 39/10; ; 3; 14/5; 
META; english/non-league/national-league/tranmere-v-afc-fylde; 2017-12-24 14:24:11 GMT+2; 2017-12-26 15:00; Nothing; Xlenovo
