META; english/non-league/national-league/bromley-v-afc-fylde; 2017-12-31 18:23:26 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; 
AFC Fylde; 2; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2017-12-31 22:23:23 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; 11/10; ; ; ; ; 5/4; ; 15/13; ; ; ; 
AFC Fylde; 2; ; ; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; 39/19; ; ; ; ; 11/5; ; 39/19; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; 40/17; ; ; ; ; 23/10; ; 40/17; ; ; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-01 02:23:21 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; ; ; ; ; ; ; ; ; ; 6/5; 23/20; ; ; ; ; ; 11/10; ; ; ; ; 5/4; ; 15/13; ; ; ; 
AFC Fylde; 2; ; ; ; ; ; ; ; ; ; 21/10; 2; ; ; ; ; ; 39/19; ; ; ; ; 11/5; ; 39/19; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; ; ; 23/10; 9/4; ; ; ; ; ; 40/17; ; ; ; ; 23/10; ; 40/17; ; ; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-01 10:23:31 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; ; ; ; ; ; ; ; 11/10; ; 23/20; 11/10; ; ; ; ; 11/10; 11/10; 11/10; ; 11/10; ; 6/5; ; 11/10; ; ; ; 
AFC Fylde; 2; ; ; ; ; ; ; ; 28/13; ; 11/5; 2; ; ; ; ; 2; 39/19; 2; ; 28/13; ; 11/5; ; 21/10; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; 40/17; ; 23/10; 23/10; ; ; ; ; 23/10; 23/10; 23/10; ; 40/17; ; 12/5; ; 40/17; ; ; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-01 14:24:31 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
Bromley; 11/10; ; ; ; ; ; ; ; 11/10; ; 23/20; 23/20; ; ; ; ; 11/10; 11/10; 11/10; ; 11/10; ; 6/5; ; 11/10; ; ; ; 
AFC Fylde; 2; ; ; ; ; ; ; ; 28/13; ; 11/5; 21/10; ; ; ; ; 2; 39/19; 2; ; 28/13; ; 23/10; ; 21/10; ; ; ; 
Draw; 23/10; ; ; ; ; ; ; ; 40/17; ; 23/10; 21/10; ; ; ; ; 23/10; 40/17; 23/10; ; 40/17; ; 23/10; ; 40/17; ; ; ; 
META; english/non-league/national-league/bromley-v-afc-fylde; 2018-01-01 18:23:01 GMT+2; 2018-01-06 15:00; Nothing; Xlenovo
