META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-03 02:22:30 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-03 10:22:41 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-03 14:22:53 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; 1; 11/10; ; ; ; ; 1; ; ; ; 1; ; ; ; ; ; ; ; ; ; ; 21/20; 1; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; 9/4; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; 23/10; 23/10; ; ; ; ; ; 
Wrexham; 11/4; 23/10; ; ; ; ; 5/2; ; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; 13/5; 14/5; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-03 18:21:58 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; 1; ; ; ; 1; 1; ; ; ; ; ; ; ; ; ; 21/20; 21/20; ; ; ; ; ; 
Draw; ; 23/10; ; ; ; ; 9/4; ; ; ; 23/10; 11/5; ; ; ; ; ; ; ; ; ; 23/10; 23/10; ; ; ; ; ; 
Wrexham; ; 23/10; ; ; ; ; 5/2; ; ; ; 13/5; 12/5; ; ; ; ; ; ; ; ; ; 13/5; 27/10; ; ; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-03 22:22:51 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; 1; ; ; ; 1; 1; ; ; ; 1; ; 19/20; ; ; ; 21/20; 21/20; 1; 19/20; ; ; ; 
Draw; ; 23/10; ; ; ; ; 9/4; ; ; ; 23/10; 11/5; ; ; ; 11/5; ; 11/5; ; ; ; 23/10; 23/10; 23/10; 11/5; ; ; ; 
Wrexham; ; 23/10; ; ; ; ; 5/2; ; ; ; 13/5; 12/5; ; ; ; 5/2; ; 45/17; ; ; ; 13/5; 11/4; 27/10; 45/17; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-04 02:22:35 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; ; ; 1; ; 1; ; 1; 1; ; ; ; 1; ; 19/20; ; ; ; 21/20; 21/20; 1; 19/20; ; ; ; 
Draw; ; 23/10; ; ; ; ; 9/4; ; 9/4; ; 23/10; 11/5; ; ; ; 11/5; ; 11/5; ; ; ; 23/10; 23/10; 23/10; 11/5; ; ; ; 
Wrexham; ; 23/10; ; ; ; ; 5/2; ; 45/17; ; 13/5; 12/5; ; ; ; 5/2; ; 45/17; ; ; ; 13/5; 27/10; 27/10; 45/17; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-04 10:22:37 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; 19/20; ; 1; ; 1; ; 1; 1; ; ; ; 1; 19/20; 19/20; ; ; 1; 21/20; 21/20; 1; 1; ; ; ; 
Draw; ; 23/10; ; ; 11/5; ; 9/4; ; 9/4; ; 23/10; 21/10; ; ; ; 11/5; 11/5; 11/5; ; ; 9/4; 23/10; 23/10; 23/10; 11/5; ; ; ; 
Wrexham; ; 23/10; ; ; 5/2; ; 5/2; ; 45/17; ; 13/5; 13/5; ; ; ; 5/2; 5/2; 13/5; ; ; 45/17; 13/5; 11/4; 27/10; 45/17; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-04 14:23:10 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; ; 11/10; ; ; 19/20; ; 1; ; 1; ; 1; 20/21; ; ; ; 1; 19/20; 19/20; 11/10; 30/29; 1; 1; 1; 19/20; 19/20; ; ; ; 
Draw; ; 23/10; ; ; 11/5; ; 11/5; ; 9/4; ; 23/10; 9/4; ; ; ; 11/5; 11/5; 11/5; 121/50; 23/10; 9/4; 12/5; 23/10; 47/20; 11/5; ; ; ; 
Wrexham; 14/5; 23/10; ; ; 5/2; ; 13/5; ; 45/17; ; 13/5; 12/5; ; ; ; 5/2; 5/2; 45/17; 72/25; 9/4; 45/17; 11/4; 14/5; 14/5; 45/17; ; ; ; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-04 18:23:01 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; 19/20; 1; ; ; 19/20; ; 1; ; 1; ; 1; 20/21; ; ; ; ; 19/20; 19/20; 107/100; 30/29; 1; 1; 1; 19/20; 19/20; ; ; 20/21; 
Draw; ; 23/10; ; ; 2; ; 11/5; ; 9/4; ; 9/4; 21/10; ; ; 21/10; 21/10; 2; 11/5; 47/20; 12/5; 9/4; 9/4; 9/4; 11/5; 11/5; ; ; 2; 
Wrexham; 3; 29/10; ; ; 11/4; ; 11/4; ; 45/17; ; 11/4; 13/5; ; ; 3; 13/5; 11/4; 14/5; 31/10; 11/5; 45/17; 3; 3; 3; 14/5; ; ; 11/5; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-04 22:23:08 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
Macclesfield; 19/20; 1; ; ; 19/20; ; 1; ; 1; ; 20/21; 20/21; ; 1; ; ; 19/20; 1; 107/100; 1; 1; 1; 1; 19/20; 1; ; 1/100; 20/21; 
Draw; ; 23/10; ; ; 2; ; 11/5; ; 9/4; ; 9/4; 2; ; 41/20; 21/10; 21/10; 2; 9/4; 47/20; 28/13; 9/4; 9/4; 9/4; 11/5; 9/4; ; 1/100; 2; 
Wrexham; 3; 29/10; ; ; 11/4; ; 11/4; ; 45/17; ; 14/5; 11/4; ; 11/4; 3; 11/4; 11/4; 45/17; 31/10; 5/2; 45/17; 3; 3; 3; 27/10; ; 1/100; 11/5; 
META; english/non-league/national-league/macclesfield-v-wrexham; 2017-12-05 02:22:54 GMT+2; 2017-12-09 12:30; Nothing; Xlenovo
