META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-10 18:24:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 19/20; ; 1; ; ; ; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
Hartlepool; 11/4; ; ; ; 13/5; ; 11/4; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-10 22:24:54 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 19/20; ; 1; ; ; ; ; 10/11; 19/20; ; ; ; ; ; ; ; ; ; ; ; 1; ; ; ; 
Draw; 12/5; ; ; ; 23/10; ; 23/10; ; ; ; ; 21/10; 12/5; ; ; ; ; ; ; ; ; ; ; ; 12/5; ; ; ; 
Hartlepool; 11/4; ; ; ; 11/4; ; 29/10; ; ; ; ; 13/5; 14/5; ; ; ; ; ; ; ; ; ; ; ; 11/4; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-11 02:24:49 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 19/20; ; 1; ; ; ; ; 10/11; 19/20; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; 11/4; ; ; ; 13/5; ; 11/4; ; ; ; ; 12/5; 14/5; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-11 10:24:47 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 19/20; ; 1; ; ; ; ; 10/11; 19/20; ; ; 19/20; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; ; ; ; 5/2; 12/5; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; 
Hartlepool; 11/4; ; ; ; 13/5; ; 11/4; ; ; ; ; 12/5; 14/5; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-11 14:24:53 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 20/21; ; 1; ; 1; ; ; 10/11; 19/20; ; ; 19/20; ; 1; 19/20; ; ; 1; ; ; 1; ; ; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; 23/10; ; ; 5/2; 12/5; ; ; 12/5; ; 23/10; 9/4; ; ; 23/10; ; ; 12/5; ; ; ; 
Hartlepool; 11/4; ; ; ; 13/5; ; 11/4; ; 5/2; ; ; 12/5; 14/5; ; ; 5/2; ; 5/2; 28/11; ; ; 5/2; ; ; 11/4; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-11 18:25:18 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 20/21; ; 1; ; 1; ; ; 10/11; 19/20; ; ; 19/20; ; 1; 1; ; ; 1; ; 1; ; ; ; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; 23/10; ; ; 5/2; 12/5; ; ; 23/10; ; 23/10; 23/10; ; ; 23/10; ; 12/5; ; ; ; ; 
Hartlepool; 11/4; ; ; ; 13/5; ; 11/4; ; 5/2; ; ; 12/5; 14/5; ; ; 13/5; ; 5/2; 13/5; ; ; 5/2; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-11 22:24:58 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 20/21; ; 1; ; 1; ; ; 10/11; 19/20; ; ; 19/20; ; 1; 1; ; ; 1; ; 1; ; ; ; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; 23/10; ; ; 5/2; 12/5; ; ; 23/10; ; 23/10; 23/10; ; ; 23/10; ; 12/5; ; ; ; ; 
Hartlepool; 11/4; ; ; ; 13/5; ; 11/4; ; 5/2; ; ; 12/5; 14/5; ; ; 13/5; ; 5/2; 13/5; ; ; 5/2; ; 11/4; ; ; ; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-12 02:24:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 20/21; ; 1; ; 1; ; ; 10/11; 19/20; ; ; 19/20; ; 1; 1; ; ; 1; ; 1; 1; ; 8/11; ; 
Draw; 12/5; ; ; ; 12/5; ; 12/5; ; 23/10; ; ; 5/2; 12/5; ; ; 23/10; ; 23/10; 23/10; ; ; 23/10; ; 12/5; 12/5; ; 13/8; ; 
Hartlepool; 11/4; ; ; ; 13/5; ; 11/4; ; 5/2; ; ; 12/5; 14/5; ; ; 13/5; ; 5/2; 13/5; ; ; 5/2; ; 11/4; 11/4; ; 15/8; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-12 10:24:51 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 20/21; 37/40; 1; 10/11; 1; ; ; 10/11; 19/20; ; ; 19/20; 10/11; 1; 1; ; ; 1; ; 1; 1; ; 4/6; ; 
Draw; 12/5; ; ; ; 12/5; 9/4; 12/5; 12/5; 23/10; ; ; 5/2; 12/5; ; ; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; 12/5; 12/5; ; 2; ; 
Hartlepool; 11/4; ; ; ; 13/5; 13/5; 11/4; 13/5; 5/2; ; ; 12/5; 14/5; ; ; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; 11/4; 11/4; ; 19/10; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-12 14:25:04 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; ; ; 20/21; 37/40; 1; 10/11; 1; ; ; 10/11; 19/20; ; ; 19/20; 10/11; 1; 1; ; ; 1; ; 1; ; ; 4/6; ; 
Draw; 12/5; ; ; ; 12/5; 9/4; 12/5; 12/5; 23/10; ; ; 5/2; 12/5; ; ; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; 12/5; ; ; 2; ; 
Hartlepool; 11/4; ; ; ; 13/5; 13/5; 11/4; 13/5; 5/2; ; ; 12/5; 14/5; ; ; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; 11/4; ; ; 19/10; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-12 18:25:12 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; 19/20; ; 20/21; 37/40; 1; 10/11; 1; ; ; 10/11; 19/20; ; ; 19/20; 10/11; 1; 1; ; ; 1; ; 1; 1; ; 4/6; ; 
Draw; 12/5; ; 12/5; ; 12/5; 9/4; 12/5; 12/5; 23/10; ; ; 5/2; 12/5; ; ; 23/10; 9/4; 23/10; 23/10; ; ; 23/10; ; 12/5; 12/5; ; 2; ; 
Hartlepool; 11/4; ; 13/5; ; 13/5; 13/5; 11/4; 13/5; 5/2; ; ; 12/5; 14/5; ; ; 13/5; 13/5; 5/2; 13/5; ; ; 5/2; ; 11/4; 11/4; ; 19/10; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-12 22:25:03 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Leyton Orient; 1; ; 19/20; ; 19/20; 37/40; 1; 10/11; 1; ; ; 10/11; 19/20; ; ; 19/20; 10/11; 1; 1; ; ; 1; ; 1; 1; ; 4/6; ; 
Draw; 12/5; ; 12/5; ; 5/2; 9/4; 5/2; 12/5; 23/10; ; ; 5/2; 12/5; ; ; 12/5; 9/4; 23/10; 23/10; ; ; 23/10; ; 12/5; 12/5; ; 21/10; ; 
Hartlepool; 11/4; ; 13/5; ; 13/5; 13/5; 27/10; 13/5; 5/2; ; ; 12/5; 14/5; ; ; 5/2; 13/5; 5/2; 13/5; ; ; 5/2; ; 11/4; 11/4; ; 19/10; ; 
META; english/non-league/national-league/leyton-orient-v-hartlepool; 2017-09-13 02:22:43 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
