META; english/non-league/national-league/bromley-v-tranmere; 2017-09-24 02:24:25 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Draw; 12/5; 23/10; ; 11/5; 9/4; 11/5; 12/5; 11/5; 23/10; ; 11/5; 21/10; ; ; ; 9/4; 11/5; ; 23/10; 119/50; ; 23/10; 12/5; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 13/5; ; 23/10; 9/4; 2; 23/10; 11/5; 28/13; ; 11/5; 47/20; ; ; ; 11/5; 2; ; 21/10; 111/50; ; 28/13; 9/4; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-25 22:24:31 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 1; ; 11/10; 23/20; 117/100; 23/20; 1; 8/7; ; 11/10; 23/20; ; ; ; 11/10; 15/13; 8/7; 15/13; 139/100; ; 8/7; 6/5; 11/10; 23/20; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; 9/4; 11/5; 12/5; 11/5; 23/10; ; 11/5; 21/10; ; ; ; 9/4; 11/5; 23/10; 23/10; 119/50; ; 23/10; 12/5; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 13/5; ; 23/10; 9/4; 2; 23/10; 11/5; 28/13; ; 11/5; 47/20; ; ; ; 11/5; 2; 28/13; 28/13; 111/50; ; 28/13; 9/4; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-26 02:24:26 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 1; ; 11/10; 23/20; 117/100; 23/20; 1; 8/7; ; 11/10; 23/20; ; ; ; 11/10; 15/13; 8/7; 15/13; 139/100; ; 8/7; 6/5; 11/10; 23/20; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; 9/4; 11/5; 12/5; 11/5; 23/10; ; 11/5; 41/20; ; ; ; 9/4; 11/5; 23/10; 23/10; 119/50; ; 23/10; 12/5; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 13/5; ; 23/10; 9/4; 2; 23/10; 11/5; 28/13; ; 11/5; 12/5; ; ; ; 11/5; 2; 28/13; 28/13; 111/50; ; 28/13; 9/4; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-26 10:24:30 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 1; ; 11/10; 23/20; 117/100; 23/20; 1; 8/7; ; 11/10; 23/20; ; ; ; 11/10; 15/13; ; 15/13; 139/100; ; 8/7; 6/5; 11/10; 23/20; ; ; ; 
Draw; 12/5; 23/10; ; 11/5; 9/4; 11/5; 12/5; 11/5; 23/10; ; 11/5; 21/10; ; ; ; 9/4; 11/5; ; 23/10; 119/50; ; 23/10; 12/5; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 13/5; ; 23/10; 9/4; 2; 23/10; 11/5; 28/13; ; 11/5; 47/20; ; ; ; 11/5; 2; ; 28/13; 111/50; ; 28/13; 9/4; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-26 14:25:03 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 21/20; ; 11/10; 23/20; 117/100; 23/20; 1; 8/7; ; 11/10; 23/20; ; ; ; 11/10; 15/13; 8/7; 15/13; 139/100; ; 8/7; 6/5; 11/10; 23/20; ; ; ; 
Draw; 12/5; 9/4; ; 11/5; 9/4; 11/5; 12/5; 11/5; 23/10; ; 11/5; 41/20; ; ; ; 9/4; 11/5; 23/10; 23/10; 119/50; ; 23/10; 12/5; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 11/4; ; 23/10; 9/4; 2; 23/10; 11/5; 28/13; ; 11/5; 12/5; ; ; ; 11/5; 2; 28/13; 28/13; 111/50; ; 28/13; 9/4; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-26 18:24:45 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 21/20; ; 11/10; 23/20; 117/100; 23/20; 1; 8/7; ; 11/10; 23/20; ; ; ; 11/10; 15/13; 8/7; 15/13; 139/100; ; 8/7; 6/5; 11/10; 23/20; ; ; ; 
Draw; 12/5; 9/4; ; 11/5; 9/4; 11/5; 12/5; 11/5; 23/10; ; 11/5; 41/20; ; ; ; 9/4; 11/5; 23/10; 23/10; 119/50; ; 23/10; 12/5; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 11/4; ; 23/10; 9/4; 2; 23/10; 11/5; 28/13; ; 11/5; 12/5; ; ; ; 11/5; 2; 28/13; 28/13; 111/50; ; 28/13; 9/4; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-26 22:24:29 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 21/20; ; 11/10; 23/20; 117/100; 23/20; 1; 8/7; ; 11/10; 23/20; ; ; ; 11/10; 15/13; 8/7; 15/13; 139/100; ; 8/7; 6/5; 11/10; 23/20; ; ; ; 
Draw; 12/5; 9/4; ; 11/5; 9/4; 11/5; 12/5; 11/5; 23/10; ; 11/5; 41/20; ; ; ; 9/4; 11/5; 23/10; 23/10; 119/50; ; 23/10; 12/5; 11/5; 47/20; ; ; ; 
Bromley; 11/5; 11/4; ; 23/10; 9/4; 2; 23/10; 11/5; 28/13; ; 11/5; 12/5; ; ; ; 11/5; 2; 28/13; 28/13; 111/50; ; 28/13; 9/4; 11/5; 9/4; ; ; ; 
META; english/non-league/national-league/bromley-v-tranmere; 2017-09-27 02:22:58 GMT+3; 2017-09-30 15:00; Nothing; Xlenovo
Tranmere; 6/5; 21/20; ; 11/10; 23/20; 117/100; 23/20; 1; 8/7; ; 11/10; 23/20; ; ; ; 11/10; 15/13; 8/7; 15/13; 67/50; ; 8/7; 6/5; 11/10; 23/20; ; ; ; 
