META; english/non-league/national-league/chester-v-woking; 2017-09-30 22:21:51 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; ; ; ; ; 5/4; ; 5/4; ; ; ; ; ; ; ; ; 5/4; ; ; 6/5; ; ; ; ; 5/4; 6/5; ; 8/11; ; 
Woking; ; ; ; ; 2; ; 2; ; ; ; ; ; ; ; ; 19/10; ; ; 37/19; ; ; ; ; 2; 2; ; 5/4; ; 
Draw; ; ; ; ; 23/10; ; 5/2; ; ; ; ; ; ; ; ; 23/10; ; ; 27/11; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-01 02:22:41 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 6/5; ; ; 6/5; ; 6/5; 11/10; ; ; ; ; ; ; ; 6/5; ; ; 6/5; ; ; ; ; 5/4; 6/5; ; 1; ; 
Woking; 2; 2; ; ; 2; ; 21/10; 15/8; ; ; ; ; ; ; ; 19/10; ; ; 2; ; ; ; ; 2; 2; ; 17/10; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; ; ; ; ; ; 12/5; ; ; 27/11; ; ; ; ; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-01 10:22:39 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 6/5; ; ; 6/5; ; 6/5; 11/10; ; ; 23/20; ; ; ; ; 6/5; ; ; 6/5; ; ; ; 5/4; 5/4; 6/5; ; 1; ; 
Woking; 2; 2; ; ; 2; ; 21/10; 15/8; ; ; 15/8; ; ; ; ; 19/10; ; ; 2; ; ; ; 2; 2; 2; ; 17/10; ; 
Draw; 5/2; 12/5; ; ; 12/5; ; 5/2; 23/10; ; ; 12/5; ; ; ; ; 12/5; ; ; 27/11; ; ; ; 5/2; 12/5; 5/2; ; 21/10; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-01 14:22:48 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 6/5; ; 7/5; 13/10; 117/100; 5/4; 11/10; 6/5; ; 5/4; ; ; 5/4; ; 13/10; 15/13; ; 6/5; 29/20; ; 6/5; 13/10; 5/4; 5/4; ; 10/9; ; 
Woking; 2; 2; ; 6/4; 19/10; 19/10; 2; 15/8; 37/19; ; 15/8; ; ; 15/8; ; 15/8; 19/10; ; 37/19; 101/50; ; 37/19; 15/8; 2; 39/20; ; 17/10; ; 
Draw; 5/2; 12/5; ; 9/4; 23/10; 23/10; 5/2; 23/10; 12/5; ; 11/5; ; ; 23/10; ; 23/10; 23/10; ; 27/11; 5/2; ; 12/5; 12/5; 12/5; 49/20; ; 21/10; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-01 18:22:13 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 6/5; 13/10; 7/5; 13/10; 117/100; 13/10; 6/5; 6/5; 13/10; 5/4; 13/10; ; 5/4; 13/10; 13/10; 15/13; ; 5/4; 73/50; 5/4; 6/5; 13/10; 13/10; 5/4; ; 10/9; ; 
Woking; 2; 12/5; 28/15; 6/4; 19/10; 19/10; 19/10; 9/5; 37/19; 15/8; 9/5; 37/20; ; 15/8; 19/10; 15/8; 19/10; ; 2; 103/50; 17/10; 37/19; 15/8; 2; 39/20; ; 17/10; ; 
Draw; 5/2; 23/10; 23/10; 9/4; 23/10; 23/10; 5/2; 23/10; 12/5; 23/10; 23/10; 23/10; ; 23/10; 12/5; 23/10; 23/10; ; 40/17; 121/50; 5/2; 12/5; 12/5; 23/10; 49/20; ; 21/10; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-01 22:22:01 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 6/5; 13/10; 7/5; 13/10; 117/100; 13/10; 5/4; 6/5; 13/10; 5/4; 13/10; ; 5/4; 13/10; 13/10; 15/13; ; 5/4; 143/100; 5/4; 6/5; 13/10; 13/10; 5/4; ; 6/5; ; 
Woking; 2; 12/5; 9/5; 6/4; 19/10; 19/10; 19/10; 9/5; 37/19; 9/5; 9/5; 37/20; ; 15/8; 2; 15/8; 19/10; ; 37/19; 52/25; 17/10; 37/19; 15/8; 2; 39/20; ; 9/5; ; 
Draw; 5/2; 23/10; 12/5; 9/4; 23/10; 23/10; 5/2; 11/5; 12/5; 12/5; 23/10; 47/20; ; 9/4; 23/10; 23/10; 23/10; ; 40/17; 123/50; 5/2; 12/5; 12/5; 23/10; 49/20; ; 21/10; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-02 02:21:52 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 5/4; 5/4; 7/5; 5/4; 117/100; 5/4; 5/4; 6/5; 5/4; 23/20; 6/5; ; 5/4; 5/4; 5/4; 15/13; ; 5/4; 32/25; 5/4; 6/5; 13/10; 5/4; 5/4; ; 6/5; ; 
Woking; 2; 2; 19/10; 6/4; 19/10; 19/10; 2; 9/5; 37/19; 19/10; 19/10; 39/20; ; 15/8; 2; 15/8; 19/10; ; 2; 56/25; 17/10; 37/19; 15/8; 2; 39/20; ; 19/10; ; 
Draw; 5/2; 13/5; 12/5; 9/4; 12/5; 23/10; 5/2; 11/5; 12/5; 12/5; 23/10; 47/20; ; 9/4; 12/5; 12/5; 23/10; ; 40/17; 13/5; 5/2; 12/5; 12/5; 23/10; 49/20; ; 9/4; ; 
META; english/non-league/national-league/chester-v-woking; 2017-10-02 10:22:21 GMT+3; 2017-10-03 19:45; Nothing; Xlenovo
Chester; 5/4; 5/4; 6/5; 6/5; 6/5; 117/100; 5/4; 11/10; 6/5; 6/5; 23/20; 6/5; ; 6/5; 5/4; 6/5; 15/13; ; 6/5; 59/50; 5/4; 6/5; 5/4; 6/5; 5/4; ; 6/5; ; 
Woking; 2; 2; 2; 15/8; 2; 19/10; 2; 15/8; 37/19; 2; 19/10; 39/20; ; 19/10; 2; 19/10; 19/10; ; 39/19; 58/25; 17/10; 37/19; 2; 2; 2; ; 19/10; ; 
