META; english/non-league/national-league/maidenhead-utd-v-dover; 2018-04-08 14:24:57 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Dover; 8/5; 8/5; 13/8; 1/33
Maidenhead Utd; 8/5; 8/5; 13/8; 1/33
Draw; 11/5; 11/5; 9/4; 1/33
META; english/non-league/national-league/maidenhead-utd-v-dover; 2018-04-08 18:24:29 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Dover; 13/8; 8/5; 8/5; 13/8; 1/33; 7/4
Maidenhead Utd; 13/8; 8/5; 8/5; 13/8; 1/33; 7/4
Draw; 9/4; 11/5; 11/5; 9/4; 1/33; 7/4
META; english/non-league/national-league/maidenhead-utd-v-dover; 2018-04-08 22:24:37 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Dover; 13/8; 8/5; 8/5; 6/4; 13/8; 1/100; 13/8
Maidenhead Utd; 13/8; 8/5; 8/5; 6/4; 13/8; 1/100; 13/8
Draw; 9/4; 11/5; 11/5; 21/10; 9/4; 1/100; 19/10
META; english/non-league/national-league/maidenhead-utd-v-dover; 2018-04-09 02:24:35 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Dover; 13/8; 8/5; 8/5; 6/4; 13/8; 1/33; 13/8
Maidenhead Utd; 13/8; 8/5; 8/5; 6/4; 13/8; 1/33; 13/8
Draw; 9/4; 11/5; 11/5; 21/10; 9/4; 1/33; 19/10
META; english/non-league/national-league/maidenhead-utd-v-dover; 2018-04-09 10:24:32 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Dover; 13/8; 8/5; 8/5; 8/5; 31/20; 6/4; 17/11; 8/5; 8/5; 17/10; 17/11; 1/8; 13/8
Maidenhead Utd; 13/8; 8/5; 8/5; 8/5; 31/20; 6/4; 17/11; 8/5; 8/5; 17/10; 17/11; 1/8; 13/8
Draw; 9/4; 11/5; 9/4; 11/5; 21/10; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 1/33; 19/10
META; english/non-league/national-league/maidenhead-utd-v-dover; 2018-04-09 14:24:51 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Dover; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 17/11; 8/5; 8/5; 17/10; 17/11; 6/5; 13/8
Maidenhead Utd; 13/8; 8/5; 8/5; 8/5; 13/8; 8/5; 17/11; 8/5; 8/5; 17/10; 17/11; 6/5; 13/8
Draw; 9/4; 11/5; 9/4; 11/5; 19/10; 2; 11/5; 21/10; 9/4; 11/5; 11/5; 13/8; 19/10
META; english/non-league/national-league/maidenhead-utd-v-dover; 2018-04-09 18:24:43 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Dover; 13/8; 8/5; 8/5; 8/5; 8/5; 8/5; 17/11; 8/5; 8/5; 17/10; 17/11; 1/8; 13/8
Maidenhead Utd; 13/8; 8/5; 8/5; 8/5; 13/8; 8/5; 17/11; 8/5; 8/5; 17/10; 17/11; 1/8; 13/8
