META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-17 02:23:45 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-17 10:23:38 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-17 14:23:36 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 3; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Wrexham; 9/2; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-17 18:23:27 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; ; 4/7; ; 4/7; ; 4/7; ; ; ; ; ; ; ; ; ; 8/15; ; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; ; ; 29/10; ; 3; ; 37/13; ; ; ; ; ; ; ; ; ; 37/13; ; ; 37/13; ; ; ; ; ; ; 
Wrexham; 9/2; 4; ; ; 9/2; ; 19/4; ; 41/10; ; ; ; ; ; ; ; ; ; 21/5; ; ; 41/10; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-17 22:23:31 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; ; 4/7; ; 4/7; ; 4/7; ; ; ; 11/20; ; ; 4/7; ; ; 8/15; ; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; ; ; 29/10; ; 3; ; 37/13; ; ; ; 3; ; ; 14/5; ; ; 37/13; ; ; 37/13; ; ; ; ; ; ; 
Wrexham; 9/2; 4; ; ; 9/2; ; 19/4; ; 41/10; ; ; ; 19/4; ; ; 9/2; ; ; 21/5; ; ; 41/10; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-18 02:23:14 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; ; 4/7; ; 3/5; ; 4/7; ; ; ; 11/20; ; ; 4/7; ; ; 8/15; ; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; ; ; 29/10; ; 29/10; ; 37/13; ; ; ; 3; ; ; 14/5; ; ; 37/13; ; ; 37/13; ; ; ; ; ; ; 
Wrexham; 9/2; 4; ; ; 9/2; ; 19/4; ; 41/10; ; ; ; 19/4; ; ; 9/2; ; ; 21/5; ; ; 41/10; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-18 10:23:21 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; 4/7; 8/13; ; ; 8/15; 8/15; 4/7; ; 4/7; ; ; ; 11/20; ; ; 4/7; 8/15; ; 8/15; ; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; ; ; 3; 14/5; 3; ; 37/13; ; ; ; 3; ; ; 29/10; 14/5; ; 37/13; ; ; 37/13; ; ; ; ; ; ; 
Wrexham; 9/2; 4; ; ; 9/2; 4; 19/4; ; 41/10; ; ; ; 19/4; ; ; 4; 17/4; ; 21/5; ; ; 41/10; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-18 14:23:27 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; 4/7; 8/13; 11/20; ; 8/15; 8/15; 4/7; ; 4/7; ; ; ; 11/20; ; ; 4/7; 8/15; ; 8/15; 16/25; ; 4/7; ; ; ; ; ; ; 
Draw; 3; 14/5; 14/5; ; 3; 14/5; 3; ; 37/13; ; ; ; 3; ; ; 29/10; 14/5; ; 29/10; 63/20; ; 37/13; ; ; ; ; ; ; 
Wrexham; 9/2; 4; 9/2; ; 9/2; 4; 19/4; ; 41/10; ; ; ; 19/4; ; ; 4; 17/4; ; 21/5; 47/10; ; 41/10; ; ; ; ; ; ; 
META; english/non-league/national-league/tranmere-v-wrexham; 2017-09-18 18:23:24 GMT+3; 2017-09-23 15:00; Nothing; Xlenovo
Tranmere; 4/7; 8/13; 11/20; ; 8/15; 8/15; 4/7; ; 4/7; ; ; 11/20; 11/20; ; ; 4/7; 8/15; ; 5/9; 16/25; ; 4/7; ; 4/7; ; ; ; ; 
Draw; 3; 14/5; 14/5; ; 3; 14/5; 3; ; 37/13; ; ; 13/5; 3; ; ; 14/5; 14/5; ; 29/10; 63/20; ; 37/13; ; 3; ; ; ; ; 
