META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-04 18:24:01 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Gateshead; 6/5; 11/10; 6/5; 6/5; 6/5; 4/7
Maidenhead Utd; 9/4; 11/5; 11/5; 9/4; 23/10; 1
Draw; 23/10; 21/10; 11/5; 11/5; 23/10; 21/20
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-04 22:23:44 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Gateshead; 6/5; 11/10; 6/5; 23/20; 21/20; 6/5; 4/6; 
Draw; 23/10; 21/10; 11/5; 9/4; 23/10; 9/4; 9/4; 6/5
Maidenhead Utd; 9/4; 11/5; 11/5; 9/4; 21/10; 12/5; 9/4; 10/9
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-05 02:23:49 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Gateshead; 6/5; 11/10; 6/5; 6/5; 21/20; 11/10; 15/13; 6/5; 10/11; 
Maidenhead Utd; 9/4; 11/5; 11/5; 11/5; 21/10; 21/10; 11/5; 23/10; 9/4; 17/10
Draw; 23/10; 21/10; 11/5; 9/4; 23/10; 11/5; 11/5; 23/10; 9/4; 17/10
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-05 10:23:48 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Gateshead; 6/5; 11/10; 6/5; 13/11; 6/5; 11/10; 11/10; 15/13; 15/13; 13/11; 6/5; 15/13; 4/6; 
Draw; 23/10; 21/10; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 13/10
Maidenhead Utd; 9/4; 11/5; 11/5; 28/13; 11/5; 2; 21/10; 28/13; 11/5; 28/13; 23/10; 9/4; 28/13; 13/10
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-05 14:24:10 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Gateshead; 6/5; 11/10; 6/5; 13/11; 6/5; 11/10; 11/10; 15/13; 15/13; 13/11; 5/4; 6/5; 15/13; 4/5
Draw; 23/10; 21/10; 11/5; 9/4; 9/4; 9/4; 11/5; 11/5; 11/5; 9/4; 9/4; 9/4; 11/5; 2
Maidenhead Utd; 9/4; 11/5; 11/5; 28/13; 11/5; 2; 21/10; 28/13; 11/5; 28/13; 23/10; 9/4; 28/13; 2
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-05 18:24:14 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Gateshead; 6/5; 11/10; 11/10; 6/5; 13/11; 6/5; 23/20; 11/10; 15/13; 15/13; 13/11; 6/5; 6/5; 15/13; 5/6
Maidenhead Utd; 9/4; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 21/10; 28/13; 11/5; 28/13; 23/10; 9/4; 28/13; 2
Draw; 23/10; 12/5; 21/10; 11/5; 9/4; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 21/10
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-05 22:24:17 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Gateshead; 6/5; 11/10; 11/10; 6/5; 13/11; 6/5; 23/20; 11/10; 15/13; 15/13; 13/11; 6/5; 6/5; 15/13; 5/6
