META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-18 02:21:24 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10
Boreham Wood; 15/8
Draw; 12/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-18 10:21:50 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10
Boreham Wood; 15/8
Draw; 12/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-18 14:22:31 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10
Boreham Wood; 15/8
Draw; 12/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-18 18:22:40 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 13/10; 67/50; 5/4; 5/4; 13/10; 5/4; 7/4
Boreham Wood; 15/8; 15/8; 21/10; 19/10; 2; 39/20; 7/4; 
Draw; 12/5; 12/5; 66/25; 12/5; 23/10; 12/5; 5/2; 7/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-19 02:34:09 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 13/10; 67/50; 5/4; 5/4; 5/4; 13/10; 5/4; 13/8
Boreham Wood; 15/8; 15/8; 21/10; 19/10; 2; 15/8; 2; 39/20; 13/8
Draw; 12/5; 12/5; 66/25; 12/5; 23/10; 23/10; 12/5; 5/2; 11/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-19 10:34:16 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 13/10; 67/50; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10; 5/4; 6/5; 11/8
Boreham Wood; 15/8; 15/8; 21/10; 19/10; 2; 15/8; 24/13; 19/10; 2; 39/20; 19/10; 9/5
Draw; 12/5; 12/5; 66/25; 12/5; 23/10; 23/10; 12/5; 12/5; 12/5; 5/2; 12/5; 11/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-19 14:34:25 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 13/10; 67/50; 5/4; 6/5; 5/4; 5/4; 5/4; 5/4; 6/5; 6/5; 6/5; 13/10; 5/4; 6/5; 11/8
Boreham Wood; 15/8; 15/8; 21/10; 19/10; 37/19; 2; 15/8; 41/20; 15/8; 24/13; 19/10; 37/19; 2; 39/20; 19/10; 9/5
Draw; 12/5; 12/5; 66/25; 12/5; 12/5; 23/10; 11/5; 21/10; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 21/10
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-19 18:34:27 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 23/20; 5/4; 6/5; 6/5; 6/5; 6/5; 13/10; 5/4; 6/5; 20/21; 1/2
Boreham Wood; 15/8; 21/10; 21/10; 19/10; 37/19; 2; 41/20; 19/10; 24/13; 19/10; 37/19; 21/10; 39/20; 19/10; 6/4; 2/11; 
Draw; 12/5; 12/5; 66/25; 12/5; 12/5; 23/10; 9/4; 43/20; 23/10; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 19/10; 4/5
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-19 22:34:27 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 23/20; 5/4; 6/5; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 10/11; 13/10
Boreham Wood; 15/8; 21/10; 21/10; 19/10; 37/19; 2; 41/20; 19/10; 24/13; 19/10; 37/19; 21/10; 39/20; 19/10; 17/10; 2; 
Draw; 12/5; 12/5; 66/25; 12/5; 12/5; 23/10; 9/4; 43/20; 23/10; 12/5; 12/5; 12/5; 12/5; 5/2; 12/5; 9/5; 5/2
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-20 02:34:32 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 5/4; 67/50; 23/20; 6/5; 6/5; 5/4; 23/20; 5/4; 6/5; 6/5; 6/5; 6/5; 13/10; 5/4; 6/5; 10/11; 13/10
Boreham Wood; 15/8; 21/10; 21/10; 2; 19/10; 37/19; 2; 41/20; 19/10; 24/13; 19/10; 37/19; 85/40; 39/20; 19/10; 7/4; 2; 
Draw; 12/5; 12/5; 66/25; 11/5; 12/5; 12/5; 23/10; 9/4; 43/20; 23/10; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 9/5; 5/2
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-20 10:34:40 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 5/4; 67/50; 6/5; 6/5; 5/4; 23/20; 5/4; 6/5; 6/5; 6/5; 6/5; 13/10; 5/4; 6/5; 10/11; 13/10
Boreham Wood; 15/8; 21/10; 21/10; 19/10; 37/19; 2; 41/20; 19/10; 24/13; 19/10; 37/19; 21/10; 39/20; 19/10; 7/4; 2; 
Draw; 12/5; 12/5; 66/25; 12/5; 12/5; 23/10; 9/4; 43/20; 23/10; 12/5; 12/5; 12/5; 23/10; 5/2; 12/5; 9/5; 5/2
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-20 14:34:31 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 5/4; 13/10; 34/25; 23/20; 6/5; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 6/5; 6/5; 21/17; 6/5; 13/10; 5/4; 6/5; 1/4; 13/10
Boreham Wood; 15/8; 21/10; 2; 103/0; 2; 19/10; 37/19; 2; 19/10; 2; 21/10; 19/10; 24/13; 19/10; 35/19; 37/19; 21/10; 2; 19/10; 7/4; 2; 
Draw; 12/5; 12/5; 21/10; 66/25; 11/5; 12/5; 12/5; 21/10; 23/10; 21/10; 21/10; 23/10; 9/4; 12/5; 12/5; 23/10; 12/5; 23/10; 12/5; 12/5; 8/15; 5/2
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-20 18:34:38 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 13/10; 27/20; 36/25; 6/5; 13/10; 6/5; 27/20; 13/10; 13/10; 27/20; 5/4; 13/10; 5/4; 6/5; 21/17; 6/5; 13/10; 13/10; 5/4; 6/5; 13/10; 13/10
Boreham Wood; 15/8; 2; 101/0; 15/8; 15/8; 37/19; 2; 21/10; 2; 21/10; 19/10; 19/10; 19/10; 35/19; 37/19; 21/10; 21/10; 37/19; 2/7; 13/8; 2; ; 
Draw; 12/5; 12/5; 21/10; 5/2; 11/5; 9/4; 12/5; 21/10; 11/5; 15/8; 41/20; 23/10; 21/10; 23/10; 12/5; 23/10; 12/5; 23/10; 11/5; 40/17; 1/50; 2; 5/2
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-20 22:34:35 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 13/10; 27/20; 13/10; 29/20; 5/4; 13/10; 6/5; 27/20; 13/10; 5/4; 27/20; 13/10; 5/4; 5/4; 5/4; 21/17; 6/5; 11/8; 13/10; 5/4; 6/5; 13/10; 13/10
Boreham Wood; 15/8; 2; 21/10; 2; 52/25; 15/8; 19/10; 37/19; 21/10; 2; 41/20; 2; 37/19; 19/10; 35/19; 37/19; 11/5; 21/10; 37/19; 7/5; 7/4; 2; ; 
Draw; 12/5; 12/5; 2; 21/10; 121/0; 21/10; 11/5; 12/5; 2; 11/5; 2; 39/20; 23/10; 21/10; 23/10; 23/10; 23/10; 12/5; 85/40; 11/5; 23/10; 17/10; 19/10; 5/2
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-21 02:34:28 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 6/5; 13/10; 27/20; 13/10; 141/00; 6/5; 13/10; 6/5; 27/20; 5/4; 13/10; 27/20; 7/5; 5/4; 5/4; 5/4; 21/17; 6/5; 11/8; 13/10; 5/4; 6/5; 13/10; 11/8
Boreham Wood; 15/8; 21/10; 2; 56/25; 19/10; 2; 37/19; 2; 21/10; 15/8; 41/20; 21/10; 2; 19/10; 35/19; 37/19; 11/5; 21/10; 39/19; 3/10; 7/4; 11/5; ; 
Draw; 12/5; 9/4; 2; 21/10; 58/25; 21/10; 21/10; 12/5; 2; 11/5; 21/10; 39/20; 23/10; 21/10; 11/5; 23/10; 23/10; 12/5; 85/40; 11/5; 11/5; 1/3; 19/10; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-21 10:34:32 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10; 13/10; 27/20; 13/10; 71/50; 6/5; 13/10; 6/5; 27/20; 5/4; 5/4; 27/20; 7/5; 13/10; 5/4; 5/4; 21/17; 6/5; 13/10; 13/10; 5/4; 20/21; 11/8
Boreham Wood; 21/10; 21/10; 2; 56/25; 19/10; 2; 37/19; 2; 21/10; 2; 21/10; 21/10; 2; 39/19; 19/10; 35/19; 37/19; 21/10; 21/10; 39/19; 7/4; 11/5; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 11/5; 2; 39/20; 23/10; 2; 28/13; 23/10; 23/10; 12/5; 23/10; 21/10; 28/13; 4/9; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-21 14:34:34 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10; 13/10; 27/20; 13/10; 141/00; 6/5; 13/10; 6/5; 27/20; 13/10; 5/4; 27/20; 7/5; 13/10; 5/4; 5/4; 21/17; 6/5; 13/10; 13/10; 13/10; 20/21; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 9/4; 19/10; 2; 37/19; 2; 2; 21/10; 21/10; 2; 39/19; 19/10; 35/19; 37/19; 21/10; 21/10; 39/19; 6/4; 2; 11/5; ; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 11/5; 2; 39/20; 23/10; 2; 28/13; 23/10; 23/10; 12/5; 23/10; 21/10; 28/13; 4/9; 19/10; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-21 18:34:35 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10; 13/10; 27/20; 13/10; 141/00; 6/5; 13/10; 6/5; 27/20; 13/10; 5/4; 27/20; 7/5; 13/10; 13/10; 5/4; 21/17; 6/5; 13/10; 13/10; 13/10; 11/10; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 9/4; 19/10; 2; 37/19; 2; 21/10; 2; 21/10; 21/10; 2; 39/19; 19/10; 35/19; 37/19; 21/10; 21/10; 21/10; 7/4; 2; 11/5; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 21/10; 2; 39/20; 23/10; 2; 11/5; 23/10; 23/10; 12/5; 23/10; 21/10; 11/5; 19/10; 19/10; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-21 22:34:34 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10; 13/10; 27/20; 13/10; 141/00; 6/5; 13/10; 6/5; 27/20; 13/10; 5/4; 27/20; 7/5; 13/10; 13/10; 5/4; 21/17; 6/5; 11/8; 13/10; 13/10; 11/10; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 9/4; 19/10; 2; 37/19; 2; 21/10; 2; 21/10; 21/10; 2; 39/19; 19/10; 35/19; 37/19; 11/5; 21/10; 21/10; 7/4; 7/4; 11/5; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 21/10; 2; 39/20; 23/10; 2; 11/5; 23/10; 23/10; 12/5; 85/40; 21/10; 11/5; 19/10; 19/10; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-22 02:34:14 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10; 13/10; 27/20; 13/10; 141/00; 6/5; 13/10; 6/5; 27/20; 13/10; 5/4; 27/20; 7/5; 13/10; 13/10; 5/4; 21/17; 6/5; 11/8; 13/10; 13/10; 11/10; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 9/4; 19/10; 2; 37/19; 2; 21/10; 2; 21/10; 21/10; 2; 39/19; 19/10; 35/19; 37/19; 11/5; 21/10; 21/10; 7/4; 7/4; 11/5; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 21/10; 2; 39/20; 23/10; 2; 11/5; 23/10; 23/10; 12/5; 85/40; 21/10; 11/5; 19/10; 19/10; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-22 10:34:23 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10; 13/10; 11/8; 13/10; 143/00; 6/5; 13/10; 6/5; 11/8; 13/10; 5/4; 27/20; 7/5; 13/10; 13/10; 5/4; 21/17; 6/5; 11/8; 13/10; 13/10; 11/10; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 111/0; 19/10; 2; 37/19; 2; 2; 21/10; 21/10; 2; 39/19; 19/10; 35/19; 37/19; 11/5; 21/10; 39/19; 7/4; 7/4; 11/5; ; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 11/5; 2; 39/20; 23/10; 2; 11/5; 23/10; 23/10; 12/5; 85/40; 21/10; 9/4; 19/10; 19/10; 9/4
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-22 14:34:29 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
Aldershot; 13/10; 13/10; 11/8; 13/10; 143/00; 6/5; 13/10; 6/5; 27/20; 13/10; 13/10; 27/20; 7/5; 13/10; 13/10; 5/4; 21/17; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 11/8
Boreham Wood; 21/10; 21/10; 2; 111/0; 19/10; 2; 37/19; 21/10; 21/10; 2; 21/10; 11/5; 2; 19/10; 35/19; 37/19; 21/10; 21/10; 39/19; 7/4; 7/4; 11/5; ; 
Draw; 11/5; 9/4; 2; 21/10; 23/10; 21/10; 21/10; 12/5; 2; 21/10; 2; 11/5; 2; 11/5; 23/10; 23/10; 12/5; 23/10; 21/10; 9/4; 19/10; 19/10; 9/4; 
META; english/non-league/national-league/aldershot-v-boreham-wood; 2018-03-22 18:34:31 GMT+2; 2018-03-24 15:00; Nothing; Xlenovo
