META; english/non-league/national-league/bromley-v-guiseley; 2018-03-04 18:23:51 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Bromley; 8/13; 8/15; 4/7; 4/7; 3/5; 1/3
Draw; 3; 14/5; 29/10; 29/10; 3; 7/5
Guiseley; 4; 4; 21/5; 22/5; 21/10; 
META; english/non-league/national-league/bromley-v-guiseley; 2018-03-04 22:23:34 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Bromley; 8/13; 8/15; 4/7; 4/7; 4/7; 8/13; 8/13; 4/9
Draw; 3; 14/5; 29/10; 29/10; 13/5; 29/10; 3; 17/10
Guiseley; 4; 4; 21/5; 4; 9/5; ; ; 
META; english/non-league/national-league/bromley-v-guiseley; 2018-03-05 02:23:40 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Bromley; 8/13; 8/15; 4/7; 4/7; 4/7; 4/7; 3/5; 3/5; 8/13; 4/9
Draw; 3; 14/5; 29/10; 29/10; 13/5; 11/4; 29/10; 3; 23/10; 
Guiseley; 4; 4; 21/5; 4; 15/4; 4; 14/5; ; ; 
META; english/non-league/national-league/bromley-v-guiseley; 2018-03-05 10:23:38 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Bromley; 8/13; 8/15; 4/7; 3/5; 4/7; 6/10; 4/7; 10/17; 3/5; 3/5; 3/5; 8/13; 10/17; 4/9
Draw; 3; 14/5; 29/10; 29/10; 29/10; 5/2; 11/4; 37/13; 29/10; 29/10; 3; 29/10; 11/4; 
Guiseley; 4; 4; 19/5; 21/5; 4; 19/5; 15/4; 19/5; 4; 50/13; 7/2; ; ; 
META; english/non-league/national-league/bromley-v-guiseley; 2018-03-05 14:24:00 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Bromley; 8/13; 8/15; 4/7; 3/5; 4/7; 6/10; 4/7; 4/7; 3/5; 3/5; 8/13; 8/13; 10/17; 4/9
